,text,ID,Titel,Autor,Strophen,Verse,Anthologie,Jahr,Hrsg
0,"Mich jammerte dein graues Dämmerweh,Ich legte dich sanft hin auf weißen Schnee.Ordnete dein rotes Flammenhaar,Das einst so schmerzhaft, hier so selig war.Und knieend im Schnee und über dich geschobenHab' ich aus deiner grünen AugentiefeEinen schönen Stern gehoben.Sterne schwimmen auf den milden Fluten,Die alles tragen.Was willst du noch sagen,Du Glänzende, in deinen Abendgluten!",l00170303,Mich jammerte...,"Mombert, Alfred",2,4,Deutsche Lyrik seit Liliencron. Herausgegeben von Hans Bethge. Leipzig 1905,b'1905',"Bethge, Hans"
1,"Das war der Duft, der deinem Haar entströmt,Der mich umhüllt gleich einer Zauberwolke!— In tiefem Sinnen saß ich still bei Nacht,Und die Gedanken sengten mir die Stirn —Da war es mir, als wehte mir entgegenEin fremder Hauch aus fern vergeßnen Welten — —Ich strecke meine Arme nach dir aus!Das war der Duft, der deinem Haar entströmte...",l00170151,Das war der Duft...,"Hartleben, Otto Erich [alt. Hartleben, O. Erich; Hartleben, Erich]",1,8,Deutsche Lyrik seit Liliencron. Herausgegeben von Hans Bethge. Leipzig 1905,b'1905',"Bethge, Hans"
2,"Ich liege mit einer Frau im offnen Fenster.Die beiden Arme ruhen beieinander,Wir schaun hinab in ein Blumengärtchen.Blicken beide stumm auf eine rote Nelke.Wir wissen, daß wir jetzt und so uns lieben.Auch: daß wir niemals mehr uns lieben werdenNach diesem Augenblick.",l00170289,Ich liege...,"Mombert, Alfred",1,7,Deutsche Lyrik seit Liliencron. Herausgegeben von Hans Bethge. Leipzig 1905,b'1905',"Bethge, Hans"
3,"Schwermütig wächst mein FriedenIn Herbst und Einsamkeit.Mein Weg zur DämmerzeitVergraut wie abgeschieden.Ich fühle mich GestaltUnd Wesen tief vertauschen;Wildfremde Schritte rauschenDurchs Blattgewirr im Wald.Still geh' ich, schattenlosIm Grau, als wandle sichDer lange Weg in mich,Auf dem ich wurde groß.Daß ich der Wandrer bin,Der diesen Weg gegangen,Sind Worte, die verklangen,Und haben keinen Sinn.",l00170386,Der Wandrer,"Scholz, Wilhelm von",4,4,Deutsche Lyrik seit Liliencron. Herausgegeben von Hans Bethge. Leipzig 1905,b'1905',"Bethge, Hans"
4,"Die jubelnd nie den überschäumten BecherGehoben in der heiligen Mitternacht,Und denen nie ein dunkles Mädchenauge,Zur Sünde lockend, sprühend zugelacht —Die nie den ernsten Tand der Welt vergaßenUnd freudig nie dem Strudel sich vertraut —O sie sind klug, sie bringen's weit im Leben...Ich kann nicht sagen, wie mir davor graut!",l00170153,Die jubelnd nie...,"Hartleben, Otto Erich [alt. Hartleben, O. Erich; Hartleben, Erich]",2,4,Deutsche Lyrik seit Liliencron. Herausgegeben von Hans Bethge. Leipzig 1905,b'1905',"Bethge, Hans"
5,"Ich bitte dich, Herrgott, durch Christi Blut,Bewahr mir meinen lieben Liebsten gut!Ich bitte dich, Herrgott, aus Herzensgrund,Daß mich mein Liebster küßt auf meinen roten Mund!Kniefällig bitt' ich dich, bei meiner Seligkeit,Gib, daß er stirbt, wenn er ein' andre freit.",l00170284,Mädchengebet,"Miegel, Agnes",3,2,Deutsche Lyrik seit Liliencron. Herausgegeben von Hans Bethge. Leipzig 1905,b'1905',"Bethge, Hans"
6,"Zwei Menschen gehn durch kahlen, kalten Hain;Der Mond läuft mit, sie schaun hinein.Der Mond läuft über hohe Eichen;Kein Wölkchen trübt das Himmelslicht,In das die schwarzen Zacken reichen.Die Stimme eines Weibes spricht:Ich trag' ein Kind, und nit von dir,Ich geh' in Sünde neben dir.Ich hab' mich schwer an mir vergangen.Ich glaubte nicht mehr an ein GlückUnd hatte doch ein schwer VerlangenNach Lebensinhalt, nach MutterglückUnd Pflicht; da hab' ich mich erfrecht,Da ließ ich schaudernd mein GeschlechtVon einem fremden Mann umfangen,Und hab' mich noch dafür gesegnet.Nun hat das Leben sich gerächt:Nun bin ich dir, o dir, begegnet.Sie geht mit ungelenkem Schritt.Sie schaut empor; der Mond läuft mit.Ihr dunkler Blick ertrinkt in Licht.Die Stimme eines Mannes spricht:Das Kind, das du empfangen hast,Sei deiner Seele keine Last,O sieh, wie klar das Weltall schimmert!Es ist ein Glanz um alles her;Du treibst mit mir auf kaltem Meer,Doch eine eigne Wärme flimmertVon dir in mich, von mir in dich.Die wird das fremde Kind verklären,Du wirst es mir, von mir gebären.Du hast den Glanz in mich gebracht,Du hast mich selbst zum Kind gemacht.Er faßt sie um die starken Hüften.Ihr Atem küßt sich in den Lüften.Zwei Menschen gehn durch hohe, helle Nacht.",l00170090,"Aus ""Zwei Menschen""","Dehmel, Richard",5,3,Deutsche Lyrik seit Liliencron. Herausgegeben von Hans Bethge. Leipzig 1905,b'1905',"Bethge, Hans"
7,"Ich hab' es nie so tief gewußt,Was heimlich webt, wo Menschen mich umdrängen:Was ich im Wind verschüttet, Rausch und Lust,Was ich an Leid begrub auf stillen Gängen,Flutet von euch zurück in meine Brust.Dann bin ich wie ein Baum im Abendwehn,Von dem ein trunkener Schatten niederschwebt,Ich seh' verworrn in meinem Schatten gehnViel Menschenleben, die ich selbst gelebt:Ein wildes Jahr, im Rausch zu Grab gelenkt,Ein Wintermond, drin Herdschein mir gefunkelt,Ein grauer Tag, den ich an Gott verschenkt,Ein goldener Abend, trauerüberdunkelt.Was ich im Wein vergaß, im Abend litt,Trägt Brust um Brust in ihre Stille mit.Und leis zerrinnt des Schattens blaue PrachtUnd einsam wie ein Wald rauscht tiefe Nacht.",l00170134,Unter den Menschen,"Greiner, Leo",1,17,Deutsche Lyrik seit Liliencron. Herausgegeben von Hans Bethge. Leipzig 1905,b'1905',"Bethge, Hans"
8,"Gib mir nur die Hand,Nur den Finger, dannSeh' ich diesen ganzen ErdkreisAls mein Eigen an!O, wie blüht mein Land!Sieh dir's doch nur an,Daß es mit uns über die WolkenIn die Sonne kann!",l00170086,Erhebung,"Dehmel, Richard",2,4,Deutsche Lyrik seit Liliencron. Herausgegeben von Hans Bethge. Leipzig 1905,b'1905',"Bethge, Hans"
9,"So müßt' es sein:In deinem ErkerzimmerVerglühn die roten Scheite im Kamin;Dein Füßchen leuchtet auf im FeuerschimmerUnd zuckt zurück, wenn ein paar Funken sprühn.Sonst Finsternis. — Doch niemand ruft nach Licht,Im weiten Schlosse ist kein Schritt zu hören.Nur manchmal will ein fremder Laut uns stören...Gewiß, die Bodenfenster schließen nicht. —Und wieder schaun wir reglos in die GlutUnd sind so stumm und hätten viel zu sagen,Doch niemand will das erste Wörtchen wagen,Denn dieses Schweigen ist so süß und gut.In unsern Augen ruht ein eigner Glanz;Der überleuchtet tiefste Dunkelheiten,Und so, im Atem stummer Seligkeiten,Fühl' ich dich ganz,Fühlst du mich ganz...So müßt' es sein!",l00170234,Träumerei,"Jacobowski, Ludwig [alt. Jakobowsky, Ludwig]",3,1,Deutsche Lyrik seit Liliencron. Herausgegeben von Hans Bethge. Leipzig 1905,b'1905',"Bethge, Hans"
