,text,ID,Titel,Autor,Strophen,Verse,Anthologie,Jahr,Hrsg
0,"Wer trat in Deutschland die Wahrheit in den Staub?Die Philosophen, mit Verlaub!Wer hat in Deutschland den lieben Gott erschlagen?Die Theologen, um's kurz zu sagen!***Verrammelt sitzen sie und breitIn ihren dumpfigen Schreiberstuben,Die Väter und die BubenIch aber rufe: ""So seid doch gescheidt!Die Thore auf sperrangelweit!Was nützt euch die Schildwacht vor den Thoren,Wenn innen schon auf den CorridorenGewappnet schreitet die neue Zeit?""",l0060105,Sprüche,"Ziel, Ernst",3,8,"Moderner Musen-Almanach auf das Jahr 1893, hrsg. von Otto Julius Bierbaum. München 1893.",b'1893',"Bierbaum, Otto Julius"
1,"Eine Düne.Auf ihr,Einsam,Ein Haus,Draußen Regen,Ich am Fenster.Hinter mir,Tiktak,Eine Uhr,Meine StirnGegen die Scheibe.Nichts.Alles vorbei!Grau der Himmel,Grau die See,Und grauDas Herz.",l0060033,Herbst,"Holz, Arno",5,4,"Moderner Musen-Almanach auf das Jahr 1893, hrsg. von Otto Julius Bierbaum. München 1893.",b'1893',"Bierbaum, Otto Julius"
2,"Frühling im Garten! — In dufttrunkner Helle,Farbensatt schimmernd, blinzelt er da...Heissa, wie jubelt und jauchzt die KapelleLustig ihr Trallala, Trallala — la.Hinten, da grüßen Bäume und Felsen,Spiegeln sich glitzernd im welligen Bett;Schwäne gleiten mit steifen Hälsen,Damen und Herren spazieren kokett.Rauschende Kleider, Lachen und Schreien,Männlein und Weiblein, Blicke voll Gluth,Wandeln allein oder lauschig zu zweienFrühlingsgeputzt um die spiegelnde Fluth.Blinde auf Bänken, Kranke auf Krücken,Dazwischen hinhuschend hie und daLautlos der Tod mit Erlöserblicken...Lustig jauchzt weiter das Trallala — la...",l0060050,Im Kurgarten,"Jacobowski, Ludwig [Jakobowsky, Ludwig]",4,4,"Moderner Musen-Almanach auf das Jahr 1893, hrsg. von Otto Julius Bierbaum. München 1893.",b'1893',"Bierbaum, Otto Julius"
3,"Tief in der Erde SchooßSchlagen wir Kohle los,Fern von der Sonne erquickendem Licht,Ach, wie unendlich lang dauert die Schicht!Tief in der Erde SchooßElend ist unser Loos.Tief in der Erde SchooßKauern wir nackt und bloß,Schwingen die Haue, gebadet im Schweiß —Wie ist die Luft doch so dumpfig und heiß! —Tief in der Erde SchooßTrifft uns des Todes Stoß.Tief in der Erde SchooßGehet das Unrecht bloß,Frißt an des Volkes gesundestem Stamm,Wie an den Stützen des Hauses der Schwamm.Tief in der Erde SchooßZeigt sich die Habsucht bloß.Tief in der Erde SchooßDröhnet ein wild Getos:""Lange waren wir hungernde Knechte,Laßt uns erneuern die alten Rechte!"" —Tief in der Erde SchooßDröhnet ein wild Getos.Und aus der Erde SchooßSteiget ein Riese groß,Über das Unrecht mit wuchtigem TrittSchreitet zermalmend sein mächtiger Schritt —Tief aus des Volkes SchooßSteiget der Zukunft Loos.",l0060097,Tief in der Erde Schooß,"Seidel, Robert",5,6,"Moderner Musen-Almanach auf das Jahr 1893, hrsg. von Otto Julius Bierbaum. München 1893.",b'1893',"Bierbaum, Otto Julius"
4,"Vom Baum der Menschheit nur ein angefaultes Blatt,Das von dem grünen Laube ausgestoßen,So fall ich langsam,LangsamIns Unendliche.Wenn der Wind durch die Wälder seufzt,Und vor der rauschenden LindeEin angefaultes BlattHerniedersinkt,Dann kauert obenDie kühle Nacht,Und unten ruhenGräber.So kauert obenDie kühle Nacht,Und unten ruhenGräber,Wenn ichVom Baum der Menschheit nur ein angefaultes Blatt,Das von dem grünen Laube ausgestoßen,Langsam falle,LangsamIns Unendliche...",l0060051,Faules Blatt,"Jacobowski, Ludwig [Jakobowsky, Ludwig]",3,10,"Moderner Musen-Almanach auf das Jahr 1893, hrsg. von Otto Julius Bierbaum. München 1893.",b'1893',"Bierbaum, Otto Julius"
5,"Der Hungertod im Schnee auf Haiden istEin lustig Schwelgefest in Hochgenüssen,Viel Klafter tief im Sarg erwachen istEin fröhlich Augenauf zu Glücksergüssen,Der höllischen Verdammnis Schrecken ist,Ein Rosengarten unter Frühlingsküssen,Denk' ich daran, wie Herz und Seel' es frißt,Stündlich der Geldnoth ins Gebiß zu müssen.",l0060011,Qualvollstes Sterben [Sicilianen],"Liliencron, Detlev von [Liliencron, Detlev Freiherr von; alt. Liliencron, Detlev Frhr. von]",1,8,"Moderner Musen-Almanach auf das Jahr 1893, hrsg. von Otto Julius Bierbaum. München 1893.",b'1893',"Bierbaum, Otto Julius"
6,"Es soll mit der Zeit die Schule gehn,Mit ihr, der vorwärts winkenden,Am Born des Lichtes trinkenden.Sie soll der Zeit die Spule drehn,Der werdenden, nicht der sinkenden.Ein Saatfeld soll sie, breit gepflegt,Für dieser Tage Samen sein,Soll's in der Zukunft Namen sein.Und daß sie zu Bürgern der Zeit uns prägt,Das soll ihr tägliches Amen! sein.Ihr aber, Kathederzöpfe ihr,Ihr ganz in Scholastik VerlorenenUnd drum von der Kirche Erkorenen,Stumpf macht ihr die schärfsten Köpfe schier,Die zu was Besserm geborenen.Die Bibel ist wohl ein gutes Buch,Doch wie sie heute zünftig ist —Wir wollen nicht, daß sie es künftig ist!Zu Einem nur zieht uns des Blutes Zug:Zu glauben, was vernünftig ist.Zu viel ist in Griechisch, Latein geschehn;Gebt uns statt des Todten Lebendiges,Gebt uns Modernes, Verständiges,Und wollt euch endlich eingestehn:Im Leben regiert Notwendiges!Drum thut vor allem die Pfaffen abIm Lehramt hoch und niederig,Die Pfaffen glatt und widerig!Thut ab, thut die Schlaraffen ab,Die Spinnen tausendgliederig!Ihr seid fürwahr! ein kleinlich Geschlecht,Ihr ewig lateinisch Leimenden,Ihr credo mit cedo Reimenden!Ihr macht die Geister ""hübsch reinlich"" zurechtUnd mordet den Geist, den keimenden.Der Same, den ihr in die Massen streut,Erzieht uns den kriechenden Kämmerling,Den ganz verkirchlichten Dämmerling!Schon reichen sich auf den Gassen heutDie Hände nur Schwächling und Jämmerling.Und meint ihr, es solle so weiter gehn?Uns lebt ein freiheitforderndes,Ein heißes Jahrhundert, ein loderndes.In Flammen wird bald die Scheiter stehn,Die Faules verzehrt und Moderndes.Nicht steht, was geistig, hienieden still,Und jocht ihr's mit Priestern und ""Gnädigen"",So werden's die Fäuste erledigen.Und dies soll wer da Frieden will,Auf allen Märkten predigen.",l0060103,Den Schulfüchsen,"Ziel, Ernst",10,5,"Moderner Musen-Almanach auf das Jahr 1893, hrsg. von Otto Julius Bierbaum. München 1893.",b'1893',"Bierbaum, Otto Julius"
7,"Markt vor Jerusalem und Volksgedränge...""Die Ehebrecherin! Auf! Steinigt sie!""""Nein! Nackt an's Kreuz mit ihr!"" ""Das Weib muß bluten —Nur nicht gefackelt!"" — Halt! — ""Da kommt der Rabbi,Der weise Rabbi kommt, der soll uns predgen!""""So gib doch Antwort, Mann von Nazareth,Du bist doch sonst — — Bist seltsam heut befangen!""Er schweigt und sinnt, der bleiche, hagre Mann,Wehmütig zuckt's um seine blassen Lippen,Er schweigt. — ""Du willst nicht reden? Gib uns Rath"" ...""Wer ohne Sünde unter Euch, der werfeDen ersten Stein auf sie."" Er blickt sie anEr blickt sie müde an, er seufzt und schweiget.Als hätt' er mehr zu sagen...— — — — — — — — — — — — —""Franziska, du! Du eines andern Weib —!Hast mir das Leben bettelarm gemacht!Was bleibt mir noch? Ich komme aus der Fremde,Und seh', daß du — — Weißt du nicht mehr, Franziska,Den Abend — da im Park — ""ich lieb' dich"", sprachst du.""""Ernst! Hör' mich an! Du weißt nicht, kannst nicht wissen —Es ist nicht wahr, daß ich den andern liebe.Dich lieb' ich, hörst du? Glaube doch, dich lieb' ich!""""Wie? bist du rasend?""""Ernst, ich liebe dich!"" —— — — — — — — — — — — — — —""Wie lind die Luft! Du hängst in meinem Arme,Wie damals, weißt du noch?, so ganz wie damals,Da sich zum ersten Mal die Lippen fanden.Wie damals blickt dein braunes Aug' mich an...Gib einen Kuß mir, einen! — — Wie du lieb bist..Jetz küss' ich dich! Küss' dich auf beide Augen.""""Nein, laß mich, Ernst. Ich bin — so — überselig —So — müde... Laß an deiner Brust mich schlafen.""""So komm! Das Moos ist weich: wir setzen uns.Wie schwül es ist. Siehst du? Kein Blättchen regt sich...Nein! lege nicht den Kopf auf meine Schulter,Daß mich dein Athem streift. Ich — ich ertrag's nicht!""""Warum nicht Emst?""""Weil ich — weil ich dich liebe!""""Noch immer?""""Kannst du zweifeln?""""Böser, Lieber —Dein bin ich... Laß doch! .. dir gehör' ich.. du...""— — — — — — — — — — — — — —Sie brauchen Licht, die Blumen allesammt.Sie brauchte viel Licht, meine blasse Blume.Sie haben des Lichtes sie beraubt. Sie habenMit Steinen sie geworfen, ausgestoßen,Geschmäht, gelästert meine blasse Blume.Da senkte sie das Köpfchen — welkte — starb — —.— — — — — — — — — — — — — —Wann? frag ich, wann soll uns der Heiland kommen,Der es bekennt, vor allem Volk es predigt:""Ich finde keine Schuld an ihr!"" —",l0060024,Die Ehebrecherin,"Heilborn, E.",8,3,"Moderner Musen-Almanach auf das Jahr 1893, hrsg. von Otto Julius Bierbaum. München 1893.",b'1893',"Bierbaum, Otto Julius"
8,"Jüngst sah den Heiland in weißem GewandIch schreiten durch goldenes Ernteland.Die gelben Halme von Segen schwer,Es lachte in Meeren blaßgolden her,In heißer flimmernder Sommerglut,Der reife Segen in seiner Hut.Er ging dahin mit ruhigem Schritt,Und Lerchengrüße wanderten mitAus Himmelsblau voll SeligkeitDer leuchtend stillen Sommerszeit.Nur einmal brach er ein Röslein vom RandDes Rains, der ganz voll Blumen stand,Stand still und roch, sich neigend, dran,Dann hub er wieder zu schreiten an.Doch wundersam war sein Gesicht:So schön und rein sah ich's noch nicht.Strahlend und siegreich wie des ApollUnd doch der klarsten Güte voll,Die alle Schmerzen überwunden,Die qualverzweifeltsten der Stunden;Die nichts von Bitterniß mehr kennt,Nur wie ein adlig Feuer brenntIm Herzen, das krystallenreinDas Bild der Welt schließt segnend ein.Und wundersam: — von den Menschen allen,Auf die nur je mein Blick gefallen,Die einst ich sah in Kraft beglückt,Die tief ein Kümmerniß bedrückt,Fand ich verklärt einen leisen Zug,Den er auf seinem Antlitz trug. — —Und wo er trat auf weißen Wegen,Da heimsten die Menschen den ErntesegenBei feierlichstem SichelklangDie sommerklaren Tage lang,Im Frieden kraftvoll, glücklich stark,Ein rein Geschlecht voll Heldenmark. —Und vor dem Dörflein, auf leuchtendem Plan,Wo silbern ein Brünnlein rauschend rann,Da hielt der Heiland die Schritte an.Da saßen die Alten und sahen zuDem Erntetreiben in stiller Ruh,Und silberner Kinderstimmen SchallVermischte sich mit des Brünnleins Fall.Der gleiche Ernst auf KindermienenUnd Runzelgesichtern, sonnbeschienen,Im Aug' die feierlichste Ruh. — —Ein Weilchen sah der Heiland zuZum leisen Segnen erhob er die Hand.Dann schritt er weiter im weißen GewandDurch golden schimmerndes Ernteland.",l0060070,Gesicht,"Weigand, Wilhelm",1,50,"Moderner Musen-Almanach auf das Jahr 1893, hrsg. von Otto Julius Bierbaum. München 1893.",b'1893',"Bierbaum, Otto Julius"
9,"""Verstand ist selten bei Tenören,""Kriegt Cantarelli oft zu hörenUnd stellt sich dümmer als nothwendig, — bloß,Damit man sagt, er sei als Sänger groß.",l0060106,Eitelkeit [Epigramme],"Wohlmuth, Alois",1,4,"Moderner Musen-Almanach auf das Jahr 1893, hrsg. von Otto Julius Bierbaum. München 1893.",b'1893',"Bierbaum, Otto Julius"
