,text,ID,Titel,Autor,Strophen,Verse,Anthologie,Jahr,Hrsg
0,"So auf der Wandrung kreuz und querKam der Tod einmal die Wiese her.Kein abgestorben bleiches Blut;Ein Tausendsassa und Übermut.Er sah wie ein prächtiger Bursche aus:In der Hand einen Herbstzeitlosenstrauß,Ein keckes Hütlein auf dunklem Gelock,In Bergschuhen, Rucksack und Wanderstock —Ein Graus, und doch ein Schmuck so stolz,Waren Augen, schwarz wie Ebenholz,Die unter steiler Stirne voll kühner GedankenGlühten, und alles Leben tranken.Ein Mägdlein saß unterm WeidenbaumUnd träumte von Liebe wohl seligen Traum.Kaum hatt' er's ersehen, — ein Sprung! — und husch!Da war er schon unter dem Weidenbusch.Ein Kuß saß gleich auf dem frischen Mündchen, —Er setzte sich zu ihr, — so ein ViertelstündchenGeplauder, — Geschmoll, — und ein Gezier,Sah aus wie ein ernsthaftes Bössein schier.Doch bald ein lustig Gekuschel und Scherzen,Und ein Verliebtsein, so recht von Herzen. —So saßen sie noch eine kurze Zeit, —Ihr schien's eine heitere Seligkeit.Blutrot ging nun die Sonne unter.Da ward der Geselle so recht erst munter,Er stellte mit zierlichem Bückling sich hinUnd nannte sie jungschöne Schäferin,Und steckte den Strauß ihr an den BusenUnd schwatzte von Parzen und Faunen und Musen,Und lud sie fein zärtlich zum Tanze ein,Zum wirbelnden Tanze im MondenscheinHier auf dem grünen Wiesenplan.Schon warte im Busch sein Freund, der Pan,Nun helfe kein Zaudern und kein Erröten,Er wähle zum Spiel schon die feinsten Flöten.Und schnell sie die Arme umfangen hatten,Sie schwebten dahin, so leicht wie Schatten,Und tanzten, daß ihr die Pulse flogen.Und immer weiter schwang er den Bogen,Und immer feuriger tanzte sie,Denn er war ja ein wahres Tanzgenie,Und der Pan, im Busch versteckt,Hatte ein Spiel da ausgeheckt,Ein Singen und Klingen und Trillern und Pfeifen,— Es mußte ihr ja an die Seele greifen, —Von feuriger Lust und wildem Genießen,Von jauchzender Jugend und Glückerschließen,Von seligen Träumen, von Sternen und Licht,Von goldenen Früchten, die Liebe bricht,Und allem Süßen und allen Wonnen,Die je ein Dichter nur ausersonnen! —Und immer wilder und wilder die Weise,Und immer weiter und weiter die Kreise,Und immer leiser und leichter der Tritt,Als nehme ein wirbelnder Wind sie mit,Und heißer und immer heißer der Hauch,Und immer kürzer und kürzer auch,Und ein Jauchzen, ein Singen und wieder ein Bangen,Und ein Taumel, Entsagen und brünstig Verlangen, —Und immer schriller und schriller die Weise,Und immer toller im Wirbel die KreiseKurz abgebrochen... morendo... Cadenz —Der Tod macht höhnisch ihr Reverenz,Da nach des Panes verlockendem Spiel,Sie leblos ihm in die Arme fiel.Er trug sie leicht dann hin zum Busch, —Ein kurzer Bückling, ein Grinsen, — und husch!Sprang er dann lustig ins Dorf hinein,Zu weiterem Tanze zu laden ein. —Leise raschelt's im Laub. — Der PanSchleicht mit grinsender Fratze heran,Besieht begehrlich die junge LeicheUnd freut sich seiner frechen Streiche —Er streut dann den HerbstzeitlosenstraußFein sachte ihr über den Busen aus,Küßt ihr dann flüchtig die blonden Locken. —Dann hinter dem Freund her, — und jauchzt ein FrohlockenUnd freut sich schon auf den neuen Tanz,Noch zauberschöner im Mondenglanz. — — —",l00100116,Der Tänzer,"Holzamer, Wilhelm",5,10,"Die Perlenschnur. Eine Anthologie moderner Lyrik, hrsg. von Ludwig Gemmel, Buchschmuck von Hans Heise. Berlin und Leipzig 1898.",b'1898',"Gemmel, Ludwig"
1,"Im Nebel quälen sich die Gaslaternen;der Domplatz und davor die Reihe Lindenscheint hinter starren Mauern zu verschwinden,und alles Nahe drängt in weiße Fernen.Ein Wagen rollt im Trabe mir vorbei,ob rechts, ob links, ob fern, ob drohend dicht —ich mühe mich, doch ich erkenn' es nicht;gleichförmig klappt des Aufschlags Einerlei.Dann grabesstill. Mir schwinden Raum und Zeit —:Auf weiter Haide bin ich eingeschneit;mir ist, daß keine Seele mich vermisse.Ringsher ballt sich der Nebel mir entgegen,und schauernd fühl' ich um mein Herz sich legendie große Todesfurcht... das Ungewisse...",l00100033,Nebel,"Bruns, Max",4,3,"Die Perlenschnur. Eine Anthologie moderner Lyrik, hrsg. von Ludwig Gemmel, Buchschmuck von Hans Heise. Berlin und Leipzig 1898.",b'1898',"Gemmel, Ludwig"
2,"Jahrelang sehnten wir uns,Einen Garten unser zu nennen,Darin eine kühle Laube stehtUnd rote Rosen brennen.Nun steht das Gärtchen im ersten Grün,Die Laube in dichten Reben,Und die erste Rose willUns all' ihre Schönheit geben.Wie sind nun deine Wangen so blaß,Und so müde deine Hände.Wenn ich nun aus den Rosen dirEin rotes Kränzlein bände,Und setzte es auf dein schwarzes Haar,Wie sollt' ich es ertragen,Wenn unter den leuchtenden Rosen hervorZwei stille Augen klagen.",l00100085,Späte Rosen,"Falke, Gustav",4,4,"Die Perlenschnur. Eine Anthologie moderner Lyrik, hrsg. von Ludwig Gemmel, Buchschmuck von Hans Heise. Berlin und Leipzig 1898.",b'1898',"Gemmel, Ludwig"
3,"Du hungerst nach Glück, Eva,und fürchtest dich, den Apfel zu pflücken,den dein Gott dir verboten hatvor dreitausend Jahren,du junges Geschöpf!Jeden Abend seh ich dich,wie du die magern Händchenin deinem einsamen Betteemporringst zu dem Gott der alten Leute:Gieb ihn, gieb ihn mir!Du arme Geduld!Er hat noch nie die Furchtsamen beglückt,der alte Gott.Er gab dir deinen Hunger, deine Hände:greif zu und iß — dann dulde!",l00100047,Gottes Wille,"Dehmel, Richard",3,5,"Die Perlenschnur. Eine Anthologie moderner Lyrik, hrsg. von Ludwig Gemmel, Buchschmuck von Hans Heise. Berlin und Leipzig 1898.",b'1898',"Gemmel, Ludwig"
4,"Auf Blut und Leichen, Schutt und Qualm,Auf roßzerstampften SommerhalmDie Sonne schien.Es sank die Nacht. Die Schlacht ist aus,Und mancher kehrte nicht nach HausEinst von Kolin.Ein Junker auch, ein Knabe noch,Der heut das erste Pulver roch,Er mußte dahin.Wie hoch er auch die Fahne schwang,Der Tod in seinen Arm ihn zwang,Er mußte dahin.Ihm nahe lag ein frommes Buch,Das stets der Junker bei sich trug,Am Degenknauf.Ein Grenadier von Bevern fandDen kleinen erdbeschmutzten BandUnd hob ihn auf.Und brachte heim mit schnellem FußDem Vater diesen letzten Gruß,Der klang nicht froh.Dann schrieb hinein die Zitterhand:""Kolin. Mein Sohn verscharrt im Sand.Wer weiß wo.""Und der gesungen dieses Lied,Und der es liest, im Leben ziehtNoch frisch und froh.Doch einst bin ich, und bist auch duVerscharrt im Sand, zur ewigen Ruh,Wer weiß wo.",l00100139,Wer weiß wo,"Liliencron, Detlev von [alt. Liliencron, Detlev Frhr. von; Liliencron, Detlev Freiherr von]",5,6,"Die Perlenschnur. Eine Anthologie moderner Lyrik, hrsg. von Ludwig Gemmel, Buchschmuck von Hans Heise. Berlin und Leipzig 1898.",b'1898',"Gemmel, Ludwig"
5,"Es hat die Nacht die bleiche Hand erhobenUnd tausend Sterne hingesät.Durch mondeshelle Lüfte wehtZitternd die Sehnsucht von dort oben; —Sie steigt hinab, von Licht und Traum umschlungen,Und drückt das Glück in unsre Hand.Da hat sich von der HimmelswandEin weißes Sternchen losgerungen...",l00100066,Unser Glück,"Donath, Adolph [alt. Donath, Adolf]",2,4,"Die Perlenschnur. Eine Anthologie moderner Lyrik, hrsg. von Ludwig Gemmel, Buchschmuck von Hans Heise. Berlin und Leipzig 1898.",b'1898',"Gemmel, Ludwig"
6,"Schaukelt weiter mich, ihr Wellen! .. schaukelt weiter                           mich, ihr Winde.. durch die wunderbare Ruhe dieser                           lichten Einsamkeit.. leise, leise wiegt mich weiterin die Fernezu den stillen, weißen Wolken, die den Horizont umklimmen..Tragt mich fort, wohin ihr wollt!Immer mehr versinkt die Küste mit dem Strand und                            mit den Bergen.. Alles wird zu blauem Glanz..Selig lieg ich auf den Rücken, horche auf die Ammenlieder,                            die mir Wind und Wellen singen.. falte langsam                           meine Hände.. schließe lächelnd meine Augen und verträume                           in den Himmel,wie ein Kind in stiller Wiege..Meine Mutter ist die Sonne —.............meine Mutter ist die Sonneund ich weiß, sie hat mich lieb!",l00100096,Im Kahn,"Flaischlen, Cäsar [alt. Flaischlen, Caesar]",5,4,"Die Perlenschnur. Eine Anthologie moderner Lyrik, hrsg. von Ludwig Gemmel, Buchschmuck von Hans Heise. Berlin und Leipzig 1898.",b'1898',"Gemmel, Ludwig"
7,"Ich kam zu einer WieseIm roten Abendschein.Da tanzten ihrer Zweie,Doch Einer saß allein.Ein dunkler Hagrer saß im Gras,Der pfiff den Zwei'nSo sonderlichen Tanztakt.Er pfiff für sich,Sie tanzten für sich,Aber die Weise war Dreien gemein;Klang so voll Zorn und SehnsuchtIn's ferne Abendrot hinein...",l00100215,,"Schlaf, Johannes",1,12,"Die Perlenschnur. Eine Anthologie moderner Lyrik, hrsg. von Ludwig Gemmel, Buchschmuck von Hans Heise. Berlin und Leipzig 1898.",b'1898',"Gemmel, Ludwig"
8,"Kam Frau Sehnsucht still heran,Sah mich an.Saß an meines Bettes Ende,Glühend wichen rings die Wände,Und sie hob die bleichen Hände,Hob sie durch die schwarze NachtSanft und sacht.Und mich würgten tausend Schlangen,Wühlten mir um Stirn und Wangen,Und die Cello-Töne klangen,Klangen zitternd, Stich um Stich,Und sie strich:""Horch, horch auf... die Palmen schauern!""Wo die blauen Zelte trauern,""Braune Leoparden lauern, —""Geht ein Flüstern... Dämmerfahl""Bebt mein Thal.""Wo sich bunte Mädchen wiegen,""Wilde Sterne flackern, fliegen,""Leuchtend in den Teichen liegen, —""Blüht mein Land und lockt mein Sang""Nächtelang.""Horch, horch auf... die Stunden gleiten,""Und Du siehst in Dämmerweiten""Venus, meine Fürstin, schreiten,""Und sie winkt mit bleichem Kranz,""Winkt zum Tanz.""Und Du hörst die Quellen klingen,""Leise knospen Dir die Schwingen...""Laß uns tanzen, tanzen, springen!""Kling und Klang — den schönsten Lauf""Spiel ich auf.""Also spielt sie Tage, Wochen,Daß mir wild die Pulse pochen,Spielt wohl, bis mein Herz gebrochen —Und Frau Venus, bleich und nackt,Schlägt den Takt.",l00100149,,"Lindner, Anton",8,5,"Die Perlenschnur. Eine Anthologie moderner Lyrik, hrsg. von Ludwig Gemmel, Buchschmuck von Hans Heise. Berlin und Leipzig 1898.",b'1898',"Gemmel, Ludwig"
9,"Die blaue Nacht geht leuchtend übern See;im Mondschein strahlt der weiße Bergesschnee.Durch ferne Wolken flammt ein fahles Licht,wie von Gewittern, doch sie zünden nicht.Die Hand in meiner Hand scheucht alle Pein..Oh dieses tiefe, tiefe Seligsein! ..Nun wurde mir das goldene Verstehn:ich darf dem Glück in beide Augen sehn.",l00100072,Nach dem Gewitter,"Evers, Franz",2,4,"Die Perlenschnur. Eine Anthologie moderner Lyrik, hrsg. von Ludwig Gemmel, Buchschmuck von Hans Heise. Berlin und Leipzig 1898.",b'1898',"Gemmel, Ludwig"
