,text,ID,Titel,Autor,Strophen,Verse,Anthologie,Jahr,Hrsg
0,"Rück naher, Lieber, laß uns niedersitzen,Von deiner Heimat sollst du mir erzählen,Indes ich innig fasse deine Hand,Vom Dörfchen sprich mir, fern im Frankenland.Wo fröhlich dir am Baum in junger SonneDes Heimaterdreichs deine Kraft erblüht.Ach, wurzellos, vor jedem Wind getrieben,Wuchs in der Brust mein heimatloses Lieben.Sieh, zwischen uns steht tausendjähr'ges Weinen,Verlorner Jammer des gehaßten Volks;Und wo du zugreifst und das Glück umfaßt:Muß ich erst umschaun auf die Leidenslast.Ein aufgescheuchtes Heer von fremden Vögeln,Die jeder Gassenbube frech verjagt:Die Heimatlosen wir vom Stamm der JudenAn fremden Tischen, die zum Spott uns luden.Doch wenn ich still mich an die Brust dir schmiege,Dein blonder Bart mein dunkles Kraushaar küßt:Könnt' aller Haß vor jenem Glanz versinken!In Liebe, Heimat, Heimat sich die Seele trinken!",l00150044,Heimat,"Skorra, Thekla",5,4,"Frauenlyrik der Gegenwart. Eine Anthologie, zusammengestellt und hrsg. von Margarete Huch (M.H. Gareth). Leipzig 1911.",b'1911',"Huch, Margarete"
1,"Zum Stillesein, Herz, ist es jetzt nicht Zeit!Tritt an des Altars Stufen zu bekennenDein tiefstes Ich. Du sollst von denen sein,Die ihren Namen in die Seele brennen,Weil sie aus Gottes Kraft geboren sind.Zweimal geboren! — Aus dem Blut zuerstDann aus dem Geist! Die große FeuertaufeDes Menschenhasses hat dich frei gemacht,Heilig zu reden in dem Heiligtume.Herr, ich bekenne selig mich zu dir.Und ich bekenne mich zu deinem Leben!Aus deiner Tiefe gib du mir die Kraft,Den schweren Stein von meiner Gruft zu heben.Wie die zu reden, die begraben warenUnd nun aus Nacht und Schmerzen aufwärts fahren.",l00150158,Confiteor,"Herbert, M. [Pseud. von Keiter, Therese]",3,6,"Frauenlyrik der Gegenwart. Eine Anthologie, zusammengestellt und hrsg. von Margarete Huch (M.H. Gareth). Leipzig 1911.",b'1911',"Huch, Margarete"
2,"Ich danke dir, o Unergründlicher —In dieser einen Stunde dank ich dir,Daß du mir Leben gabst!O sieh mich an! Ich knie vor deinem Thron;Die eh'rnen Fesseln habe ich zersprengt,Die Arme heb ich frei zum Licht emporUnd danke dir. —Ich danke dir für diesen warmen Odem,Der als ein Opferhauch für deine GrößeSich lautlos über meine Lippen drängt.Ich danke dir für dieses Auges Tor,Durch das sich alle deine Wunder drängten,Um hier in meiner engen MenschenbrustDie ganze Welt sich leuchtend auszubau'n.Ich danke dir für diese tiefe Glut,Die wie der Freiheit Flammenzeichen brenntIn meiner Brust,In der die finstern Kerker meiner LeidenZusammenstürzen und gen Himmel lodern.Und ob kein Funken dieser heil'gen GlutZurückgelangt in deinen Weltenraum,Ob nichts der Nachwelt jemals künden wird:Hier schlug ein Herz, das heiß die Welt umschloß!— Ich fühle doch in dieser ew'gen StundeDie ganze Größe deines Riesenwerkes,Ich fühle deinen Schöpferhauch im Busen,Und ewig bin ich — ewig wie dein Werk.",l00150180,"Ich danke dir, o Unergründlicher","Susmann, Margarete [alt. Susmann, Margareta; Susman, Margarete]",1,27,"Frauenlyrik der Gegenwart. Eine Anthologie, zusammengestellt und hrsg. von Margarete Huch (M.H. Gareth). Leipzig 1911.",b'1911',"Huch, Margarete"
3,"Still zerfällt mir dein Kranz,Den du mir fordernd gegeben,Ewig leuchtendes Leben —Still zerfällt mir dein Kranz.Still, wie dein Licht mir entsinkt,Tief in der Nacht zu erkalten,Eh' es emporwinktNeuen süßen Gestalten.Daß ihre Hand am AltarHeiliges Feuer mir hüte —Stumme, geliebte ScharNie dem Dunkel entblühteTiefer hat nie dein GlanzSterbliche Sehnsucht entzündet,Schwerer ward nie dein KranzSterblichen Händen geründet.Still in des Todes HutBlasen die letzten Blüten —Die erloschene GlutWird keine Seele behüten.",l00150231,Still zerfällt mir dein Kranz,"Susmann, Margarete [alt. Susmann, Margareta; Susman, Margarete]",1,20,"Frauenlyrik der Gegenwart. Eine Anthologie, zusammengestellt und hrsg. von Margarete Huch (M.H. Gareth). Leipzig 1911.",b'1911',"Huch, Margarete"
4,"Das Leben ist so klein, der Tod so großEs schüttet seine ganze BlütengabeDem übermächt'gen Feinde in den SchoßUnd reißt sich blutend unter Tränen losVom Grabe.Doch leuchtend über Tod und Leben spanntDie Liebe ihren ew'gen Regenbogen;Sie hat das einzige, das ew'ge BandHinüber in das unbekannte LandGezogen.Sie folgt dem Scheidenden zur Gruft hinabUnd legt sich stumm und sehnend ihm zur Seite;Sie bleibt bei dem Verlassenen auf dem GrabUnd zieht mit ihm am dunklen WanderstabIns Weite.",l00150249,Das Leben ist so klein,"Susmann, Margarete [alt. Susmann, Margareta; Susman, Margarete]",3,5,"Frauenlyrik der Gegenwart. Eine Anthologie, zusammengestellt und hrsg. von Margarete Huch (M.H. Gareth). Leipzig 1911.",b'1911',"Huch, Margarete"
5,"An dem herbstlichen Himmel wandern sieÜber die Welt hin. Sturmwind treibt sie,Gleich einer Herde schneeiger WidderFreyas Gehöft zu, weiß und leuchtend,Mit silbernen Bändern.Aber gleich Wölfen, Wotans Wölfen,Feindlich der Herde,Jagen schwarze Gesellen dazwischen,Bläuliche Schatten im sträubenden Felle,Reißen in Fetzen des Vlieses Schimmer,Mit scharfem Zahn, daß flockende WolleWeit umherfliegt über den Himmel.Siehe, im WestenTut sich das Tor auf, funkelnd und golden,Scheu zu Boden ducken die Wölfe.Aber der Widder friedliche ScharenZiehen hinein in freundlichem Drängen,Und es leuchten in rosigen GlutenEwige Fluren.",l00150183,Herbstwolken,"Harder, Agnes",2,7,"Frauenlyrik der Gegenwart. Eine Anthologie, zusammengestellt und hrsg. von Margarete Huch (M.H. Gareth). Leipzig 1911.",b'1911',"Huch, Margarete"
6,"Du, den ich qualvoll rufe, Tag und Nacht,Unendlicher, der unsers Jammers lacht,Könnt' ich dir folgen durch die weite Welt,Dir folgen bis zum fernsten Sternenzelt,Ich läge kniend vor dir hingebeugt,Bis meiner Seele Flehen dich erweicht.O könnt' ich folgen, bleiben, wo du weilst,Grausamer Gott, der du von hinnen eilst,Sterne zu schaffen, neuer Sonnen Pracht,Nicht denkst des Leids, das deine Welt gebracht.Klein ist mein Weh vor deinem Angesicht,Doch ich bin Mensch — und ich ertrag es nicht.",l00150166,Gott,"Wernicke, Marie",2,6,"Frauenlyrik der Gegenwart. Eine Anthologie, zusammengestellt und hrsg. von Margarete Huch (M.H. Gareth). Leipzig 1911.",b'1911',"Huch, Margarete"
7,"Krächzt, ihr Raben, schreit, ihr Vögel,Ach, ihr singt mir grade recht,Und du, dichter Nebel, spinne,Spinne diese Erde ein;Spinne, spinne einen SchleierUm uns arme Menschenleben,Daß wir uns nicht schämen brauchen,Schämen unsrer nackten Not.Und ihr Raben, und ihr Krähen,Singt, ihr singt mir grade recht,Daß ich nicht das Weinen höre,Weinen der versenkten GötterIn der dumpfen Menschennot.Krächzt, ihr schwarzen Totenvögel,Denn mir weint das Herz nach innen,Weinet um gestorbnes Gut — — —Fort, — bringt mir die Totenlichter,Menschen, laßt die Lichter brennen,Denn das Herz lebt nur in Flammen,Laßt die Lichter aufwärts steigen,Denn das Herz lebt nur im Steigen,Laßt uns brennen, laßt uns brennen!Kalt und dunkel ist der Tod!",l00150185,Allerseelen,"Gareth, M. H. [Pseud. Huch, Margarete]",5,7,"Frauenlyrik der Gegenwart. Eine Anthologie, zusammengestellt und hrsg. von Margarete Huch (M.H. Gareth). Leipzig 1911.",b'1911',"Huch, Margarete"
8,"Kommt die Rede auf mein Haus,Gibt es hundert Fragen, — —Und man meint: ""Wird EinsamkeitDich nicht oftmals plagen?""Ungefragt sagt jeder dann,Wie ich's machen sollte, — — — —Seufzend denk' ich: ""Wenn doch nurEiner fragen wollte:Sag', wie haben Menschen dichJahrelang gequält,Daß du dir als höchstes GlückEinsamkeit erwählt?""",l00150131,Den Neugierigen,"Hielscher-Panten, Elsa",3,4,"Frauenlyrik der Gegenwart. Eine Anthologie, zusammengestellt und hrsg. von Margarete Huch (M.H. Gareth). Leipzig 1911.",b'1911',"Huch, Margarete"
9,"Es saß die Königin steif am Spinett,Der Reifrock bläht sich weit. Im Haar der Reiher nickt,Und Diamanten glänzen und RubinAm Schneppenmieder, reich mit Gold gestickt,Die schlanken Finger spielen Menuett,Ein krächzend Stücklein, hart und ohne Ton.Sie spielte falsch. Bedford und Leicester sahnSich heimlich an. Sie lächelten voll Hohn.Und neigten doch vor der Gebiet'rin sichUnd applaudierten mit beschuhter Hand,Und lobten ihre hohe MeisterschaftUnd ihren königlichen Kunstverstand.""Viel Dank, Mylords!"" Die Königin brach ab —Dumpfrollend scholl ein Trommelwirbel her,Ein Zügenglöcklein wimmerte von fern,Als ob ein Mensch in letzten Nöten wär.""Lord Leicester!"" sprach erstaunt Elisabeth,""Was will die Glocke und das Klaggeläut?"" —""Es ist für Essex, große Königin,""Sprach süß der Lord, ""man richtete ihn heut.""""Ach — so — für Essex! Das vergaß ich ganz!""Und höhnisch zog sie bogengleich den Mund.""Er war Rebell!"" — Doch ihr im Herzen lebtErinnerung an eine andre Stund.Da lag in Essex' starken Armen sie,Ganz selbstvergessen, drängend, Brust an Brust,Und Mund an Mund! Wie stand so blutig rotVor ihren Augen die vergangne Lust.Doch zeigt sie nichts. Ihr Angesicht bleibt hart,Graukalt das Aug', das Herz so bettelarm.— ""Man spielt ja Pyramus und Thispe heut —Ein lustig Stück! — Graf Leicester — Euren Arm!"" —",l00150203,Die Königin,"Herbert, M. [Pseud. von Keiter, Therese]",8,2,"Frauenlyrik der Gegenwart. Eine Anthologie, zusammengestellt und hrsg. von Margarete Huch (M.H. Gareth). Leipzig 1911.",b'1911',"Huch, Margarete"
