,text,ID,Titel,Autor,Strophen,Verse,Anthologie,Jahr,Hrsg
0,"Auf dem Dache sitzt der Spatz,Und die Spätzin sitzt daneben,Und er spricht zu seinem Schatz:""Küsse mich, mein holdes Leben!Bald nun wird der Kirschbaum blühn,Frühlingszeit ist so vergnüglich;Ach, wie lieb ich junges GrünUnd die Erbsen ganz vorzüglich!""Spricht die Spätzin: ""Teurer Mann,Denken wir der neuen Pflichten,Fangen wir noch heute an,Uns ein Nestchen herzurichten!""Spricht der Spatz: ""Das Nesterbau'n,Eier brüten, Junge fütternUnd dem Mann den Kopf zu krau'n —Liegt den Weibern ob und Müttern.""Spricht die Spätzin: ""Du Barbar!Soll ich bei der Arbeit schwitzen,Und du willst nur immerdarZwitschern und herumstibitzen?""Spricht der Spatz: ""Ich will dich hierMit zwei Worten kurz berichten:Für den Spatz ist das Plaisir,Für die Spätzin sind dir Pflichten!""",l0090155,Spatz und Spätzin,"Mayer, Karl",6,4,Neue Lieder der besten neueren Dichter für's Volk. Zusammengestellt v. Dr. L. Jacobowski. Berlin 1899.,b'1899',"Jacobowski, Ludwig [alt. Jakobowsky, Ludwig]"
1,"Der Nebel steigt, es fällt das Laub,Schenk' ein den Wein, den holden!Wir wollen uns den grauen TagVergolden, ja vergolden.Und geht es draußen noch so toll,Unchristlich oder christlich,Ist doch die Welt, die schöne WeltSo gänzlich unverwüstlich!Und wimmert auch einmal das Herz, —Stoß an und laß es klingen!Wir wissen's doch, ein rechtes HerzIst garnicht umzubringen.Der Nebel steigt, es fällt das Laub,Schenk ein den Wein, den holden!Wir wollen uns den grauen TagVergolden, ja vergolden.Wohl ist es Herbst, doch warte nur,Doch warte nur ein Weilchen!Der Frühling kommt, der Frühling lacht,Es steht die Welt in Veilchen.Die blauen Tage brechen an;Und ehe sie verfließen,Wir wollen sie, mein wackrer Freund,Genießen, ja genießen!",l0090227,Oktoberlied,"Storm, Theodor",6,4,Neue Lieder der besten neueren Dichter für's Volk. Zusammengestellt v. Dr. L. Jacobowski. Berlin 1899.,b'1899',"Jacobowski, Ludwig [alt. Jakobowsky, Ludwig]"
2,"Mein Schatz ist wie der helle Tag,Die Sonne scheint und scheint,Es blüht und blüht, was blühen mag,Und hat noch nie geweint.Mein Schatz hat Samen ausgestreutAuf jeden, jeden Tag,Und jeder kommt so schön wie heutUnd nie ein Wetterschlag.Mein Schatz ist lauter SeligkeitUnd wie die Zeit besteht,So fragt er kaum, wie kommt die Zeit,Und kaum, wie sie vergeht.",l0090062,Glückselig,"Fischer, J.G. [alt. Fischer, Johann Georg]",3,4,Neue Lieder der besten neueren Dichter für's Volk. Zusammengestellt v. Dr. L. Jacobowski. Berlin 1899.,b'1899',"Jacobowski, Ludwig [alt. Jakobowsky, Ludwig]"
3,"Klingt im Wind ein Wiegenlied,Sonne warm herniedersieht,Seine Ähren senkt das Korn,Rote Beere schwillt am Dorn,Schwer von Segen ist die Flur —Junge Frau, was sinnst du nur?",l0090233,Juli,"Storm, Theodor",1,6,Neue Lieder der besten neueren Dichter für's Volk. Zusammengestellt v. Dr. L. Jacobowski. Berlin 1899.,b'1899',"Jacobowski, Ludwig [alt. Jakobowsky, Ludwig]"
4,"Am Himmel wächst der Sonne Glut,Aufquillt der See, das Eis zersprang,Das erste Segel teilt die Flut,Mir schwillt das Herz wie Segeldrang.Zu wandern ist das Herz verdammt,Das seinen Jugendtag versäumt,Sobald die Lenzessonne flammt,Sobald die Welle wieder schäumt.Verscherzte Jugend ist ein SchmerzUnd einer ew'gen Sehnsucht Hort,Nach seinem Lenze sucht das HerzIn einem fort, in einem fort!Und ob die Locke dir ergrautUnd bald das Herz wird stille stehn,Noch muß es, wann die Welle blaut,Nach seinem Lenze wandern gehn.",l0090302,Lenzfahrt,"Meyer, Conrad Ferdinand [alt. Meier, Conrad Ferdinand; Meyer, Konrad Ferdinand]",4,4,Neue Lieder der besten neueren Dichter für's Volk. Zusammengestellt v. Dr. L. Jacobowski. Berlin 1899.,b'1899',"Jacobowski, Ludwig [alt. Jakobowsky, Ludwig]"
5,"Ihr aufgeblühten jungen Lenze,Ihr holden Mädchen auf der Au,Wie sind verdunkelt eure Kränze,Verdunkelt von der einen Frau!Von Blüten hat es euch geregnetBeim wundersüßen Maientau.Ein einzig Reis hat dir gesegnetDie edle Stirn, du schöne Frau.Die Sterne, welche ihre FunkenVersprühten an der Himmelsau,Sind bis auf einen schon versunken,Und der ist dein, geliebte Frau.",l0090058,Der Einen,"Fischer, J.G. [alt. Fischer, Johann Georg]",3,4,Neue Lieder der besten neueren Dichter für's Volk. Zusammengestellt v. Dr. L. Jacobowski. Berlin 1899.,b'1899',"Jacobowski, Ludwig [alt. Jakobowsky, Ludwig]"
6,"Der Nordwind fegt den Himmel rein,Und alle die Berge, groß und klein,Die nahen, grünen — die fernen, blauen —Klar auf die selige Erde schauen.Nordwind! könntest du meinem LebenSolche Himmelskräfte geben,Daß es wundersam erstände,Helle und Weite fände!",l0090261,Nordwind,"Wildberg, Bodo",2,4,Neue Lieder der besten neueren Dichter für's Volk. Zusammengestellt v. Dr. L. Jacobowski. Berlin 1899.,b'1899',"Jacobowski, Ludwig [alt. Jakobowsky, Ludwig]"
7,"Kein Wort, auch nicht das kleinste kann ich sagen,Wozu das Herz den vollen Schlag verwehrt;Die Stunde drängt, gerüstet steht der Wagen,Es ist die Fahrt der Heimat abgekehrt.Geht immerhin — denn eure Tat ist euer —Und widerruft, was einst das Herz gebot;Und kauft, wenn dieser Preis euch nicht zu teuer,Dafür euch in der Heimat euer Brot!Ich aber kann des Landes nicht, des eignen,In Schmerz verstummte Klagen mißverstehn;Ich kann die stillen Gräber nicht verleugnen,Wie tief sie jetzt in Unkraut auch vergehn. —Du, deren zarte Augen mich befragen, —Der dich mir gab, gesegnet sei der Tag!Laß nur dein Herz an meinem Herzen schlagen,Und zage nicht! Es ist derselbe Schlag.Es strömt die Luft — die Knaben stehn und lauschen,Vom Strand herüber dringt ein Möwenschrei;Das ist die Flut! das ist des Meeres Rauschen;Ihr kennt es wohl! wir waren oft dabei!Von meinem Arm in dieser letzten StundeBlickt einmal noch ins weite Land hinaus,Und merkt es wohl, es steht auf diesem Grunde,Wo wir auch weilen, unser Vaterhaus.Wir scheiden jetzt, bis dieser Zeit BeschwerdeEin andrer Tag, ein besserer, gesühnt;Denn Raum ist auf der heimatlichen ErdeFür Fremde nur, und was den Fremden dient.Doch ist's das flehendste von den Gebeten,Ihr mögt dereinst, wenn mir es nicht vergönnt,Mit festem Fuß auf diese Scholle treten,Von der sich jetzt mein heißes Auge trennt! —Und du, mein Kind, mein jüngstes, dessen WiegeAuch noch auf diesem teuren Boden stand,Hör' mich, denn alles andere ist Lüge!Kein Mann gedeihet ohne Vaterland!Kannst du den Sinn, den diese Worte führen,Mit deiner Kinderseele nicht verstehn,So soll es wie ein Schauer dich berührenUnd wie ein Pulsschlag in dein Leben gehn!",l0090228,Abschied (1853),"Storm, Theodor",10,4,Neue Lieder der besten neueren Dichter für's Volk. Zusammengestellt v. Dr. L. Jacobowski. Berlin 1899.,b'1899',"Jacobowski, Ludwig [alt. Jakobowsky, Ludwig]"
8,"Morgens in den Garten tratLiese, klein und niedlich,Saß ein Häschen im Salat,Schmaust und tat sich gütlich.Liese sprach: ""Du armes Tier,Wart' einmal, indes ichLauf ins Haus und hole dirZum Salat den Essig!""Kommt zurück schon mit dem Krug —Niemals lief sie schneller —Essig gießt sie jetzt genugAuf den Hasenteller.""Lieselchen, ich danke dir,""Sprach der kleine Fresser,""Eigentlich doch sckmeckt es mirOhne Essig besser!""",l0090240,Hasensalat,"Trojan, Johannes",4,4,Neue Lieder der besten neueren Dichter für's Volk. Zusammengestellt v. Dr. L. Jacobowski. Berlin 1899.,b'1899',"Jacobowski, Ludwig [alt. Jakobowsky, Ludwig]"
9,"Alles, Liebste, will ich mit dir tragen,Wie sich's fügt;Leid und Lust in guten und in bösen Tagen,Wie sich's fügt.Wollen nicht in zuckenden Schmerzen fragen:""Fügt sich's auch?""Wollen still zum hoffenden Herzen sagen:""Wie sich's fügt!""",l0090123,Liebste,"Koegel, Fritz",1,8,Neue Lieder der besten neueren Dichter für's Volk. Zusammengestellt v. Dr. L. Jacobowski. Berlin 1899.,b'1899',"Jacobowski, Ludwig [alt. Jakobowsky, Ludwig]"
