,text,ID,Titel,Autor,Strophen,Verse,Anthologie,Jahr,Hrsg
0,"Leicht auf den schaukelnden, gaukelnden WellenTreibt uns der hurtig gleitende Kahn;Sieh, wie sie funkeln, die dunkeln Libellen,Magisch umschwärmen die glitzernde Bahn.Lachende Fluren! azuren der Himmel!Auf dem Gewässer ihr flimmerndes Bild!Drüben ein rankend und schwankend GewimmelBlühender Nelken am Ufergefild!Nun aber düster Geflüster der Weiden,Angstliche Kiebitzrufe im Rohr!Fährmann faltet und faltet die beidenHände zu frommem Gebet empor.Denn wo die Wellen erschwellen und branden,Da ist der Gottesacker im Rhein:Tausend' umschlang er und zwang er, sie fandenTief ihre Ruh' in Geröll und Gestein.Aus ist das Plaudern. Wir schaudern und sinnen;Über die Gräber gleitet der Kahn.Kannst du die Fluten zum Guten gewinnen,Schiffsmann, hast du Gelübde gethan?",l0010119,Nachenfahrt.,Friedrich Geßler.,5,4,Neuer deutscher Parnaß. Silberblicke aus der Lyrik unserer Tage,b'1882',"Moltke, Max"
1,"Des dunklen Hochwalds schweigende DomäneErstreckte sich ringsum — der Mariposa-Hain —Dahingebaut auf grüner BergeslehneVor der Sierra türmendem Granitgestein;Der schlanken Föhren Wipfel schienenDem Himmel nah, — doch über ihnenErhoben gewaltige Säulen, belaubt,Die Fürsten im Urwald, ihr mächtiges Haupt.Wie ist so klein der Mensch vor deinen Bauten,Du herrliche Natur, die mit verborgner KraftAus eines Samenzapfens zarten RautenDer Mammutbäume riesige Gestalten schafft!Jahrtausende sind schon verflossen,Seit jene aus der Erde sprossen:Doch die Baumgiganten werden noch stehn,Wenn neue Jahrtausende kommen und gehn!Du grüner Dom liegst da im dunklen Schatten,Wie eines Gottestempels ernster, heil'ger Raum;Wie Opferflammen loht's aus moof'gen Matten —Der feuerroten Blumen prächt'ger FrühlingstraumlDes Urwalds Tote sind ein BildnisGefallner Größe in der Wildnis;Die lebendigen Säulen, mit rötlichem Kleid,Sind wie lichte Gedanken der ewigen Zeit.Hier ragt empor mit den gewalt'gen Ästen,Als wollt' den Himmel er ergreifen, ein KoloßIn königlicher Pracht: man nennt im WestenDen „grauen Riesen“ ihn. Stolz meideter den TroßDer Fichten, welche wie PygmäenIm weiten Kranze um ihn stehen.In den Wäldern der Erde ist keiner ihm gleich;Der Hain Mariposa sein grünendes Reich!Ich stand an seinem ungeheuren StammeUnd blickte schweigend auf zu seinem grauen Haupt,Das einst zerrissen von des Blitzes Flamme,Und dem die Stürme längst der Krone Schmuckgeraubt.Es konnte nehmen ihm die BlütenDer Elemente grimm'ges Wüten:Doch die Macht der Orkane, des Donnerers StrahlHat nie ihn erschüttert ein einziges Mal!Als der Koloß, ein schwaches Reis, dem SchoßeDer dunklen Erd' entstieg, zuerst die Sonne sah,Lag dieser Kontinent, der reiche, große,Als unbekannte Welt noch ganz vereinsamt da.Es saßen damals auf den ThronenAm heil'gen Nil die Pharaonen,Und am Tigris, am Euphrat war Leben und Macht,Und Ninive blühte, voll Reichtum und Pracht.Des Morgenlandes mächt'ge Völker starben,Und immer neue kamen, die die Zeit gebar;Du, Urwaldsriese, trägst die alten Narben,Noch immer ungebrochen, schon manch tausend Jahr!Ob wohl, eh dich die Stürme fällenUnd deine Pracht im Sturz zerschellen.,Das jüngste der Völker, ein Riese wie du,Sich gelegt, wie die alten, zur Grabesruh?",l0010471,Der Riese ven Mariposa.,Theodor Kirchhoff.,7,8,Neuer deutscher Parnaß. Silberblicke aus der Lyrik unserer Tage,b'1882',"Moltke, Max"
2,"„Die Fahnen wehen, die Trompeten blasen,Zu Hause bleiben Kinder nur und Hasen;Frisch auf, den rost'gen Säbel umgeschnallt,Zu Roß und auf den frechen Feind geknallt!“ —Ein wackrer Reitersmann das hat gesprochen,Zwar weiß an Haar, doch markig in den Knochen,Ein Edelmann, der nicht nur von GeblütZu sein sich rühmt, der's ist nach dem Gemüt.Und aus Berlin zieht freudig unser HeldFür's teure Vaterland ins Schlachtenfeld;Wohin er kommt, der Franzmann hält nicht Stand,Und mancher sinkt für immer in den Sand.Gefangen sind der Feinde längst die Fülle,Und so gebietet nun ein höh'rer Wille:„Die Fresser lasset laufen!“ — Der SoldatGehorcht, den Führern läßt er gern den Ra.Und unser Freiherr eben ist im Jagen,Als sie die neue Ordre ihm ansagen;Er macht ein schief Gesicht, mit seiner ScharUmzingelt hält er an die hundert gar.„Wie, sollt' ich mir den Ehrenpreis vergeben,Den Kerlen Freiheit schenken und das Leben?Nein, nein! O Schlauheit, stehe jetzt mir bei:Ich hab's gefunden, des Columbus Ei!— Heda, ihr, abgezogen stracks die Hosen!Und nun vorwärts, sonst giebt es auf den Bloßen!“ —Die laufen lebensfroh, wohin er wies,Und kommen graden Weges nach Paris.Ob sie noch etwas außer ihren OhrenAuf diesem Marsche haben sich erfroren,Nicht weiß ich es, die Hosen zeigt der WeltAls Siegeszeichen in der Hand der Held.Und das aus der Historie man kannErsehen, daß ein preuß'scher EdelmannEin richt'ges Herz und Kraft in Kopf und BeinenStets mit Gehorsam auch versteht zu einen.",l0010473,Ein Reiterstücklein von 1870.,Jermann Krassert.,9,4,Neuer deutscher Parnaß. Silberblicke aus der Lyrik unserer Tage,b'1882',"Moltke, Max"
3,"Von Westen weht der Wind —Lau und lind.Wie es sickert und rinntDie Berge herunterFroh und munter,Geschwind, geschwind!Unter dem Schnee hervorDurch ein kleines Thor,Das sie selbst sich gemachtIn der stürmischen Nacht,Stürzen die Wässer —Wer springt wohl besser? —Von Stein zu Stein,Um bald unten zu seinIn dem weiten Thal,Viel hundert an Zahl.Ihr murmelt und schwätzt —So sagt mir doch jetzt:Wer seid ihr, was wollt ihr?Wer schickt euch, was sollt ihr?Ich hör's mit Entzücken:Lenz will uns beglücken;Er nahet wohl baldMit Allgewalt.Vorläufer ernannteIn euch er und sandteZu uns sie voraus.Von Haus zu HausMacht nun die RundeDie frohe Kunde,Und Freude und LustSchwellt hoch uns die Brust.Willkommen, ihr BotenDes Frühlings, willkommen!Bald wird nun genommenDie Macht dem Despoten,Dem Winter, dem toten,Und Leben und GlückKehren zurück.Die SchneegefildeTaut fort der milde,Der liebliche Sonnenschein,Und der Himmel wird blauUnd blumig die Au,Und grün wird der Hain,Und fröhliche LiederErschallen wiederIm Wald, auf der Flur.Die ganze NaturVerjüngt sich, erwachtAus der Todesnacht.So rinnt nur, rinnt,Ihr Riesel, geschwindDie Berge herunter,Froh und munter!",l0010147,Tauwetter.,Th. Hoferichter.,1,55,Neuer deutscher Parnaß. Silberblicke aus der Lyrik unserer Tage,b'1882',"Moltke, Max"
4,"Du, Passiflore, hältst an den Gräbern Wacht,Und dich umhauchen Schauer der Todesnacht!Der Menschheit Weh, das nie veraltet,Hast du im düsteren Schoß entfaltet.Die Dornenkrone trägst du so stolz zur Schau,Es steigt aus deinem Kelche des Kreuzes Bau,Und deine Purpurfäden prahlenMit den unsterblichen Wundenmalen.Du schlürfst den Moder und die Verwesung ein,Du schmückst das Haupt mit zuckender Flammen Schein,Die nächtig um die Gräber schleichen,Feurige Boten der kalten Leichen!Du Totenblume, ewiger Marter Bild,O dich umweht der Odem vom Schlachtgefild,Der Scheiterhaufen brand'ge Düfte,Eisiger Moder der Kerkergrüfte.Der Hauch, der von den Schwingen der Seuche träuft,In raschem Fluge zuckende Opfer häuft,Die Seufzer aus der Folterkammer,All der unendliche Erdenjammer.Und selbst Natur, die wilde Zerstörerin,Sie schüttet Flammen über ein Eden hin,Zerreißt die Erde, jagt die MeereÜber des Landes zersprengte Wehre.Qual und Vernichtung schauern auf jeder Bahn,Wo Menschen ringend höherem Ziel sich nahn.Im Opferdienst, in jeder FrohneSchau' ich die Stacheln der Dornenkrone.Du aber winkst mir dort an des Baches Rand,Parnassia, im schimmernden Festgewand,Ein heller Stern auf samtnen Matten,Tief in der silbernen Birke Schatten.Rings stehn die Wälder stumm, und kein Hauch bewegtDer Ahren Gold, das sich um die Hügel legt!Wenn atemlos die Fluren schweigen,Muß sich die Liebe zur Liebe neigen.In deinem Kelche regt es sich zauberhaft,Es schwankt, es neigt sich, wie mit beseelter Kraft.Die Kronenträger sind, die stolzen,Plötzlich zu seligem Kuß verschmolzen.Du Kelch der Freuden, wo durch der Liebe MachtZu geist'ger Regung schlummerndes Sein erwacht,Wo Blütenfäden Wonne trinken,Durstig sich neigen und süß versinken!Parnassia, dich schling' ins Gelock entzücktEin neu Geschlecht, das heilige Freude schmückt!Vergessen an des Todes ThoreBlühe und welke die Passiflore!",l0010443,Zwei Blumen.,Rudolf von Gottschall.,12,4,Neuer deutscher Parnaß. Silberblicke aus der Lyrik unserer Tage,b'1882',"Moltke, Max"
5,"Gotisch, Renaissance, Barock dann, —Keines macht mir heiß,Dem Erfinder, nicht dem FinderGeben wir den Preis.Reich zwar ist der Vorwelt Erbe, —Doch was hilft uns das?Trinken will ich nicht vom Tropfschaff,Sondern von dem Faß.",l0010264,Architektur.,Adolf Pichler.,1,8,Neuer deutscher Parnaß. Silberblicke aus der Lyrik unserer Tage,b'1882',"Moltke, Max"
6,"Liebe oder hasse mich,Alles ist willkommen;Jedes Wetter nehm' ich hin,Windstill' ausgenommen.Denn die Stille ist der Tod,Nur im Kampf ist Leben,Gegen einen jeden SturmKann man sich erheben.Aber hat sich ÄolusGanz zurückgezogen,Dann ist man der sichre RaubWild bewegter Wogen.Darum liebe, hasse mich!Alles will ich tragen;Nur wenn ich dir gar nichts bin,Bin ich zu beklagen.",l0010217,Gleichgültigkeit.,Heinrich Littrow.,4,4,Neuer deutscher Parnaß. Silberblicke aus der Lyrik unserer Tage,b'1882',"Moltke, Max"
7,"Wisse phantastische Glut von der Glut des Gefühles zu scheiden:Erst mit dieser vermählt, findet sich jene zu Gott.Haben Phantasten der Welt Millionen Wunden geschlagen,Hat das Gefühl sie stets, war es noch möglich, geheilt.Feuriger Phantasie und eisigen Herzens verbrennenAuf dem Altar der Jdee Schwärmer die Opfer des Wahns.Herzenserglühen beglänzt so mild wie die göttliche SonneFeinde und Freunde zugleich, Sünder und Gute zumal.Eins noch merke: Nicht alle in deinen Gefühlen VergnügteHaben dasselbe Gefühl; mancher erschwärmet es nur.Trunken vermögen Phantasten sich jedes Gefühl zu erbilden;Aber die Bilder des Seins, sind sie das Seiende selbst?Bilder der Phantasie sind nicht die Gestalten des Herzens;Farben, von jener geschaut, zieren nicht immer das Herz.Selber die ewige Größe hat vielen Phantasten gedämmert;Aber im Herzen allein thronet das Ewige selbst.",l0010378,Phantasie und Herz.,Wilhelm Beste.,1,16,Neuer deutscher Parnaß. Silberblicke aus der Lyrik unserer Tage,b'1882',"Moltke, Max"
8,"Greife lieber zu den Alten,Warum alle neuen Moden?Zwar nicht rat' ich zum Messias,Oder auch zu Platens Oden.Wähle Shakespeare, wähle Byron,Wenn ihn England auch verbannte;Sollte dich im Winter frieren —Wag die Höllenfahrt mit Dante.",l0010262,Lektüre.,Adolf Pichler.,1,8,Neuer deutscher Parnaß. Silberblicke aus der Lyrik unserer Tage,b'1882',"Moltke, Max"
9,"Wenn Natur ihr treues LiebenUns so recht erschließen will,Offnet sie der Blumen Kelche,Läßt den Duft entströmen still.Legt so manchem kleinen SängerSüße Lieder in die Brust,Daß er singe treue Liebe,Wecke Menschenliebelust.Sendet aus dem blauen HimmelGoldnen Strahl auf klare Flnt,Läßt der Trauben Fülle schwellenAn der Sonne Feuerglut.Läßt durch dunkle BlätterhüllenGoldene Orangen glühn,Läßt im höchsten FarbenglanzeIhre Blumenkinder blühn.Sendet von der ew'gen LiebeEinen Strahl in jede Brust,Daß er sich zur Flamm' entfache,Liebe übe unbewußt.Leider nur in wenig HerzenDringet echter Liebe Schein;Um die meisten liegt ein Panzer,Führt kein Weg und Steg hinein.",l0010047,Den Feinden der Liebe.,Konrad Beyer.,6,4,Neuer deutscher Parnaß. Silberblicke aus der Lyrik unserer Tage,b'1882',"Moltke, Max"
