,text,ID,Titel,Autor,Strophen,Verse,Anthologie,Jahr,Hrsg
0,"Bitter waren wol die LeidenUnsrer Väter, die gefangenIhre Harfen aufgehangenAn des Euphrat Trauerweiden;Aber wir am Tiberstrom,Eingezwängt in dumpfe Gitter,Hingen auf die Klagezither,Kinder Juda wir in Rom.Enkel jener, die vom LandeKanaan die Römer führten,Die ob Juda triumphirtenUnd verließen sie in Schande;Waisen Salem's bauen wirEndlos fort von Glied zu GliedeUnsres Jammers PyramideAuf dem Römerschutte hier.Schon zweitausend Jahre trauernWir am Fluß, deß gelbe WellenWild und wüst vorüberschwellenAn den öden Ghettomauern;Mit der Väter KlagemuthWeinen wir was jene weinten,Leiden die zu Leid geeinten,Ewig in dieselbe Flut.Volk um Völker sind gefallen;Doch wir klammern wie die grünenEupheuranken um RuinenAn Octavia's Trümmerhallen,An den Zeugen unsrer Schmach,Wo des Vaterlands Verheerer,Wo Jerusalems ZerstörerEinst den Stab ob Juda brach.Ach, in Kammern, sonnenlosen,Die das Elend nicht umfassen,Thürmte uns, in engen Gassen,Pharao ein andres Gosen;Und es kommen unsre NothZu verhöhnen, zu begaffenFinstre Mönche, stolze Pfaffen,In den Blicken Haß und Tod.Wie der Engel, der vorüber-Wandelnd schreibt die WürgerzeichenAn die Häuser, wo erbleichenSoll das Volk, wankt hier das Fieber,Und der Plagen volle Zahl,Angst und Frohn zu allen Stunden,Und die Schande, die verbundenMit der hungerbleichen Qual.Draußen lärmt das FestgeprängeIn dem Corso dicht ergossen,Und es rollen die CarossenDurch der Masken bunt Gedränge;Festlich schmückt sich jedes HausMit der golddurchwirkten Seide,Von Balkonen streut die FreudeVolle Blumenlenze aus.Dann der Rosen, ach! von SaronDenken wir, wie sie verglühten,Wie gefallen sind die BlütenVon dem Mandelstab des Aaron!Tochter Zion, schmuckberaubt,Magd von Rom, wie mußt du neigenIn das thränenvolle Schweigen,In die Asche nun dein Haupt!Dann der preisgegebnen TöchterDenken wir, und wie mit HiebenUnsre Väter man getriebenDurch des Volkes Hohngelächter;Denken dann, wie Judas BlutRothgefärbt St. Petri Schwelle;Und gedenken an die grelle,Grause Scheiterhaufenglut.Und nun sitzen wir im SchweißeUnsres Angesichts die TageVor den Thüren, unsre PlageMehren wir mit sauerm Fleiße;Fetz und Flicken, was zerfällt,Sammeln wir an allen Enden:Denn uns wirft mit ellen HändenNur den Abfall zu die Welt.Ach, wir denken bei den FlickenSalomo's: zu Fetzen werdenMuß die Herrlichkeit der Erden,Wie die Lumpen hier zerstücken.O wie sind, die dich geschmückt,Tochter Zion, deine Spangen,Und dein Feierkleid zergangen,Und in Fetzen so zerstückt!Und so seufzen wir und nähenAuf dem Römerschutt die Flittern,Und wir denken, so zersplitternMußte Rom auch und vergehen;Aber wir zu seinem HohnKlammern fest noch wie die grünenEpheuranken an Ruinen —Denn Ruinen sind sie schon.Nicht mehr kränken uns am BogenTitus' dort die Marmorbilder,Tempelleuchter, Tisch und Schilder,Und des Jordan heil'ge Wogen;Mußten doch in Wust und GrausDeine Götter, Rom, erbleichen,Doch Jehovah's heil'ge ZeichenLöschte kein Jahrtausend aus.Gras umweht die TrümmerresteDort von Jovis' Tempelhallen,Und in Staub ist sie gefallenDer Cäsaren hohe Feste;Aber hier trotz Zeit und TodDauern noch zu deiner EhreUngebrochen die Altäre,Herr der Zeiten, Zebaoth!An des Tiberstromes WelleBauten wir mit stillem WeinenAermlich nur, aus rohen Steinen,Deines Tempels eine Zelle,Und mit Zeichen ihre WandSchmückten wir, daß wir gedenken,Wenn wir drauf die Blicke lenkenWie dein Haus so herrlich stand.Und wir sammeln uns zum BundeAbraham's als treue BrüderVor der Bundeslade wieder,In der sabbathstillen Stunde,Und das siebenfache LichtAuf der siebenfachen LeuchteStellen wir, das unerbleichte,Vor Eloah's Angesicht.Und dann singen wir mit ZungenUnsrer Väter zu den Harfen,In Accorden, jammerscharfen,Psalmen David's unverklungen:Bis die Thräne nimmt den Lauf,Und sich lösen uns vom HerzenDie jahrtausendalten SchmerzenIn Messiashoffnung auf.",l0020055,Klagegesang der Kinder Juda in Rom.,Ferdinand Gregorovius.,17,8,Deutsche Dichter der Gegenwart.,b'1859',"Prutz, Robert"
1,"Du bist die weiße Kirschenblüt',Du bist die rothe Rosenglut,Du hast des Frühlings froh GemüthUnd seiner Kinder leichtes Blut,Bist wie des Bächleins WallenZu aller Wohlgefallen;Ich walle still, ein müder Strom,Des Bächleins Klang zu lauschen,Im abendlich verlassnen DomTräum' ich von Festesrauschen,Ich bin die späte Sommerzeit,Nachblickend deiner Herrlichkeit.",l0020034,Mir.,Johann Georg Fischer.,2,6,Deutsche Dichter der Gegenwart.,b'1859',"Prutz, Robert"
2,"Vom Gürtel der Alpen schritt ich her,Der Wandrer ohne Ruh',Und schaue über das weite MeerDem Treiben der Wellen zu.Vor mir des Klippenfelses GlutUmrast der Wasser Streit,Und hinter mir tobt des Aetna WuthIn wilder Zerrissenheit.Seh' über mir die alte PrachtIm Himmelsgestirn entbrannt,Hab' kundige Blicke in die NachtDes Abgrunds längst gesandt.Und was im Urwald schleichend geht,Was durch die Wüste brülltUnd in den Palmen säuselnd weht,Es ist mir unverhüllt.Und was die Weisen aller ZeitUnd was der GottessohnGesprochen in dem alten Streit,Ich dacht' es Alles schon.So such' ich in Himmel, Erd' und MeerDen einen festen Grund;Doch immer dasselbe UngefährIm Alten und Neuen Bund.Wie buhlt die Natur mit dir, du Dirn',O Glaube, süßer Thor,Lügt täglich mit verwirrter StirnDir neue Wunder vor! —Es lebt nur Ein erträglicher Sinn,Nur Einer von Gewicht,Und daß ich Zweifler es selber bin,Das ist mein Strafgericht;Daß meine Kraft in ihr GesetzHerab den Himmel zieht,Daß sich verfängt in meinem NetzDas ganze Weltgebiet!Spann' deine Flügel weit und breit,Du ewiger Weltkoloß:Es lebt, der deine EwigkeitSchon längst vorausgenoß.Und schmiede mich an der Berge Wand:Bin doch der freie Mann,Der deinen RiesenunverstandAllein erlösen kann;Der mit dem schöpf'rischen GehirnDen göttlichen Aetherstrahl,Mit des Gedankens kühner StirnDas Feuer vom Himmel stahl!",l0020033,Der Ewige Jude.,Johann Georg Fischer.,12,4,Deutsche Dichter der Gegenwart.,b'1859',"Prutz, Robert"
3,"Wenn da über Berg und ThalSich des Winters Hüllen breiten,Möget ihr auch mir einmalMeine Ruhestatt bereiten.Tod, o nur im Lenze nichtWolle mich von hinnen nehmen,Aus dem warmen SonnenlichtIn die kalte Nacht der Schemen.Wenn da rings in Flur und HainAlle Kräfte neu sich regen,Ach, wie muß es traurig sein,Zu den Todten sich zu legen!",l0020096,Nur nicht im Lenz.,J. M. Hutterus.,3,4,Deutsche Dichter der Gegenwart.,b'1859',"Prutz, Robert"
4,"Von des Himmels AngesichteIst die Wolke nun gebannt,Und es lacht im jungen LichteWiederum das weite Land.Von des Regens weicher KühleDampfen Wiese, Wald und Flur,Und ich fühl's: durch meinen BusenWeht der Athem der Natur.",l0020048,Drei Lieder. 2. Nach dem Regen.,A. Galster.,2,4,Deutsche Dichter der Gegenwart.,b'1859',"Prutz, Robert"
5,"Und ob zerklüftet und zergliedert des deutschen Volkes Herrlichkeit,So tief ist's, Fremdling, nicht erniedert, daß es dem Schlag die Wange leiht.Wohl ging uns Unglück und Bethörung, ein dunkler Fluch, seit lange nach;Doch jetzt genug der Selbstzerstörung, genug des Zwiespalts und der Schmach!Wohl fiel dein kaiserlich Geschmeide, Germania, dir von Brust und Haupt,Wohl hat von deinem reichen Kleide manch edles Stück der Feind geraubt,Wohl hadern rings noch deine Söhne, stark ist das Unrecht, schwach das Recht,Fern von des Friedens stiller Schöne schafft noch schwer ringend dies Geschlecht:Doch hebt der Erbfeind frech die Hände nach unsrer Brüder Wappenschild,Dann ist der Zank und Zwist zu Ende, der Streit im Aelternhaus gestillt,Und Nord und Süd im heil'gen Grimme, vereint der Ruf der Ehre sie,So donnert laut mit Einer Stimme: Hie deutsches Volk und Deutschland hie!Getrost, ihr Brüder dort im Osten! Nicht einsam mehr ist euer Stand:Die Waffen, die zu lang' ihm rosten, reißt schon der Preuße von der Wand,Der Schwabe eilt von seinen Wiesen, vom hohen Berg der Baier her,Die Dänen senden ihre Friesen und seine Sachsen schickt das Meer.Laß sehn, ob diese Völkerwellen sich legen vor Despotenwort:Weh euch, wenn sie hinüberschwellen, ihr morschen Throne hie und dort,Ha, drüben auf Italiens Fluren, das Deutschlands schönste Kräfte stahl,Sei aufgedrückt mit ew'gen Spuren der deutschen Herrschaft Siegesmal.Ich weiß von einem schwarzen Tage, da fiel ein herrlich deutsch Geschlecht —Fiel von französ'schem Henkerschlage, — in Welschland fiel's — fiel wider Recht —Ein blonder Knab' rief: „Eh' ich sterbe, werf' ich den Rachehandschuh hin“:Auf, Oestreich, Hohenstaufenerbe — noch harrt der Rache Konradin.Es scheint, die Welt bedarf's zu Zeiten, daß durch sie hin mit SchwertesschwangGewaltig die Germanen schreiten im Heldenschritt, im Siegesgang.Sagt an, ihr Slaven und Romanen, gelüstet euch der alte Streit?Wohlan — schon rauscht's in unsern Fahnen — schon zuckt das Schwert — wir sind bereit!",l0020025,Hie Deutschland.,Felix Dahn.,7,4,Deutsche Dichter der Gegenwart.,b'1859',"Prutz, Robert"
6,"Nun sind verträumt die flücht'gen Stunden,Die mich an deine Spur gebannt;Leb' wohl, verzaubert Inselland,Dem siegend sich mein Geist entwunden!Geh' du in deiner Selbstsucht Hallen,In deiner Oede Nacht zurück:Dein Bau, o Circe, muß zerfallen,Und fern von deinen Liedern allenTaucht neu empor mein Lebensglück!Aus seines Winters Frost errettenWollt' ich dein wahnumflortes Herz —Doch sieh, du schlugst mit kaltem ScherzMich selbst in schnöden Zaubers Ketten!Was Seel' und Geist an Schätzen hegen,Hast du in trunknem Spiel geraubt;Und als ich all den goldnen SegenGeopfert, trugst du mir entgegenEin tödtliches Medusenhaupt.Fahr' wohl! Ich mag dir nimmer grollen,Daß du, was tief mein Herz erfreut,Als welke Blumen ausgestreutAuf deinen Weg, den dornenvollen.Die Zeit, ach, fürcht' ich, trüb' und bange,Da du Verzweiflungszähren weinst,Und da, in all dem SehnsuchtsdrangeVerwaist, auf deinem SchmerzensgangeDu arm und hoffnungslos versteinst!Fahr' wohl, fahr' wohl! Mich ruft die StundeHinweg zu höherm Lebensziel!Der Menschheit steuert zu mein Kiel,Mit ihrem Glück und Leid im Bunde!Ade, verwünschte Zauberhügel,Wo Circe's Lockung mich umspann!Die Zukunft leihe mir die Flügel,Und trage mit verhängtem ZügelZu neuen Sonnen mich hinan!",l0020181,Abschied.,Adolf Strodtmann.,4,9,Deutsche Dichter der Gegenwart.,b'1859',"Prutz, Robert"
7,"Auf dem Söller stand Kriemhilde, sah ins braune Heideland —Helme blitzten, Speer' und Schilde von dem fernen Hügelrand;Aus der Stirn die feuerblonden Locken strich die weiße Hand:„Seid willkommen, ihr Burgondengäste, in Kriemhildens Land!Sieben Jahre mächtig, mächtig hab' ich diesen Tag ersehnt,Schwer, alltäglich und allnächtig hat mein Harren sich gedehnt;Wenn ich von des Hennen Munde Kuß auf Kuß mit Schaudern trug,Dacht' ich schweigend an die Stunde, die nun endlich, endlich schlug.König Etzel, zu den Waffen, den man Gottes Geißel nennt!Nun den Brautschatz sollst du schaffen, der in Blut und Feuer brennt:Nicht umsonst gab ich dem größten Waffenkönig diesen Leib —Rache, Rache soll mich trösten, wie sie nie genoß ein Weib!Sieh, es scheuet, König Günther, wild dein Hengst an meiner Brück',Und du klopfst den Hals ihm munter — doch er trägt dich nicht zurück:Als mein Siegfried ritt zu jagen, hat auch ihm nicht bang gegraut,Und du hast ihn doch erschlagen, der so freudig dir vertraut!Seh' ich recht? Ja, das ist Hagen! Traun, ein Gott nahm ihn den Sinn,Konnt' er sonst ins Land sich wagen, wo Kriemhilde Königin?Ja, magst stolz dein Haupt du tragen wie ein schwarzes Felsgerüst,Diese Hand wird's niederschlagen, welche Siegfried oft geküßt. —Aber dort auf weißem Pferde — frei sein Goldhaar spielt im Wind —Mit der freundlichen Geberde — das ist Giselher, das Kind!O mein Bruder, mild von Sitten, mit den Wangen weiß und roth,O was bist du mitgeritten zu Kriemhildens Gastgebot!Schwesterliebe mag nicht nützen! Konnte nicht des Gatten LeibVor den Brüdern Kriemhild schützen, rächen kann ihn Etzel's Weib.Sieh, sie steigen von den Rossen, Hagen auch — sie sind herein —Dumpf hat sich das Thor geschlossen — alle, alle sind sie mein!“",l0020024,Kriemhilde.,Felix Dahn.,7,4,Deutsche Dichter der Gegenwart.,b'1859',"Prutz, Robert"
8,"Nur auf dem Meer die Regenschauer lasten,Was sucht ein Lootsenaug' im Dunstgebraue?„Nothflaggen, die mich rufen, morsche Taue,Verlorne Anker und bedrohte Masten!“Wie kann dein altes Aug' durch Nebel tasten,Wo sich mein jüngres senkt am wirren Graue?„Das kommt, weil ich in See mein Lebtag schaueUnd Eures auf Papier nur pflegt zu rasten.“Ein Meer ist auch das weiße Blatt nicht minder,Hat reiche Frachten, kühne Weltenfinder,Manch treuen Lootsen, der zur Ferne schaue,Hat Wolken auch, die um die Sterne lasten;Mein Auge sieht, wie deins, gefällte Masten,Zerbrochne Anker und zerrissne Taue.",l0020074,Sonette aus Helgoland VI.,Anastasius Grün.,4,3,Deutsche Dichter der Gegenwart.,b'1859',"Prutz, Robert"
9,"Und als ich mein lustig Bündel geschnürt,Da war die Frau Mutter sehr gerührt,Sie gab mir viel gute Lehren,Wie in der Welt zu verkehren.Sie sprach: „Kommst du zu Herbergsthür,Und tritt ein schmuckes Mägdlein herfür,Dich höflich zu empfangen,Du greifst ihr wol in die Wangen?“„Ja wol, Frau Mutter!“ — „Du schnöder Gesell!In Positur wirfst du dich schnellUnd ziehst das Hütlein, das graue:Grüß Gott, du zarte Jungfraue!Und trittst zur Stube du hinein,Da werden viel Hirschgeweihe sein,Du hängst wol ohn' UmständeDein nasses Zeug an die Wände?“„Ganz recht, Frau Mutter!“ — „Das läßt du fein!Da bittest du höflich das Jüngferlein,Die Kleider dir zu reinigen,Doch möge sie sich nicht peinigen.Und kommt es nun zur Schlafenszeit,Und die schöne Jungfer gibt dir Geleit,Und geht voran mit dem Lichte,Daß sie das Bette dir richte:Da greifst du sie lustig unter den Arm,Und küssest wacker und küssest sie warm,Und stiftest zum VermächtnißIhr wol gar ein lebend Gedächtniß?“„Mit großem Vergnügen!“ — „Unnützer Wicht!Da nimmst du höflich das Kerzenlicht,Und leuchtest ihr beim Spreiten,Und gehst sie artig geleiten,Und sprichst: Schön Dank, fein Jüngferlein!Wünscht ruhsame Nacht zum Herrn Vater mein!Dann lösche dein Licht und bete,Daß dich kein Unfall betrete!“ —Ach, wenn das die gute Frau Mutter wüßt',Wie oft ich des Lammwirths Lenchen geküßt!Ich war keinen Tag gegangen,Da hat mich das Ding gefangen;Da kniff ich ihr schon in der Wange Roth,Und küßte den Mund, den so gern sie bot —Gibt's wol im Hause ein Plätzchen,Wo nicht geküßt ich mein Schätzchen?Im Keller allein da thut's nicht gut,Dieweil das Lenchen, das wilde Blut,Vergessen vor lauter LachenDen Hahnen zuzumachen.Und wenn dich das Alter belehren will,So horch andächtig und schweige still,Hernach treib's nach Belieben —So ward es und wird es getrieben.",l0020102,Der Frau Mutter Lehren.,Alexander Kaufmann.,13,4,Deutsche Dichter der Gegenwart.,b'1859',"Prutz, Robert"
