,text,ID,Titel,Autor,Strophen,Verse,Anthologie,Jahr,Hrsg
0,"Um eine Sonne, welche hundertmalDie unsre überstrahlt und dennoch kaumEin matter Lichtpunkt irdischen Augen scheint,Im fernsten Weltraum kreist ein Wandelstern,Ein schöner Stern mit himmelhohen Bergen,Mit blauen Meeren, breiten RiesenströmenUnd stolzen Städten, die sich in den WellenDer Meere und der Ströme prächtig spiegeln.Und in den Städten, auf den Fluren regt,Unzählig fast, sich ein Geschlecht von Wesen,Dem unsern ähnlich, aber schöner, grösserAn Wuchs und Antlitz wie an Geisteskraft.Das ringt, geniesst, das jubelt und verzweifelt;Das träumt von künftigem Glück und ewigem Ruhm;Das wandelt zuversichtlich auf der Scholle,Der es entspross, die Nahrung ihm gewährt,Die seine Hütten und Paläste trägt....— — — — — — — — — — —Da kommt ein Tag, an welchem blutigrotDurch fahl Gewölk das Licht vom Himmel bricht,Und bange Schwüle, herz- und hirnbedrückend,Herab sich senkt auf alles, was da lebt.Und nun? — Welch unheilschwangres, dumpfes RollenDurchdröhnt die Stille? Ha, der Boden schwankt,Die Mauern schüttern, bersten, stürzen ein,Und Bergeshäupter taumeln in die Thäler.Wie Schüttelfrost den Fieberkranken packt,So zuckt durch des Planeten RiesenleibDer innere Krampf; — jäh spaltet sich der GrundZugleich an hundert Orten; brodelnd steigtEmpor der Schwall geschmolzener Gesteine,Weissglühnder Erze, schwefeldampfumwogt,In heisser Lohe Feld und Wald und TriftenBegrabend und in Qualm die Meere wandelnd,Verzehrend Hütten, reiche KönigsburgenUnd hoher Tempel stolze MarmorhallenSamt Kronen, Szeptern, Priestern und Altären.— — — — — — — — — — —Der Denker Schriften und der Künstler Werke,In Asche löst sie auf dieselbe Stunde,Und keine Spur von ihrem Dasein bleibt....Im weiten Weltraum ungehört verhalltDer Todesschrei von Milliarden Wesen,Und — schweigend rollt ein wüster FeuerballGlutsprühend durch die kalte HimmelsödeBis langsam er erstarrt zur schwarzen Schlacke. —Drei Jahre später auf der Erde sitztEin Astronom in seiner stillen Warte,Den Horizont mit mächtigem Rohre musternd.Da zuckt es wie ein flüchtiger FreudenblitzMit einmal auf in seinen ernsten Zügen,Und lange blickt er, angestrengten Auges,Auf einen Punkt.... Dann greift er zu dem Stift,Und ruhig schreibt er dieses Telegramm:""Entdeckt soeben ward durchs TeleskopVon mir im Bilde der AndromedaEin neuer Stern, mattglänzend, zwölfter Grösse."" ...",l00130013,Der neue Stern,"Fuchs, Reinhold",1,57,"Deutsche Lyrik von Heute und Morgen. Mit einer geschichtlichen Einleitung, hrsg. von Alexander Tille. Leipzig 1896.",b'1896',"Tille, Alexander"
1,"Schaffe, gewaltige Liebe,Söhne und TöchterAls Vater und MütterDer edleren Menschheit,Als Ahnen der KinderFürs neue Walhalla!Durch die Liebe,Die Menschen zeugt,Befreit sich die Menschheit.Diese LehreWird deine LehreZertrümmern, Nazarener!Das neue JerusalemKommt nicht vom Himmel;Es wird gebautAus ungezählten LeibernGewaltiger Menschen,Mit Schweiss verkittet,Und darin soll wohnenDer Liebe Geschlecht.Noch Jahrtausende vielleichtWird der Kampf der Gedanken brennen,Eh dass ein Walhalla steigt,Das noch kann kein Mensch erkennen,Eh der Geist sich ausgesöhntMit dem Leibe, mit der ErdeUnd in reiner Wahrheit tönt:Frieden, Frieden auf der Erde!",l00130075,Religion der Liebe,"Grosse, Johannes [eigtl. B. Johannes Grosse]",4,8,"Deutsche Lyrik von Heute und Morgen. Mit einer geschichtlichen Einleitung, hrsg. von Alexander Tille. Leipzig 1896.",b'1896',"Tille, Alexander"
2,"Die Musik ist heutzutageWohl der Menschheit grösste Plage:Schauervolles wird erreicht,Wenn der Mensch die Geige streichtOder um die AbendröteZwecklos bläst auf einer Flöte;Und ich hege die Vermutung,Dass auch der Posaune TutungManchem wohl bei Tag und NachtKeine grosse Freude macht.Dieser schlägt mit viel GebimbelGrausamlich das Klavezimbel,Jener aber, gnadenlos,Kneift das Cello — Gott ist gross!Seine Langmut ist unendlich,Treibts der Mensch auch noch so schändlich!Andre wieder, wie wir wissen,Sind der Poesie beflissen,Kochen zu der Menschheit SchauerTag für Tag ihr Herz in Sauer,Wandeln auf geblümter Au;Viele Trauer-, Lust- und Schau-Spiele fliessen zäh wie LederAus der öden Dichterfeder,Und es rinnt die trübe FlutOhne Ende! — Gott ist gut,Dass er solches lässt geschehn,Ohne ins Gericht zu gehn!Andre, zu der Menschheit Qualen,Legen wieder sich aufs MalenUnd beschmieren ohne EndeViele schöne LeinewändeUnd viel herrliches Papier,Zum Erbarmen ist es schier!Wär mit Rosen und KamillenIhre Schwermut nur zu stillen!Nein, sie wagen frech und wildSich an Gottes Ebenbild,Und sie pinseln und sie kratzenSüsslich, wabblich ihre Fratzen,Dass die liebe Sonne weint,Wenn sie solchen Schund bescheint,Und so reiht sich Bild zu BildeUnermesslich! — Gott ist milde,Denn er warf noch nie mit FeuerUnter solche Ungeheuer!Doch wenn 'mal ein grosser GeistSich empor zum Himmel reisstUnd vom ewgen Born der KlarheitNiederbringt das Licht der Wahrheit,Muss man sehen diese Ekel,Diese krummgebeinten Teckel,Wie sie ihn herunterreissenUnd ihn in die Waden beissen,Denn sie schätzen jeder FristNur, was Ihresgleichen ist.",l00130011,Die Mittelmässigen,"Seidel, Heinrich",3,28,"Deutsche Lyrik von Heute und Morgen. Mit einer geschichtlichen Einleitung, hrsg. von Alexander Tille. Leipzig 1896.",b'1896',"Tille, Alexander"
3,"In meinen Wimpern standen Thränen,Als ich heut morgen bin erwacht,Und ein unendlich schweres SehnenHat mir der lange Tag gebracht.Ich hörte deine Stimme wieder,Auf meiner Stirn lag deine Hand,Und Leid und Kummer sanken nieder,Als deiner Worte Trost ich fand:Kann jede Stunde Ernte bringen?Geh' in den Wald, nimm Männe mit,Nie soll die Not uns ganz bezwingen,Mut! Frisch ins Feld mit raschem Schritt!Indessen stehe ich am HerdeUnd passe auf dein Leibgericht,Und denk' an mich, dass stille werdeDein Gram, wenn deine Liebe spricht.Und ich ging fort auf meine Haide,Brach einen Zweig vom Weissdorn ab,Mein Hund bringt auf der magern WeideZwei Kätnerschafe auf den Trab.Hierher, wirst du! das ist verboten,Wart, Schlingel, kommst du gleich hierher!Und schon mit seinen krummen PfotenWühlt emsig er den Sandberg leer.Die Wasserlilie glüht im Graben,Die Sonne zögert aus der Welt,Dicht über mir zieht ein Volk Raben,So dicht, dass mir's ins Auge fällt,Wie letzter Abend ihre FlügelVon unten schillernd überglänzt;Ein Wolkenrot brennt um den HügelUnd hält mit Rosen ihn umkränzt.Und eine Ruhe kommt gezogen,Mein Herz schlägt seinen alten Schlag,Die Unglücksvögel sind verflogen,Mir ahnt ein neuer Thatentag.Da bück' ich mich, und pflück' im SchreitenAus Feld und Knick mir einen StraussUnd trag ihn, voll von Seligkeiten,Der Liebsten heissen Danks ins Haus.",l00130067,Ein Erinnern,"Liliencron, Detlev von [alt. Liliencron, Detlev Freiherr von, Liliencron, Detlev Frhr. von]",5,8,"Deutsche Lyrik von Heute und Morgen. Mit einer geschichtlichen Einleitung, hrsg. von Alexander Tille. Leipzig 1896.",b'1896',"Tille, Alexander"
4,"Schwer die Brust von Reu' und Herzeleide:Zieht ein Knabe durch die grüne Haide.""Sonne, lichte Sonne,"" spricht er flehend,""Alles wissend bist du, alles sehend;Gieb mir Kunde von der Magd, der blassen,Die ich einst am Quell im Wald verlassen.""Sonne spricht: ""Ich sah auf meinem GangeManch verlassnes Weib mit bleicher Wange,Aber die du liessest grambeladen,Sah ich nicht von meinen lichten Pfaden.""Als der Mond erscheint zur Abendstunde,Fragt der Knabe auch den Mond um Kunde:""Sahst du nicht von deiner HimmelshöheJene Eine, die ich liess im Wehe?""Spricht der Mond: ""Wohl sah ich manches armeWeib gequält von übergrossem Harme,Aber jene, die du einst betrogen,Sah ich nicht von meinem Himmelsbogen.""Leis im Grase flüstern zwei Narzissen:""Weder Mond noch Sonne kann es wissen,Wo sein blasses Liebchen ist zu finden,Doch wir Blumen könntens wohl ihm künden,Die wir in der Erde uns verbergen,Bis der Lenz uns weckt aus unsren Särgen.""",l00130059,Reue,"Baumbach, Rudolf",1,24,"Deutsche Lyrik von Heute und Morgen. Mit einer geschichtlichen Einleitung, hrsg. von Alexander Tille. Leipzig 1896.",b'1896',"Tille, Alexander"
5,"Schon blökt ins Feld die erste Hammelherde,Der Hof hielt seine letzte Soiree,Und grasgrün überdeckt die alte ErdeCoquett ihr weisses Winternegligee.Der Wald rauscht wieder seine Lenzgeschichten,Und mir im Schädel rasselt kreuz und querEin ganzer Rattenkönig von Gedichten,Ein Reim- und Rythmenungetüm umher.Wie Gold in meine ärmliche MansardeDurchs offne Fenster fällt der Sonnenschein,Und graubefrackt lärmt eine Spatzengarde:Ich schnitt es gern in alle Rinden ein!Die Luft weht lau, und eine Linde spreitetGrün über ihr ihr junges Laubpanier,Und vor mir auf dem Tisch liegt ausgebreitetFein säuberlich ein Bogen Schreibpapier.Denn nicht am Waldrand bin ich aufgewachsen,Und kein Naturkind gab mir das Geleit,Ich seh die Welt sich drehn um ihre AchsenAls Kind der Grossstadt und der neuen Zeit.Tagaus tagein umrollt vom Qualm der Essen,Wars oft mein Herz, das lautauf schlug und schrie,Und dennoch, dennoch hab ich nie vergessenDas goldne Wort: Auch dies ist Poesie!O wie so anders als die Herren singen,Stellt sich der Lenz hier in der Grossstadt ein,Er weiss sich auch noch anders zu verdingen,Als nur als Vogelsang und Vollmondschein.Er heult als Südwind um die morschen DächerUnd wimmert wie ein kranker Komödiant,Bis licht die Sonne ihren goldnen FächerDurch Wolken lächelnd auseinander spannt.Und Frühling! Frühling! schallts aus allen Kehlen,Der Bettler hörts und weint des Nachts am Quai,Ein süsser Schauer rinnt durch alle SeelenUnd durch die Strassen der geschmolzne Schnee.Die Damen tragen wieder lange Schleppen,Zum Schneider eilt nun, wer sichs ""leisten"" kann,Die Kinder spielen lärmend auf den Treppen,Und auf den Höfen — singt der Leiermann.Es tritt der Strohhut und der SonnenknickerNun wieder in sein angestammtes Recht,Und coquettierend mit dem NasenzwickerDurchstreift den Park der Promenadenhecht.Das ist so recht die Schmachtzeit für Blondinen,Und ach, so mancher wird das Herzlein schwer,Ein Duft von Veilchen und von ApfelsinenSchwingt wie ein Traum sich übers Häusermeer.Am Arm das Körbchen mit den weissen Glöckchen,Das blonde Haar zerweht vom Frühlingswind,Lehnt bleich und zitternd im verschossnen RöckchenAm Prunkpalast das Proletarierkind.Geschminkte Dämchen und gezierte Stutzer,Doch niemand, der ihm schenkt ein freundlich Wort;Und naht sich abends der Laternenputzer,Dann schleicht es weinend sich ins Dunkel fort.Und macht die Nacht dann ihre stille Runde,Und blitzt es licht durchs dunkle Firmament,Dann ists dieselbe Lenznacht, die zur StundeSich lagert um den Busen von Sorrent!Dann ists derselbe Mond, der rings das PflasterSacht überdeckt mit seinem goldnen Vliess,Den vor Jahrtausenden schon ZoroasterAls ewgen Herold aller Lenze pries!",l00130002,Frühling,"Holz, Arno",8,8,"Deutsche Lyrik von Heute und Morgen. Mit einer geschichtlichen Einleitung, hrsg. von Alexander Tille. Leipzig 1896.",b'1896',"Tille, Alexander"
6,"Nur wirken und nicht denken:Fort alles, was uns quält!Musst selbst den Wert dir schenken,Den dir das All verhehlt —Im Kampfe wacker liegen,Nicht hinterm Ofen faul!Gebratne Tauben fliegenDem Troddel nur ins Maul.Lass Träumern und SchlaraffenDen Philosophendunst —Selbst eine Welt zu schaffen,Das ist die echte Kunst!Wir brauchen keinen Retter,Der unsre Ketten bricht:Sind wir erst selber Götter,Brauchen den Gott wir nicht!Und drangen wir als MeisterIn feurigem BemühnZum schaffenden Geist der GeisterEmpor gigantenkühn,Dann grüsst er seine RiesenMit doppelter Lieb und Lust,Weil er den Weg nicht gewiesen:Weil wir ihn selbst gewusst!",l00130072,Beherzigung,"Gumppenberg, Hanns von",3,8,"Deutsche Lyrik von Heute und Morgen. Mit einer geschichtlichen Einleitung, hrsg. von Alexander Tille. Leipzig 1896.",b'1896',"Tille, Alexander"
7,"Ich weiss, wie meine letzte Nacht verblaut.Im Frühling wird es sein zur Vollmondszeit,Wenn alle Wälder hochzeitsjubellaut.Ich sehe mich. Mein weisses PilgerkleidUmschliesst zum letzten Mal die müde Hülle,Die Locken rieseln nieder haftbefreitUnd schmeicheln mir in ihrer dunklen Fülle.Auf sammtnem Sessel ruh' ich hingesunken,Die küssefrohen Lippen glutenmatt,Die Augen wimpernträg und traumestrunken,Das hungergierige Herz gespeist und satt.Ich weiss, wie meine letzte Nacht verblaut.In hoher Kammer sitzt ein junger Dichter,Der träumend in die Vollmondswellen schaut,Und mit der Seele trinkt die weissen Lichter.Er sucht ein Wort, den saitenweichen ReimAuf einen Namen.... Plötzlich lächelt er,Und meine Seele flattert freudig heim.— — — — — — — — — —Ich weiss, wie meine letzte Nacht verblaut.",l00130068,Mein Sterben,"Janitschek, Maria",6,1,"Deutsche Lyrik von Heute und Morgen. Mit einer geschichtlichen Einleitung, hrsg. von Alexander Tille. Leipzig 1896.",b'1896',"Tille, Alexander"
8,"Was steht ihr staunend und verwundert,Dass auch den schönheitsfrohen GeistDas vielgeschäftige JahrhundertIn seine Taumelbahnen reisst?Ob wir die Eisenrosse zügeln,Den Funken im Metall beflügeln,Ob rüstig schaffend unsre HandAls Brücke zwischen Nationen,Ob sie sich nah, ob ferne wohnen,Das Netz des Handels webt und spannt —Ob wir mit Meissel oder FederDie Arbeit thun — es schafft ein jederDas was er soll, das was er kann!In jedem lebt ein hohes Streben:Dem Geist der Zeit sich hinzugebenMit ganzer Kraft, ein ganzer Mann!Uns ruft die Zeit mit ernstem Munde:Den Kampf des Lebens meidet nicht!Gebietrisch mahnt uns jede StundeAns heilige Gebot der Pflicht.Zertrümmert ruhn die Götterbilder;Der Glaube starb, ein neuer wilderGesang umbraust das Ohr der Zeit:Nicht frommes Ahnen, gläubges Wähnen,Nicht Mönchsgebet und Martyrthränen,Die Arbeit ists, die euch befreit!Die Menschheit ringt mit tausend Qualen;Sie lechzt, bedeckt mit Wundenmalen,Nach Lösung aus der langen Haft.Nennt ihr ein Jammerthal die Erde,So sorget, dass es besser werdeDurch eurer eignen Hände Kraft!Die Zeit ist hin, da auf die ErdeAus heitren Höhn der Dichter sah;Jetzt trägt auch er des Kampfs BeschwerdeIm grossen Welt-Olympia.Wohl webt in seinen ZaubertönenNoch jetzt das Reich des Ewig-Schönen,Doch in den Wolken wohnt es nicht;Der Zeit Akkorde festzuhalten,Und, was er hörte, zu gestalten,Und auf dem Pfad zum ewgen LichtDer Völker Seelen hinzuleiten,Erregt er jetzt den Sturm der SaitenUnd was er singt, er hats gelebt.Er stritt ihn mit, den Streit der Helden;Drum darf er auch den Brüdern meldenWas über Streit und Leid erhebt.So werfen wir mit starken ArmenUns in den Strudel kühn hinein.Uns treibt die Pflicht und das Erbarmen,Und jeder Mann soll Kämpfer sein.Wohl mag es tausend Jahre dauern,Bis auf den umgestürzten MauernDer Selbstsucht und der HeucheleiDie neuen Tempel sich erheben,Umfassend alles Menschenleben;Drum strömt zum Kampfe all herbei:Ist jedes Herz auch nur ein Funken,Und jeder Geist, von Hoffnung trunken,Ern Tropfen nur im Ozean —Doch geht der hohe Ruf an alle:Treu kämpfe, siege oder falleAuf Ewgem zugekehrter Bahn!",l00130073,Die Jünger der Zeit,"Gittermann, Wilhelm",1,64,"Deutsche Lyrik von Heute und Morgen. Mit einer geschichtlichen Einleitung, hrsg. von Alexander Tille. Leipzig 1896.",b'1896',"Tille, Alexander"
9,"Eigentlich ist mir alles gleich,Der eine wird arm, der andre wird reich,Aber mit Bismarck, — was wird das noch geben?Das mit Bismarck, das möcht' ich noch erleben.Eigentlich ist bloss alles so so,Heute traurig, morgen froh,Frühling, Sommer, Herbst und Winter,Ach, es ist nicht viel dahinter.Aber mein Enkel, so viel ist richtig,Wird mit Nächstem vorschulpflichtig,Und in etwa vierzehn TagenWird er eine Mappe tragen;Löschblätter will ich ins Heft ihm kleben —Ja, das möcht ich noch erleben.Eigentlich ist es alles nichts,Heute hälts und morgen brichts,Hin stirbt alles, ganz geringeWird der Wert der irdschen Dinge,Doch wie tief herabgestimmtAuch das Wünschen Abschied nimmt,Immer klingt es noch daneben:""Ja, das möcht ich noch erleben.""",l00130027,"Ja, das möcht' ich noch erleben","Fontane, Theodor",3,8,"Deutsche Lyrik von Heute und Morgen. Mit einer geschichtlichen Einleitung, hrsg. von Alexander Tille. Leipzig 1896.",b'1896',"Tille, Alexander"
