,Unnamed: 0,Unnamed: 0.1,text,ID,Autor,Gattung
0,0,0,du setzest auf sein nacken du   seine blau auge   die sein für ich   eine golden locke aus sein haar soll wärmen die nest wir nah jahr   ,autoren_lyrik_lemma_Fontane_Die zwei Raben,Fontane,lyrik
1,1,1,die ärgern die seydlitz   » philistergesicht   affront dazu   die lieb ' ich nicht   « und er nehmen pistole links von die wand   zielen hinüber mit sicher hand   zielen und schießen auf dreißig schritt   eine zweit kugel und nun eine dritt '   es spritzen die kalk   die drüben heiter zeihen|ziehen sein mütze   rauchen aber weiter   und seydlitz lachen   » verfluchte visage   aber die kerl haben courage   « ,autoren_lyrik_lemma_Fontane_2. Seydlitz und der Bürgermeister von Ohlau,Fontane,lyrik
2,2,2,es können die ehre dies welt du keine ehre geben   was du in wahrheit heben und halten   muss in du selber leben   wenn es dein innerste gebricht an echt stolz stütze   ob dann die welt du beifall sprechen   sein alle du wenig nütze   die flücht'ge lob   die tag ruhm mögen du die eitle gönnen   die aber sein dein heiligtum   ,autoren_lyrik_lemma_fontane_4. Es kann die Ehre dieser Welt,fontane,lyrik
3,3,3,o   wie weit   wie weit   liegen die goldne zeit   wo mein herz von tausend lied schwellen   nun sein stumm mein mund und mein herz so wund sein von thränen   nur von thränen voll   o was geben ich drum   sein ich nicht so stumm   und die thräne finden ihr lauf   aber lied wie schmerz   hüten stumm die herz   und wer kommen und schieben die riegel auf   jung liebe glück   kehren du nie zurück   ach   die herz ich noch die herz zerbrechen   wie eine funkelstern   o so ewig fern   glänzen die goldne zeit in+die goldnen licht   ,"autoren_lyrik_lemma_fontane_5. [O, wie weit, wie weit]",fontane,lyrik
4,4,4,könig karl die zweite von engelland bei mit  und nachwelt in ungunst stehen   in jede geschichtsbuch sein zu lesen   er sein durchaus von+die übel sein und haben die denkbar schlimmste verbrechen   nie was kluge tun   nie was dumme sprechen   ach könig karl von engelland   eine kennen ' ich   die heben für du die hand   eine kennen ' ich   die sich zu sagen erdreisten   du haben die denkbar größte leisten   denn immer zu tun   was klug und weise   wie sehr ich dies kunst auch preis   sie müssen ihr auge doch niederschlagen vor die hoch kunst   nie was dumme zu sagen   ,autoren_lyrik_lemma_fontane_König Karl der Zweite von Engelland,fontane,lyrik
5,5,5,ich kennen eine jäger   man heißen er » tod «   sein wang sein blass   sein speer sein rot   sein forst sein die welt   er zeihen|ziehen auf die pirsch   und jaget elen und edelhirsch   in+die völkerkrieg   auf blutig feld   sein es   wo er sein kesseltreiben halten   hass   ehrsucht und geizen nach ruhmesschall sein treiber in+die dienst die jäger alle   nicht fürcht ich er selber   wie nah er auch drohen   doch wohl sein rüde   gram   krankheit und not   die meute   die stückweis die leben zerfetzen ,autoren_lyrik_lemma_fontane_Ein Jäger,fontane,lyrik
6,6,6,schließen woodstock sein eine alt bau aus könig alfred tag   man sehen es weithin stolz und grau die tanne überragen   zu fuß er eine garten liegen   wie wohl eine blühend kind umschmiegt die knie die ältervaters   die garten sein an blume reich   an quelle und an bronn   und auf die rasen   teppichgleich   tanzen gern die licht die sonne   doch finster an die garten saum drängen sich urplötzlich baum an baum zu mächt'gem forst zusammen   in sein tiefe glücken es nicht die sonn ' ihr licht zu senden   nur knisternd durch die zweig brechen die hirsch von sechzehn ende|enden   scheu folgen die elen sein bahn   und kreischend locken die auerhahn herab von+die tannengipfel   an+die waldrand   in die garten nähen '   sein eine offne stelle   es glitzern dort   halb teich   halb see   in+die sonnenstrahl die welle   viele erle stehn an+die uferrand   und wo die quelle küssen die sand   da sprießen blau blume   und hier in+die duft'gen wiesengrund   wo wald und see sich grüßen   da sitzen die schön rosamund zu könig heinrichs fuß   es ruhen ihr haupt auf sein schoß   und ihr auge   blau und groß   schauen lächelnd in die sein   eine frisch bronn sein ihr mund   und heinrichs lippe senken   wie krug   tief sich auf die grund   um so sein herz zu tränken   doch wie solche trunk er auch erquicken   aus sein auge finster blicken von zeit zu zeit die seele   die jung weib   es bangen und blaßt vor sein auge schatten   und sehen '   ihr eigen herz erfassen die trübsinn nun die gatte   sie weinen und rufen in bittrem harm   » sein auch die liebe selbst zu arm   was sollen nur   heinrich   sprechen sie fort   die ernst in dein zug   sagen '   wollen mein schlicht liebeswort du fürder nicht genügen   ach   als ich du mein herz geben   geben ich du alle mein gut und hab   ich haben ' nichts mehr zu geben   « sie sprechen es   und sehen   eine tropfen warm rollen über heinrichs wange   er pressen sie fest in die arm und küssen sie heiß und lange   dann sprechen er   » was ich rauben die ruhen   die sein mein bös gewissen   « er legen sie auf die blumenplan   und kniend vor die arm|arme rufen er   » was ich du antun   des woll ' sich gott erbarmen   ich   die gefreit um dein hand   bin könig über engelland und leonorens gatte   « da fliehen die letzt rose scheu von rosamundens wange   die könig aber halten auf+die neu voll inbrunst sie umfangen   laut rufen er   » so du können   vergeben   und sein mein leben   sein mein lieb   so treu   wie ich du lieben   « wohl durch die träne|tränen leuchten da ihr auge wie die sonne   was immer sein   er lieben sie ja   und die allein sein wonne   sie sprechen   » dein sein ich alle zeit   und kosten es mein seligkeit   es sollen keine tod wir trennen   « da heben ringsum alsobald die vöglein an zu singen   es wollen die rauschen in die wald wie orgelton erklingen   die könig still sein liebchen pressen   und sein seele hochzeitsfest haben nur die wald vernehmen   ,autoren_lyrik_lemma_fontane_Viertes Kapitel,fontane,lyrik
7,7,7,nun haben die morgen sein thore phantastisch wieder aufgethan   und sein goldne tricolore wehen hoch aus jede wolkenkahn   nur hier in dies dumpf mauer zu+die fluch werden er die proletar   in alle ecke seh ich lauern   in alle winkel seh ich kauern   dämon   die die nacht gebären   mein letzt licht sein längst erlöschen und fahl durch+die fenster lugen die noth   denn dies hier sein die letzt groschen und dies die letzt stückchen brod   verlachen   verludern und verlieren   die alt   weder glück noch stern   fürwahr   ich sein die thor die thoren   o mutter   sein ich nie gebären   o schön zeit   wie liegen du fern   auf wild   meerverschlagner planke   eine schiffer sein ich   die versinken   mein letzt stern sein eine gedanke   die leuchtend ich von+die himmel blinken   eine fern eiland seh ich ragen   doch werfen die fluth ich stets zurück   o   wollen es denn immer noch nicht tagen   noch gelten es zu wetten und zu wagen   denn jen eiland wiegen mein glück   schon thut ich   wie wenn glocke klingen   die zukunft ihr wunder kund   eine stammeln nur sein jetzt mein singen   eine stammeln wie aus kindermund   du schöpfer alle harmonieen   o   gieb ich luft   o gieb ich licht   in+die staub sehen ich vor du knieen   denn eine welt von melodieen gehen unter   wenn dies herz zerbrechen   ,autoren_lyrik_lemma_fontane_11. [Nun hat der Morgen seine Thore],fontane,lyrik
8,8,8,noch immer baumeln die alt zopf   die alt welt in+die genick   noch immer schmoren ihr keine huhn in+die topf   drum   vive la république   drum   vive la république   blique   blique   die herz schlagen wir in+die bauch   die knutenthum haben wir dick   dick   dick   und kartoffel und häring auch   ,autoren_lyrik_lemma_fontane_Chanson,fontane,lyrik
9,9,9,es gehen zu end '   und ich blicken zurück   wie sein mein leben   wie sein mein glück   ich sitzen und machen mein schuh   unter lob und tadel sehen man ich zu   » du dicht   die sein die wichtigste     « » du dicht   die sein die nichtigste   « » wenn dichtung wir nicht zu+die himmel tragen|trügen     « » phantasterei   unsinn   lüge   « » göttlich funke   prometheusfeuer     « » zirpende grille   leer scheuer   « von hundert lieben   von tausend mißacht't   so haben ' ich meinen tag verbringen   ,autoren_lyrik_lemma_fontane_Rückblick,fontane,lyrik
10,10,10,was schrecken die traumbild ich die tot mann und wecken in ich die alt aberglaube an eine könig unverletzlichkeit   die schwert die henker sein ' wie glas zerspringen   wenn gott will ' er unverletzlich schaffen   die kühn normann   die bei hastingsfield die könig harald in die staub werfen   was sein er beßres als die cromwell heuen   die jen karl bei marston moor schlagen   ,autoren_lyrik_lemma_Fontane_Cromwells letzte Nacht,Fontane,lyrik
11,11,11,in würzburg   bei die bischöfliche   sein er schon sieben jahr verstreichen   sein potsdamer tag   manche lieb mal denken die alt korporal   ,autoren_lyrik_lemma_Fontane_3. Rekruten-Korporal,Fontane,lyrik
12,12,12,o gott   wie ledern respective blechern sein doch die quark von alle die versverbrechern   die heuen mit selbstgefällig behagen die tretrad schwingen und die tamtam schlagen   nur du schwingen nicht die weihrauchfass die mode und beugst vor dein publikum die knie   du weihst du als begeistert rhapsode die hohenpriesterdienst die poesie   die zeit sein eisern   eisern ihr beruf   o   dass sie endlich ihr sohn gedenken   des sohn   die ihr die » weihgesänge « schaffen   sie und die orient wundervoll » nacht «   seit ich die mus|muse lächelnd zunicken   hab ich mit staunen zu du aufblicken und winden du nun in dein kranzgeflecht   » ich danken du   « die kommend geschlecht   ,autoren_lyrik_lemma_fontane_An Adolf Friedrich von Schack,fontane,lyrik
13,13,13,wir lehren die christenthum en gros   hier erdenkloß   dort himmelspächter   doch unser weisheit a und o sein eine unsterblich gelächter   ,autoren_lyrik_lemma_fontane_Schauderhaft,fontane,lyrik
14,14,14,in eine lumpenkasten sein groß rebellion   die fein lump|lumpen hassen die grob lange schon   die fehde tät beginnen eine lümpchen von batist   weil er eine stück sacklinnen zu nah ' kommen sein   sacklinnen aber freilich sein eben sackleinwand und haben grob und eilig die antwort bei die hand   von lady oder schlumpe   ' s tun nichts zu+die sache hier   du zählen jetzt zu die lump|lumpen und sein nicht mehr wie wir   ,autoren_lyrik_lemma_fontane_l0090071,fontane,lyrik
