,text,ID,Titel,Autor,Strophen,Verse,Anthologie,Jahr,Hrsg
0,In flammender EmpörungSprech' ich der Lüge Hohn:Und wenn du tausend Nacken beugstUnd tausend Sclavenseelen säugstMit feilem Judaslohn:Ich trotze deinen Jochen!Ich hab' den Bann zerbrochen —Ich hab' mich freigesprochen:Ich bin der Freiheit Sohn!,l00180087,Anathem!,"Conradi, Hermann",1,9,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm"
1,"Flammend stand das Mene-tekelLang an meiner Wand geschrieben.Grimme Scham und tiefer EkelWär mir leicht erspart geblieben,Hätt ich wollen sein ein Weiser.Aber ich gebot als KaiserIn des Traumlands reichen Fluren.Nah war mir die ewge Ferne,Und es folgten Mond und SterneMeinen Spuren.Bei mir saß der KaiserinWunderbild aus Gold und Steinen.Zärtlich hielt ich ihre HandUnd versprach ihr all mein Land,Wenn sie einmal wollte weinen.Denn ob sie nur Stein und Gold,Lachen konnt sie wunderhold,Also künstlich war das Bild.Nur der ThränenTiefes SehnenMußte bleiben ungestillt.Meinen Wahnsinn zu bestärken,Sprach ich oft von ihrer Seele,Hieß sie Englein ohne Fehle;Freilich hätt ich können merken,Was der Rabe krächzte heiser,Hätt ich wollen sein ein Weiser.Und dann ist der Tag gekommen,Da der Traum mir ward genommen.Mond und Sterne sind dahin,Seit ich nun ein Bettler bin.Lächelnd ließ ich meinen Thron,Lächelnd trug ich Acht und Hohn,Aber Eins ist nicht zu tragen:Eh ich ging aus meinem Reiche,Hab ich erst mit wilden StreicheDas geliebte Bild zerschlagen,Das ich oft mit Thränen tränkte,Drein ich meine Seele senkte.Und es waren wirklich Steine,Spitze, stumpfe, große, kleine.In dem Kopfe zwei Demanten,Rund geschliffen, ohne Kanten;Statt der Lippen zwei Rubinen,Welche noch zu lächeln schienen,Und ein Blutstein in der Brust,Daß ich endlich merken mußt',Wie ein solches Bild von SteinenNicht kann weinen.Also wirklich? Kann es sein?Küssen kann ein Bild von Stein?Lachen, wie am MaientagRosen lachen in dem Hag,Lauschen, wie da Sterne lauschen,Wenn im Mond die Wasser rauschen;Lieblich kosen, schmälen, greinen —Und nicht weinen?Wenn ich oben wär geblieben,Statt den Traum der Nacht zu lieben,All den Ekel, all das WissenHätt ich leichtlich mögen missen.Und nun könnt ich mit den Andern,Statt im dumpfen Haus zu stocken,Auf den hellen Straßen wandern;Trüg' ein Kränzlein in den LockenStatt der spitzen Dornenreiser,Hätt ich wollen sein ein Weiser. —",l00180174,Hätt ich wollen sein ein Weiser,"Winter, Joseph",7,10,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm"
2,"Zum Ort des Todes lenk' ich oft den Gang,Dort wandl' ich still der Gräber Reih'n entlang.Zuweilen les' ich, was auf schlichtem SteinDie treue Liebe schrieb so rührend ein.Der Großstadt Lärm nur traumhaft tönt an's Ohr,Mich dünkt: in selige Au'n ich mich verlor.Die Seele stirbt: es stirbt der ewige Schmerz,Tiefsinnige Träume ziehen himmelwärts.Ich bin der Falter, der zum Kelche strebt,Ich bin das Stäubchen, das im Lichte webt.Ich lebe und bin todt vieltausend Jahr,Ich weiß, daß ich einst war und doch nicht war.So dämmer' ich schrankenlos in Zeit und Raum,Wie sich ein welkes Blatt loslöst vom Baum.",l00180013,Zum Ort des Todes...,"Arent, Wilhelm [alt. Arendt, Wilhelm]",1,14,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm"
3,"Übermuth an allen Ecken:Wohinaus noch, gute Welt!Rosen wachsen auf den Hecken,Und im Golde starrt das Feld.",l00180163,Übermuth an allen Ecken...,"Kralik, Richard",1,4,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm"
4,"Ein Thé dansant — langweilige Gesichter,Langweilig plump ist auch ein jeder Fuß —Schon brennen am Klavier die Schreckenslichter,Man ahnt gequält den kommenden Genuß.Da sah ich sie — die Fee der Mondenstrahlen —Die rosig unter allen Basen stand —Ich wett', die Stiefelchen sind Wallnußschalen,Und Spinnweb ist das duftige Gewand!Hin huschte sie — da schien es mir, es biegenDie Stühle sich der Zauberkönigin — — —Die beiden Füßchen, sieh zwei lose FliegenDie huschen neckisch über'm Teppich hin.Zwei wilde Fliegen hasten sie vorüber,Purr — surr, so tönt's dem bleichen Träumer zu —Da seufzt er auf, sein blaues Aug' wird trüber,Sie fing sein Herz in ihrem kleinen Schuh.Und Hochzeit ward's. O süße, flücht'ge Stunde,Da endlich man zum ersten Mal allein!Die alte Wanduhr schnarrt' mit rauhem MundeMißmuthig just ein lautes ""Ein."" —Da klopfte er an seines Himmels Pforte,Ein leises Husten scholl zu ihm heraus — —O schöner wohl als alle leeren WorteSagt dieser Klang: ""Tritt ein, du bist zu Haus"" —Schnell trat er ein — vom Kissen fast bedecketSo lag sie da, ein wildes Vögelein —Ein Mäuschen, das sich zitternd hat verstecket,Da just der graue Kater tritt herein.Da warf er sich, sie stürmisch küssend, nieder.Sie küßte wieder, doch so bang, so scheu — —Kehrt auch die schöne Stunde nimmer wieder,Sie schaffet schöne Stunden immer neu!",l00180183,Sie,"Jahn, Hermann Eduard",2,16,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm"
5,"Es wird auf unserer viellieben Erden,So lange sie wandert, nicht anders werden:Die Reichen treiben mit Himmel und GottFröhlich ihren lachenden Spott;Schmausen und zechen Fasanen und Wein —Lassen das Philosophiren hübsch sein.Sie besitzen die Weisheit der Welt —Die Weisheit hat Klang und nennt sich Geld.",l00180121,Spruch,"Jerschke, Oskar",1,8,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm"
6,"Es geht ein seltsam Weben und Athmen durch die Nacht,Seufzer der Sehnsucht beben in deinem Ohre sacht.Die Winde gleiten kühler hinab den dunklen Weg,Und leise Stimmen flüstern am blühenden Geheg.Und in den fernen Wolken im Osten blitzt es auf,Und von der Erde hebt sich ein sanfter Glanz hinauf.Es quillt wie Licht und Leben aus dunklem Schooß hervor,Es ringen sich Gestalten aus Nacht und Tod empor.Die Welt schaut ihrem Morgen entgegen sehnsuchtsvoll,Wie einst der ersten Liebe dein Herz entgegenschwoll.So dürstet uns're Seele heiß nach des Lebens Gluth,Emporzutauchen aus der schwarzen Todesfluth.Und immer wieder ringt sich ein Tag aus jeder Nacht,Du, Seele, bist aus jedem Tod noch auferwacht.Du wandelst ewig weiter durch Nacht und Tageslicht,Und Welt auf Welt erhebt sich und Welt auf Welt zerbricht.Auf Sonnenschwingen hebt sich empor mein Herz und Sinn,Auf Gottesflügeln schweb' ich empor — wohin? wohin?In meinen Augen fluthet ein morgenheller Schein,In meine Seele gluthet das Gottesaug' hinein.O Glanz, o furchtbar Leuchten, das meinen Geist umwallt,Du hundertfältig' Leben, dein letzter Schrei verhallt.O süßes Wunderweben, was meinen Geist umwirbt,Zu End' ist die Verwandlung, wer Gott geschaut der stirbt!",l00180058,>Der Seele Tod,"Hart, Julius",12,2,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm"
7,"O gold'nes Licht, dein blendendes StrahlenkleidUmhülle mir von Neuem den müden Geist:Vergessen such' ich, AdleraufschwungÜber die Tiefe des düst'ren Lebens.Nur du allein giebst Frieden und Wonnelust;O wende nicht dein göttliches Vateraug'Von deinem Kind, das sich hinaussehntÜber die Enge des düst'ren Lebens.O lass in deiner allhinleuchtenden NachtAlswie ein Kind am blumigen AlpenhangMich selig ruh'n, empor mich träumenÜber die Schwere des düst'ren Lebens!",l00180036,Gebet,"Linke, Oscar",3,4,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm"
8,"Morgenstunde — noch ist FriedenRings im Thal der Pyramiden,Feurig durch des Ostens Thor,Flammen malen ihre StrahlenAn den Riesengräbermalen,Steigt das Morgenroth empor.Und nun setzt es seinem SohneMemnon eine güld'ne KroneAuf das Fürstenhaupt von Stein:Durch des Göttersohnes GliederGeht ein Zittern, KlageliederSchallen schwermuthreich landein.Mutter, tönt es von den kaltenLippen des Jahrtausendalten,Ist er noch nicht da der Gott,Der der Dunkelmänner KronenBricht und Schächer stürzt von ThronenUnd die Großen macht zum Spott?Naht noch nicht der Wahrheitsender,Kommt noch nicht der SegenspenderOrmuzd auf der Lichtes Bahn,Daß er in des Orkus Klüfte,In des Weltalls fernste GrüfteBannt den Todfeind Ahriman! —Höher steigt der Sonne Wagen,Und in Weinen, leises KlagenEndet Memnons Morgenlied;Und so wird es weiter tönenBis herauf am gold'nen schönenWeltenmorgen Ormuzd zieht.Lange lag die Welt im Wahne,Keiner hielt empor die FahneJenes Lichtgotts; nur alleinMeldete des Lichts GefunkelIn der Weltnacht tiefem DunkelMemnons kalter Mund von Stein.",l00180106,Memnons Lied,"Hückinghaus, Karl August",6,6,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm"
9,"Blutbeströmt und voller Wunden,Die ihm Christen-Schwerter schlugen,Trugen Mauren ihren Emir,Der da kämpfte, der da siegteHundertmal in hundert Schlachten,Heimwärts von des Ebro Strand.Tief gesenkt das Haupt, das edle,Zu der Blutspur des Gebieters,Selbst aus tiefer Wunde blutend,Kam das Roß, das ihn getragen,Hundertmal in hundert Schlachten,El Mahran, der weiße Hengst.Von dem Burgthor, dem gewölbten,Schritt herab das Weib des Helden,Gülnahar, die vielgeliebte,Schlang um ihn die weißen Arme,Dunkel, flossen ihre Locken,""Rettet,"" rief sie, ""meinen Herrn!""Und es sprach Medschnun der alte,Der der Heilkunst wohl erfahrne:""Schwer und tief sind seine Wunden,Nie zum Kampf mehr wird er reiten,Aber willst Du, daß er lebe,Leben wird er, folge mir:Von den Pfeilern, von den Wänden,Nimm die Waffen, die ihn schmückten,Die Gefährten alter Tage,Daß sein Blick sie nie mehr finde,Nie sein Auge ihn erinn'reAn den Glanz ruhmvoller Zeit.Banne ferne vom PalasteDie Posaunen, die Drommeten,Die Verkünder einst'ger Thaten,Daß sie nie mehr ihn erwecken,Nie sein Ohr ihn mehr erinn'reAn den Glanz ruhmvoller Zeit.Mische dann in seinen BecherDiese tief geheimen Tropfen,Deren Kraft ist, daß sie löschenAlles, was uns je betrübte,Alles, was uns je erfreute,Tödtend die Erinnerung.""Und sie mischte ihm die Tropfen —Wo am schattigsten die Bäume,Wo am duftigsten die Blumen,Dort im stillen Gartenhause,Fern der Welt und fern den Menschen,Pflegte sie den wunden Herrn.Mählich schlossen sich die Wunden —Zweimal ging der lichte FrühlingDurch das Thal von Barcelona;Als er kam zum drittenmale,Fand er, unter Blumen wandelnd,Friedlich lächelnd einen Greis.Und das war der kühne Emir —Jene Hand, die einst am EbroWie den Blitz das Schwert regierte,Spielte jetzt mit Frühlingsblumen,Und das Schlacht-gewalt'ge AugeBlickte träumend in das Grün. —Gülnahar an seiner Seite,""Bist Du ganz mir nun gesundet?""Sprach sie liebend. — ""Ganz gesundet."" —""Fühlst Du Schmerzen?"" — ""Keine Schmerzen.""""Doch Dein Auge blickt so trübe?""""Etwas,"" sprach er, ""fehlet mir.""""Und dies etwas — sprich, was ist es?""""Nimmer weiß ich es zu sagen;Wie ich sinne, wie ich denke,Nimmer weiß ich es zu finden,Doch es war in meinem HerzenUnd im Herzen ist's nicht mehr.""Also saß er eines TagesUnter'm Schattendach der Bäume,Gülnahar an seiner Seite —Da vom Traume fuhr empor er,Da vom Sitze sprang empor er —Was war das, was dort erklang?Aus der Ferne scholl's herüber,Gleich der Windsbraut, die die MeerfluthDie erstarrte, weckt zum Sturme,Gleich dem Erzklang der Drommete,Gleich dem Rasseln der Geschwader,Wie ein Ruf zu Schlacht und Streit.Und es scholl zum zweitenmale —Und zum drittenmal ertönt' es —""Bringt mein Schwert mir,"" rief der Emir,""Sattelt meinen weißen Hengst mir,Denn ich kenne diese Stimme,Das ist El Mahran's Gewieh'r!""Da am Herzen brachen strömendAuf die Wunden, sterbend sank er,In den Armen hielt ihn klagendGülnahar, doch er mit LächelnSprach: ""nun fand ich das Verlor'ne —Weine nicht, — ich bin gesund.""",l00180188,Der Emir und sein Roß,"Wildenbruch, Ernst von",16,6,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm"
