,text,ID,Titel,Autor,Strophen,Verse,Anthologie,Jahr,Hrsg
0,"Ich komme heim aus dem Sonnenland.Ich bin den ganzen blühenden Tagin lauter Schönheit gegangen!Nun fliegt's mir um Stirn und Wangennoch wie ein verklärter, seliger Schein...Sieh mir nicht so in die Augen hinein,sonst nimmt er dich auch gefangen!Dann kommen wir nicht voneinander los,wir schauen uns an, so sehnsuchtsgroß,und finden aus lachendem Märchenglücknie mehr den Weg in das Leben zurück.",l00110518,Warnung,"Ritter, Anna",1,11,"Moderne Deutsche Lyrik. Mit einer literargeschichtlichen Einleitung und biographischen Notizen, hrsg. von Hans Benzmann. Leipzig 1904.",b'1904',"Benzmann, Hans"
1,"Des Meeres Stimme braust in meine Träume,doch singt sie nicht, wie einst, von toten Städten,versunknen Kronen, goldnen Prachtgeräten,glückseligen Inseln voller Palmenbäume.Nein, stolze Bilder aus der Zukunft Tagenerweckt sie mir mit rauhgestimmten Weisen:Geschwader seh ich ziehn in Stahl und Eisen,die siegreich Deutschlands Adlerbanner tragen.Und Häfen schau ich, drin aus allen Zonensich Güter türmen, deutschen Fleißes Segen,und Kolonien, am Urwaldsaum gelegen,wo deutsche Sprache, deutsche Sitte wohnen.Was trüb und welk, der Seewind fegt's von dannen,und freudig schwillt das Herz beim Brandungstosen,als säh es singend lustige Matrosenzur Fahrt ins Weite keck die Segel spannen.",l00110188,Meeresträume,"Fuchs, Georg",4,4,"Moderne Deutsche Lyrik. Mit einer literargeschichtlichen Einleitung und biographischen Notizen, hrsg. von Hans Benzmann. Leipzig 1904.",b'1904',"Benzmann, Hans"
2,"Die Zeit ist tot, da große Helden schufen,die mit der Fackel der Begeisterung,mit kühn erhabenem Gedankenschwungdes Lebens florumhüllte Stufenund weiter — weiter bis zum Gipfel klommen,wo ihnen vor den sehgewaltigen Blickenjach barst der Vorhang mitten in zwei Stücken —wo über sie der Friede dann gekommen!Die Zeit ist tot — die Zeit der großen Seelen,wir sind ein ärmlich Volk nur von Pygmäen,die sich mit ihrer Afterweisheit frevelnd blähenund dreist sich mit der Lüge Schmutz vermählen,mit jener Lüge, die da Prunk und Kronenum leere Schädel flicht, um schmale Stirnendas Diadem der Gottentstammtheit schlingt,die Weihrauchduft ohnmächtigen Götzen bringt!Was wir vollbringen, tun wir nach Schablonen,und unsre Herzen schrein nach Gold und Dirnen,und keinen gibt's, der tief im Herzen trügeden Haß, der aufflammt gegen diese Lüge —Wir knieen alle vor den Götzen niederund singen unserer Freiheit Sterbelieder.",l00110090,Pygmäen,"Conradi, Hermann",3,6,"Moderne Deutsche Lyrik. Mit einer literargeschichtlichen Einleitung und biographischen Notizen, hrsg. von Hans Benzmann. Leipzig 1904.",b'1904',"Benzmann, Hans"
3,"Du wandeltest so leise durch die Auen,daß kaum dem Mohn vor deinen Schritten bangte,die Hand erhobst du, ohne aufzuschauen,nach einem Zweige, der zu Häupten schwankte.Und vor dir Zitternden die Blüten stäuben,und kränzen deine jungen, leichten Wege,und dich umspielt ihr wohliges Betäuben,gleich dem Geheimnis, das ich heilig hege.",l00110019,Geheimnis,"Baum, Peter",2,4,"Moderne Deutsche Lyrik. Mit einer literargeschichtlichen Einleitung und biographischen Notizen, hrsg. von Hans Benzmann. Leipzig 1904.",b'1904',"Benzmann, Hans"
4,"Was war das?! — Rief nach mir ein banger Klager?Ich richte jäh mich auf im weichen Lager.Wer rief nach mir? — Wer stört mein einsam Kissen?Noch einmal rufe mir! Ich will es wissen!Doch nichts will Antwort meiner Frage geben — —O Gott, das war kein Laut aus warmem Leben!!Das war im Traum das Rufen deiner Stimme,die weckte mich in nie versöhntem Grimme!***Das war ein Ton aus einer toten Zeit!Wie furchtbar! — — Still! — Ich lausche weit und breit...Doch alles schweigt... und schweigt... und keiner mehr?Wie? drang nur dieser eine zu mir her?Und zornig schleudre ich ein Fluchwort hin —Was störst du wieder meinen müden Sinn?Ich lausche... Stille. — Und nun packt sie mich,die kalte, wilde Angst um mich und dich!***Ich will nichts hören! — Langsam legt sich wiedererkämpfte Ruhe auf die schlaffen Glieder.Doch wie ich auch den Schlummer mir erflehe,einmal verjagt, meidet er meine Nähe.Ich springe wieder auf und gehe hastendim Zimmer auf und ab, zuweilen rastend,und lauschend... doch kein Ton. Er ist zerklungen,als hätte ihn die müde Nacht verschlungen.***Die Schritte hallen an der dunklen Wand,und nach dem Licht sucht zitternd meine Hand.Es flammt hellauf. Ich seh mich schauernd um.Das Knistern nur des Lichts. Sonst alles stumm.Und wieder packt mich ein Gedenken an,das ich ermorden möchte und nicht kann.Und tief aufatmend stehe ich... Es rinntdie Nacht an mir vorbei, der Tag beginnt.",l00110386,In der Nacht,"Mackay, Henry John",19,2,"Moderne Deutsche Lyrik. Mit einer literargeschichtlichen Einleitung und biographischen Notizen, hrsg. von Hans Benzmann. Leipzig 1904.",b'1904',"Benzmann, Hans"
5,"Ich geh auf stillen Wegenfrühtags ins grüne Feld,wie lacht mir da entgegendie junge Morgenwelt!Wohl tausend Blüten schauenvon Wald und Wiesen her,die alle tropfig tauenvon edlen Perlen schwer.Ich brech mir ein Geschmeidevon nassen Rosen ab:wärst du an meiner Seite,von der geträumt ich hab!Ich hing dir's in die Lockenals deinen Hochzeitskranz —Da gehn die Morgenglocken,ich steh in Tränen ganz.",l00110208,Morgengang,"Greif, Martin",4,4,"Moderne Deutsche Lyrik. Mit einer literargeschichtlichen Einleitung und biographischen Notizen, hrsg. von Hans Benzmann. Leipzig 1904.",b'1904',"Benzmann, Hans"
6,"Auf meiner Stirne liegt des Vollmonds Lichtund schlaflos ruh ich noch auf meinem Lager,indes die Welt in stundenlangen Zügenden Schlummer trinkt, den ihr die Nacht gereicht.Es ist so still, daß man den leisen Atemvon Blatt und Blüte beinah hören kann,fast hören kann den lautlos zarten Schrittder Sterne auf des Himmels Sammetteppich,der bunten Traumgestalten Gehn und Kommen,die ungehindert, wie durch offne Pforten,durch Stein und Tor ans Bett der Menschen treten,entzückend und erschreckend, mild und traurig.So still, daß fast das Ohr vernimmt das Strömendes lichten Duftes durch die Fensterscheiben,den jene weiße Himmelsrose sendetin Strahlen auf mich nieder, weich und linde.O daß mein Wesen in dem Duft zerflösse,sich, steigend himmelan, in ihren Schoß ergösse,wenn sich die zarte Mondesblüte schließt!",l00110497,Mondeszauber,"Renner, Gustav",1,19,"Moderne Deutsche Lyrik. Mit einer literargeschichtlichen Einleitung und biographischen Notizen, hrsg. von Hans Benzmann. Leipzig 1904.",b'1904',"Benzmann, Hans"
7,"Fern dem Menschenschmerz,zwischen Eis und Stein:reines Herz, nun lausche,du bist nicht allein!Horch, die Gletscheradern rauschen,Quellen singen — und ein Geist stimmt ein:Meine Kinder werden einstauf dem Regenbogen spielen.Folgt dem Vater denn, ihr vielen,bis ihr oben über den schwülenSchluchten der Berge, durch die er muß,schimmern dürft!In die Niederungenführ ich euch gezwungen,der ich mit dem Erdreich ringen muß.Seht, da giebt es Herzen,die das Reinste schwärzen;Gift und Geifer tropft in meinen Fluß.Aber weiter, weiter,Kinder, auf vom Grund!Seht, mein Herzschlag läutertjeden Tropfen — undalle, alle werden einstoben auf dem Regenbogen spielen.",l00110124,Hohes Lied,"Dehmel, Richard",4,6,"Moderne Deutsche Lyrik. Mit einer literargeschichtlichen Einleitung und biographischen Notizen, hrsg. von Hans Benzmann. Leipzig 1904.",b'1904',"Benzmann, Hans"
8,"Es läuft der Frühlingswinddurch kahle Alleen,seltsame Dinge sindin seinem Wehen.Er hat sich gewiegt,wo Weinen war,und hat sich geschmiegtin zerrüttetes Haar.Er schüttelte niederAkazienblütenund kühlte die Glieder,die atmend glühten.Durch die glattenkahlen Alleentreibt sein Wehenblasse Schattenund den Duft,den er gebracht,von wo er gekommenseit gestern Nacht.Lippen im Lachenhat er berührt,die weichen und wachenFluren durchspürt.Er glitt durch die Flöteals schluchzender Schrei,an dämmernder Röteflog er vorbei.Er flog mit Schweigendurch flüsternde Zimmerund löschte im Neigender Ampel Schimmer.",l00110283,Vorfrühling,"Hofmannsthal, Hugo von [Pseud. Loris]",8,4,"Moderne Deutsche Lyrik. Mit einer literargeschichtlichen Einleitung und biographischen Notizen, hrsg. von Hans Benzmann. Leipzig 1904.",b'1904',"Benzmann, Hans"
9,"Hier ist es still an meinem dunklen Teiche,den nur der Mondfrau blasser Schleier streift,und ich bin Fürstin diesem Abendreiche,in das kein fremdes Menschendenken greift —und ich befehle meinem dunklen Teiche,und ich befehle seinen lauen Fluten,daß sie mich tragen, ihre Königin:sie tragen mich zu meiner Insel hin,da blühen aus dem Schilfe Blumenkronen,die einsam anf den hohen Stielen thronenund Blütenstaub aus matten Kelchen bluten.Und zwischen meinen Blumen will ich liegenund meinen Leib ans starre Schilfgras schmiegen.Die Mondfrau hüllt mich ein in bleiche Strahlen,ich steh im Schilf — es leuchten meine Gliedermir aus dem dunkelfeuchten Spiegel wieder,und hundert Sterne tauchen um mich niederund blühn empor aus violetten Schalen.Kühn lebt mein Heute, müde schläft mein Gestern,— mich trennen Welten jetzt von meinen Schwestern!Allein in meinem schweigenstarken Eden —sehn ich mich heiß nach wirren Liebesreden,ich sehne mich nach einem wilden Sehnen,ich sehne mich nach schwachen Mädchentränen,ich sehne mich nach roten Sonnenküssenund weiß, mein Leib wird daran welken müssen.Es wird ein Schatten in mein Dasein treten,der Schatten weiß von weiten Königsrechten,der Schatten wird mir Leib und Seele knechten,der Schatten wird sich um mein Dasein flechten,und meine Sinne werden zu ihm beten,und meine Seele wird ihn herrschen lassen —doch meine arme Seele wird ihn hassen.",l00110042,Und doch,"Beutler, Margarethe",4,7,"Moderne Deutsche Lyrik. Mit einer literargeschichtlichen Einleitung und biographischen Notizen, hrsg. von Hans Benzmann. Leipzig 1904.",b'1904',"Benzmann, Hans"
