,text,ID,Titel,Autor,Strophen,Verse,Anthologie,Jahr,Hrsg
0,"Was sagst Du Süßes mir, oh holdes Bild?Ist denn die Anmut, die mit weicher Wärmeaus Deinen Augen träumt, um Deinen Mundfein-schalkig zuckt und doch von höflicherAufmerksamkeit sittsam gebändigt wildzu edler Ruh, — die Anmut, die jungfräulich,nein, mädchenhaft, vom weißen Hals und vonder schönen Brust herspielt mit stillem Zauber, —die Anmut, die das fließende Gewand,die wunderzarten, schlanken Damenhändein Fülle spenden — ist die Anmut nur,daß sie in mir mit allen ihren Reizenein wirr, ein hold, ein tief Geheimnis schafft,tausende Träume lockt und Stimmen aufweckt,die mir die Sinne nehmen und zugleichdoch so ein unsagbares Glück bewirken?Oh meine Dame, Mona Lisa, Weib!Was redest Du zu mir durch späte Nacht?Weißt Du denn nicht, daß jetzt die Nächte sind,wo der Jasminduft träumerisch sich ausstreckt,die schwüle Hand uns auf die Stirne legtund leis zu locken scheint: Komm, komm, die Sündeist süß, und Lieb und Sehnen bringen Glück!? —Was ists mit mir, daß ich des Nachts so oftauffahren möcht, zum Wanderstock irr tastendin dunkle Wälder meine Straße schwankenmöcht, fieberheiß vor zitterndem Verlangen? ...Mir weckt ein Weib mit ihren kleinsten Reizenkrankende Sehnsucht: — fest möcht ich den Fußaufsetzen, über sie ein Sieger sein,ein Sturm-Eroberer, — — ach, doch mein FuB,der auf die Sinne hören will, ist schwank,weil meine Seele ganz, ganz anders will,die sich in Ehrfurcht vor dem reinen Weib beugtund nichts verlangt als ihrer Seele Grüßen.Oh Mona Lisa! Leise geht ein Tonvon Deinem Bild zu mir durch späte Nacht.Ein Ton, der mir von Seelenreinheit kündet,von Heimweh spricht, das auf zum Himmel führt,der von Entsagen redet und vom Glückdes Friedens, der die rohe Welt nicht kennt.Oh Mona Lisa! Schütze meine Jugendmit Deiner Anmut, die vom Himmel ist.Leg Deine Hand auf meine Fieberstirn,die sanfte, gute, feine Frauenhand,kühl all mein Brennen, das nicht edel flammt,stimm Du mein Lied, stimm Du mein Leben zugottsuchendem, tiefreinem Seelenklang.",l00120014,Mona Lisa,"Brandenburg, Hans",4,13,"Die Erde. Neue Dichtungen von Waldemar Bonsels, Hans Brandenburg, Bernd Isemann, Will Vesper. München 1905/6.",b'1905-06',"Bonsels, Waldemar"
1,"Oh wie der Bach vor meinem Fenster dröhnt und braut,und wirr, verworren schwillt es wie Glockenlautin dieses Rauschen die ganze Nacht —Ich bin mit einmal aufgewachtund liege schwer in feuchtem Samen,ich lieg und stammle keinen Namen,bin Weib und Mann und Mann und Weib.Oh Erde, brüchig-brünstige Ackerkrume,in der es keimt und gärt für eine Blume,du geiler, lechzender, weit offner Schoß —Ich bebe. Wie ist alles riesengroß!So brüchig-brünstig ist mein Leib,auch ich bin eine aufgepflügte Ackerkrume —Geil wächst um Mitternacht aus mir so eine wilde Blume.Ich liege schwer in feuchtem Samen,und wenns auch zuckt, sich bäumt, sich bäumt,so geil, so strotzend, so verschwenderisch überschäumt —ich stammle dennoch keinen Namen:ich bin der Rhythmus, der in stürmender Schöpfermachtdie brüchige Erde schwanger und trächtig macht.In dieser Nacht ward ich zum Mann —:Nun kenn ich Empfängnis und Befruchtung, all das Brodeln, Gären, Keimen, Brauen,nun schütteln mich Wollustkrämpfe und ein mitternächtiges Grauen,nun weiß ich, daß ich alles kann.Oh zuckender Schoß, ich stammle in Dich hinein und bin doch Du, Du brüchig-brünstige Scholle.Und immer durch die ganze Nacht dies volleRauschen des Wassers, das dröhnt und braut,und die ganze Nacht schwimmt als ein verworrener, dunkler Glockenlaut.",l00120016,Frühlingsnacht,"Brandenburg, Hans",1,28,"Die Erde. Neue Dichtungen von Waldemar Bonsels, Hans Brandenburg, Bernd Isemann, Will Vesper. München 1905/6.",b'1905-06',"Bonsels, Waldemar"
2,"Weiß und kühl lenktum den Hügel der Strom.Hochstämmige Buchendrängen heran, bisdicht an die Schranken der Rennbahn.Aber den Hügel empor,den die Zinnen des Klosters krönen,wachsen wenig Akazien nur,nur für glührote Königskerzenund vielfarbiges Beerengewächsist Raum und für versengte Farren.Ach, die höchsten Kronensind vom Abend geziert mit mildem Welken,und in den Fenstern des Klostersentblättert der Abendeine goldene Rose.",l00120030,Attel,"Isemann, Bernd",3,5,"Die Erde. Neue Dichtungen von Waldemar Bonsels, Hans Brandenburg, Bernd Isemann, Will Vesper. München 1905/6.",b'1905-06',"Bonsels, Waldemar"
3,"Auf schlug der Falke, eh der Morgen war.Bis sich sein nachttau-kühles Flügelpaarin hohes Gold der fernen Sonne tauchte.Die Erde schlief. Ihr Werdedrang gebargrauschweren Dunst, der kühl durch Eichen rauchte.An Felsen-Firnen schrickt es rot emporund glüht sich nieder durch zerfetzten Flor.Das zornig-weiße Feuer von Demantenerstarrt in Blitzen an granitnen Kanten.Und tief taucht klar die Welt in bunter Ruhdem blauen Silber eines Tages zu,um sich in kühlen, tiefen Atemzügensehnsüchtig drängend an das Licht zu schmiegen.",l00120002,Ein Anfang,"Bonsels, Waldemar",3,6,"Die Erde. Neue Dichtungen von Waldemar Bonsels, Hans Brandenburg, Bernd Isemann, Will Vesper. München 1905/6.",b'1905-06',"Bonsels, Waldemar"
4,"Heut lächelte der Herbst zum letzten Malbeschämt, daß ihm die Qualso wild verzerrte Züge machte,und war so zärtlich, dachtevoll Liebe an den kleinsten, bunten Baum,hing über alles tröstend einen Traum.Die ganze Weltträgt offen nun und unverstelltder Schmerzen wehes Malund hat die große Scham bekommenvor allem Kleinlichen und Kleinen,hat alle Schleier abgenommenund lächelt unter Weinen.",l00120035,Herbstsonne,"Vesper, Will",2,7,"Die Erde. Neue Dichtungen von Waldemar Bonsels, Hans Brandenburg, Bernd Isemann, Will Vesper. München 1905/6.",b'1905-06',"Bonsels, Waldemar"
5,"Laternen brennen immer nochin gelb-rot müden Reihn.Es reckt sich blaß umher zum Frühling auf.Verirrte Wolken ziehn in blauem Schein.Hellauf ein Flötenschluchzenohne Melodie,eine Drossel singt im Frühblau auf,viel zu früh.Im Dämmerschweigen klappt ein fremder Schritt,von drüben läuft das Echo schläfrig mit —Fern aus den Gärten wieder hell der Sang.Nur zwei Laternen noch. Der Weg war lang.O Heimweh über die Erde.",l00120007,Nach heißer Nacht,"Bonsels, Waldemar",4,1,"Die Erde. Neue Dichtungen von Waldemar Bonsels, Hans Brandenburg, Bernd Isemann, Will Vesper. München 1905/6.",b'1905-06',"Bonsels, Waldemar"
6,"Nun ist die Welt sich ganz des Sterbenmüssens klar,und aller Kampf stirbt in ein paarschweren Wolken, die noch blutig im Abendrot liegen,in ein paar Bäumen, die mit trotzigem Schüttelnnoch einmal der Stille entgegen fliegenund ihre klammernden Fäuste von den Schultern rütteln.Dann nur noch ein stumpf Dreingeben, Schlafenlegen.Und nicht einmal ein Schrei mehr fährt auf gegendie Stille, die nun alles duckt.Bleich in das tote Land guckt,in der ganzen Welt allein,der Mond ängstlich über den Berg herein.",l00120034,Resignation,"Vesper, Will",2,6,"Die Erde. Neue Dichtungen von Waldemar Bonsels, Hans Brandenburg, Bernd Isemann, Will Vesper. München 1905/6.",b'1905-06',"Bonsels, Waldemar"
7,"Als wär dein Kleid aus lauter Glockenblümchen,so halbverwelkte knittrig-feine Glöckchen,die bei jedem Schritte müder würden, —ist's in der Abendsonne.Als wär dein rotes Band ein schlanker Reiher,der seine krummen Flügel komisch spreizte,und mit dem Schnabel einmal weitaus stieße,ist's in der Abendsonne.Als wär dein weiter Ärmel innen eineKlatschrose, der dein nackter Arm entstiege,wenn du ihn hebst zum braunen Haar,ist's in der Abendsonne.Als wär der Abend dein, und alle Wunder,die dir das Blättergrün ins Haar gedichtet,nichts als die klare Antwort auf dein Wesen,ist's in der Abendsonne.Als stünd ich ganz allein und doch gelassenund wäre weit vom Bann des schönen Leibes,und hörte nur, wie fern ein Fink noch ruft,ist's in der Abendsonne.",l00120031,In der Abendsonne,"Isemann, Bernd",5,4,"Die Erde. Neue Dichtungen von Waldemar Bonsels, Hans Brandenburg, Bernd Isemann, Will Vesper. München 1905/6.",b'1905-06',"Bonsels, Waldemar"
8,"Wenn Sie mir nichts zu sagen haben,was drücken Sie so meine Hand?Ich weiß, das Glück ist längst begraben,doch haben Sie mir nichts bekannt.Die Walzer wiegen tote Ästeauf ihrer spiegelglatten Flut:Die Menschen wollen nur das Beste,doch wird es schließlich alles gut.Wenn Sie mir nichts zu sagen haben,was gehn Sie immer hier vorbei?Sie gleichen einem kranken Raben,wir tanzen, Achtung! — eins, zwei, drei —.",l00120025,Der Tanz,"Isemann, Bernd",3,4,"Die Erde. Neue Dichtungen von Waldemar Bonsels, Hans Brandenburg, Bernd Isemann, Will Vesper. München 1905/6.",b'1905-06',"Bonsels, Waldemar"
9,"Noch gehst du halb demütig,halb nachdenklich und bedrücktgesenkten Kopfs, und alle Schwermut sucht heißblütig-dunklen Sinn, der dich beglücktins Leben höbe, und die Augen dürsten.Schon aus der Erde wühlt es aufund wächst sich in dich, drängt und staut und spannt,schon hebt der Stolz den jungen Schmuck der Brüste,und wie ein Boot sich wiegt an stiller Küste,so ward dein Gang, dir selber unbekannt.Du gleichst dem Mohn, wenn seine Knospe schweram ratlos zagen Stengel niederhängt,wenn ihre grüne Hülle schon nicht mehrdie rote Glut verbirgt, die aus ihr drängt.Bald, wie sie endlich durch die Träume bricht,hebt sich ihr glutverschämtes Angesicht,der Stiel lernt Kraft und Lächeln lernt die Blüte,und duftbeseligt streckt sie sich im Licht:Gib alles Glück mir, mir, daß ich es hüte.Der Schwermut trüber Saft, der dich durchflossen,liegt dann im Schoß zu heiliger Frucht verschlossen,und gibt einst Trunkenheit und Schlaf und Tod,wem sich der tiefe Kelch in Schauern bot.",l00120022,An ein Mädchen,"Isemann, Bernd",4,4,"Die Erde. Neue Dichtungen von Waldemar Bonsels, Hans Brandenburg, Bernd Isemann, Will Vesper. München 1905/6.",b'1905-06',"Bonsels, Waldemar"
