,text,ID,Titel,Autor,Strophen,Verse,Anthologie,Jahr,Hrsg
0,Tief ist die trauer    die mich umdüstert ∙Ein tret ich wieder    Herr! in dein haus..Lang war die reise ∙    matt sind die glieder ∙Leer sind die schreine ∙    voll nur die qual.Durstende zunge    darbt nach dem weine.Hart war gestritten ∙    starr ist mein arm.Gönne die ruhe    schwankenden schritten ∙Hungrigem gaume    bröckle dein brot!Schwach ist mein atem    rufend dem traume ∙Hohl sind die hände ∙    fiebernd der mund ..Leih deine kühle ∙    lösche die brände ∙Tilge das hoffen ∙    sende das licht!Gluten im herzen    lodern noch offen ∙Innerst im grunde    wacht noch ein schrei..Töte das sehnen ∙    schliesse die wunde!Nimm mir die liebe ∙    gib mir dein glück!,l00140121,"Litanei [Aus ""Der siebente Ring""]","George, Stefan",8,2,Der Schatzbehalter. Ein Brevier Zeitgenössischer Lyrik. Ausgewählt von H. Federmann. München 1908,b'1908',"Federmann, Hertha"
1,Nun wird wahr was du verhiessest:Dass gelangt zur macht des ThronesAndren bund du mit mir schliessest —Ich geschöpf nun eignen sohnes.Nimmst nun in geheimster eheTeil mit mir am gleichen tischeJedem quell der mich erfrischeAllen pfaden die ich gehe.Nicht als schatten und erscheinungRegst du dich mir geblüte.Um mich schlingt sich deine güteImmer neu zu seliger einung.All mein sinn hat dir entnommenSeine farbe glanz und maserUnd ich bin mit jeder faserFerner brand von dir entglommen.Mein verlangen hingekauertLabest du mit deinem seime.Ich empfange von dem keimeVon dem hauch der mich umdauert:Dass aus schein und dunklem schaumeDass aus freudenruf und zähreUnzertrennbar sich gebäreBild aus dir und mir im traume.,l00140117,"Einverleibung [Aus ""Der siebente Ring""]","George, Stefan",6,4,Der Schatzbehalter. Ein Brevier Zeitgenössischer Lyrik. Ausgewählt von H. Federmann. München 1908,b'1908',"Federmann, Hertha"
2,Kahl reckt der baumIm winterdunstSein frierend leben ∙Lass deinen traumAuf stiller reiseVor ihm sich heben!Er dehnt die arme —Bedenk ihn oftMit dieser gunstDass er im harmeDass er im eiseNoch frühling hofft!,l00140125,"Kahl reckt der baum [Aus ""Der siebente Ring""]","George, Stefan",1,12,Der Schatzbehalter. Ein Brevier Zeitgenössischer Lyrik. Ausgewählt von H. Federmann. München 1908,b'1908',"Federmann, Hertha"
3,"Und der Abschied war kein Ende,und mein Blick bewegte dich;und es war, als legte sichstill dein Herz in meine Hände.Aber wenn du wiederkehrst,will ich deine Hand nicht küssen,will es nur empfinden müssen,wie du deinem Herzen wehrst.",l00140026,Nur,"Dehmel, Richard",2,4,Der Schatzbehalter. Ein Brevier Zeitgenössischer Lyrik. Ausgewählt von H. Federmann. München 1908,b'1908',"Federmann, Hertha"
4,"Wo sind die Gärten und verhüllten Thaleund Himmel milder Kindertraurigkeit —Meine Schwester ∙ wie brennen die Male!Mein Bruder ∙ der Weg wie weit!Das Haus im Dunkel lauer Todesschattendas Lied von unverstandnen Thränen feuchtals wir noch kein Gestern hattenund das Morgen noch Hoffnung gedeucht.Beim Lampenschein die Welt der fremden Wunderwie groß, dem Suchenden die Welt wie klein!Unsere Himmel sind reicher und bunterdoch nicht mehr so leuchtend und rein.Nun wir erkannt und viel und anders leiden,ein stummer Blick ∙ noch ist kein Werk gethan ∙da kaum wir vom Frührot scheidenhebt schon ein Abend an?Fern sinkt das Ziel am kühlen Himmelrandeein Windhauch rührt die schmerzlich dünne Saat —Mein Bruder ∙ wie dunkeln die LandeMeine Schwester ∙ wo blieb die That.",l00140159,"Widmung [Aus ""Die frühen Gärten""]","Vollmoeller, Karl Gustav",5,4,Der Schatzbehalter. Ein Brevier Zeitgenössischer Lyrik. Ausgewählt von H. Federmann. München 1908,b'1908',"Federmann, Hertha"
5,"Die Distel blüht jetzt und die Klette,Und Staub fliegt mit dem Wind um die Wette.Schwüle Gewitterwolken dunkeln,Wie eine Blendlaterne muß die Sonne funkeln.Sie wirft plötzlich Licht auf ein einzelnes Haus;Das sticht wie gezeichnet aus der Masse heraus,Wie Einer, eh' er zusammenbricht,Und den Tod vorher sieht als zweites Gesicht.So gehen Verliebte auch todestrunkenUnd sehen Gesichte an jeder Stell.Die kommen und verschwinden schnellWie Gewitterlichte grell und versunken.",l00140072,"Gesichte [Aus ""In sich versunkene Lieder im Laub""]","Dauthendey, Max [alt. Dauthendey, Maxim; Dauthendey, Maximilian]",3,4,Der Schatzbehalter. Ein Brevier Zeitgenössischer Lyrik. Ausgewählt von H. Federmann. München 1908,b'1908',"Federmann, Hertha"
6,"Der Tag ging regenschwer und sturmbewegt,Ich war an manch vergessenem Grab gewesen.Verwittert Stein und Kreuz, die Kränze alt,Die Namen überwachsen, kaum zu lesen.Der Tag ging sturmbewegt und regenschwer,Auf allen Gräbern fror das Wort: Gewesen.Wie sturmestot die Särge schlummerten,Auf allen Gräbern taute still: Genesen.",l00140018,Auf dem Kirchhof,"Liliencron, Detlev von [alt. Liliencron, Detlev Freiherr von; Liliencron, Detlev Frhr. von]",2,4,Der Schatzbehalter. Ein Brevier Zeitgenössischer Lyrik. Ausgewählt von H. Federmann. München 1908,b'1908',"Federmann, Hertha"
7,"Fremde Geige, gehst du mir nach?In wieviel fernen Städten schon sprachdeine einsame Nacht zu meiner?Spielen dich hunderte? Spielt dich einer?Giebt es in allen großen Städtensolche, die sich ohne dichschon in den Flüssen verloren hätten?Und warum trifft es immer mich?Warum bin ich immer der Nachbar derer,die dich bange zwingen zu singenund zu sagen: Das Leben ist schwererals die Schwere von allen Dingen.",l00140138,"Der Nachbar [Aus ""Das Buch der Bilder""]","Rilke, Rainer Maria [alt. Rilke, Rainer-Maria]",3,4,Der Schatzbehalter. Ein Brevier Zeitgenössischer Lyrik. Ausgewählt von H. Federmann. München 1908,b'1908',"Federmann, Hertha"
8,"Die Einsamkeit ist wie ein Regen.Sie steigt vom Meer den Abenden entgegen;von Ebenen, die fern sind und entlegen,geht sie zum Himmel, der sie immer hat.Und erst vom Himmel fällt sie auf die Stadt.Regnet hernieder in den Zwitterstunden,wenn sich nach Morgen wenden alle Gassenund wenn die Leiber, welche nichts gefunden,enttäuscht und traurig von einander lassen;und wenn die Menschen, die einander hassen,in einem Bett zusammen schlafen müssen:dann geht die Einsamkeit mit den Flüssen...",l00140139,"Einsamkeit [Aus ""Das Buch der Bilder""]","Rilke, Rainer Maria [alt. Rilke, Rainer-Maria]",3,1,Der Schatzbehalter. Ein Brevier Zeitgenössischer Lyrik. Ausgewählt von H. Federmann. München 1908,b'1908',"Federmann, Hertha"
9,"Wenn je ein Schönes mir zu bilden glückte,War's, weil ich hingegeben deinem Wesen,Mit meiner Seele mich in dich verzückte,Und, wie der Winzer nach dem TraubenlesenErglüht und schwankt in Purpurgeist gebadet,Wie Kranke, die nach tiefem Schlaf genesen,Wie ein Geliebter, den ein Gott sich ladet,Ihm teilt an goldnem Tisch des Nektars Blüte, —Zurück mir kam mit Harmonie begnadet,Lebendgen Feuers Wogen im Gemüte.",l00140090,"Wenn je ein Schönes mir zu bilden glückte [Aus ""Neue Gedichte""]","Huch, Ricarda",3,4,Der Schatzbehalter. Ein Brevier Zeitgenössischer Lyrik. Ausgewählt von H. Federmann. München 1908,b'1908',"Federmann, Hertha"
