,text,ID,Titel,Autor,Strophen,Verse,Anthologie,Jahr,Hrsg
0,"Das ist der Traurigkeiten Stunde,Wo du nicht weißt mehr, was dein Sein,Ob du nur Seele, die dem Leib entsprungen,Ob du nur Körper bist alleinUnd ob du klingst und ob du schon verklungen.Wo alles Schauen wunderbar sich weitet,Wo häßlich klar ein jeder Lauf,Daß alles sinnlos, ohne Ende gleitetDen Berg herunter und hinauf,Das ist der Traurigkeiten Stunde.",l0070019,Das ist der Traurigkeiten Stunde,"Fontana, Oscar Maurus",2,5,"Neuland. Ein Buch jüngstdeutscher Lyrik. Im Auftrag der Gesellschaft für Literatur & Kunst Neues Leben, hrsg. von Paul Friedrich mit einem Vorwort von Julius Hart. Berlin 1911.",b'1911',"Friedrich, Paul"
1,"Unsre Flammen brennenVor den TürenIn der Nacht.Unsre Flammen führenIn den sternbesäten Garten.Sieh, wir schlagen die Zimbeln!Komm!Hör die Brunnen rauschen,Die vom Markt,Und die Sterne,Unsre Glutensterne,Kommen zu uns aus der Ferne.Sieh, wir schlagen die Zimbeln!Komm!Nimm das Heute, Heute,Laß das Morgen!Heut ist Nacht.Was dich jemals reute,War von gestern, nicht von heute.Sieh, wir schlagen die Zimbeln!Komm!Über unser BetteGießt die AmpelRoten ScheinUnd aus unsern KelchenBlinkt ein tiefverborgner Wein.Sieh, wir schlagen die Zimbeln!Komm!Unsre weißen BrüsteHat noch keinerAusgeküßt,Deine, meine LüsteJubeln in das einzge Heute,Sieh, wir schlagen die Zimbeln!Komm!",l0070017,Dirnenlied,"Fontana, Oscar Maurus",5,7,"Neuland. Ein Buch jüngstdeutscher Lyrik. Im Auftrag der Gesellschaft für Literatur & Kunst Neues Leben, hrsg. von Paul Friedrich mit einem Vorwort von Julius Hart. Berlin 1911.",b'1911',"Friedrich, Paul"
2,"O Wunderbare,Gieße in die leere SchaleMeines HerzensDen berauschenden WeinDeiner Liebe!Seit ich dich gesehnIm glitzernden Ballsaal —Aus den wildbewegten FlutenDer Tanzenden,Über denen elektrische Sonnen glühten,Die in StrahlengarbenTausendfältig wiederblitztenAus DiamantenUnd Wonne leuchtenden Augen —Aus diesem flimmernden MeerStrahltest du heraus,Wie eine Wasserrose schaukeltAuf sturmdurchwühlter See.Dein glühender Leib,Voller MelodienIn rhythmischen Walzertakten bebend,Wuchs aus seid'ner Hülle,Wie eine junge Lilie sich aus BlätterprachtEmpor sucht zum Licht.Deine sternenfunkelnden Augen,Die über den erglühten Wangen standen,Wie weiße Rosen zwischen roten stehn —Als diese AugenMein Blut zur lodernden GlutNimmerruhender Liebe zündeten —Seitdem muß ich an Wunder glauben...Du weißt nicht, wie meine Hände sich sehnenNach deiner schlanken weißen Hand,Wenn sie im Schlafe nächtensÜber gramzerknüllte Kissen fahren,Blind hineintasten in die Nacht,Nach deiner bleichschimmernden Hand...Maria heißt du?Maria...Meine wachen Ohren sogen diesen Ton,Den deine schmalen Lippen,Auf denen tausend Küsse üppig blühten,Für einen andern sangen,In jener hellen, heißen Nacht,Die schwere Schatten auf mich warf.Maria...!Alle Geister in mir raunen:Maria;Die Einsamkeit mit tausend Lippen flüstert:Maria;Und alle StimmenUnd alle Winde singen nur den einen Ton:Maria...",l0070098,Maria,"Stöber, Fritz",1,53,"Neuland. Ein Buch jüngstdeutscher Lyrik. Im Auftrag der Gesellschaft für Literatur & Kunst Neues Leben, hrsg. von Paul Friedrich mit einem Vorwort von Julius Hart. Berlin 1911.",b'1911',"Friedrich, Paul"
3,"Ich wandre durch Wetter und Sturm.Um mich ächzen die alternden Eichen,es bricht ihre knorrige Kraft.Um mich zittern die jugendfrischen Tannen,es zagt ihr himmelanstrebender Mut,ihr jugendlich göttlich Mitmirwollen!Es stürzen die Spitzen zu Tal. —Trauer tötet mein Herz.Ruhig wandr' ich durch Wetter und Sturm. —Ich wandre zum großen Gipfel.Weit ist der Weg —Weiß wer den Weg?Unter mir schwanden verschwemmte Pfade —Steg nicht stützt mehr den Fuß —Menschenbetretene Bahnen enden — —Weiter streb' ich — zum Gipfel!Ahnend ergreift ihn mein Geist!durch endlose Ödenarbeitet emsig er auf.GipfelentstürzteSteintrümmer steigt erstürmend hinan!Doch den vertrauenseligen Tritt —stützt ihn der starke starrende Steinblock?Mir unterm Fuße weg,nicht den Schwung meiner Seele ertragend,furchtbar rollt er zur Tiefe.Aber schon schwang sich,vertrauend auf sich,zum höhern mein Tritt,Felsblock auf Felsblocktollkühn tretend,zum gähnenden Abgrund donnernd.Weiter! weiter!über vergangenerstarrer Weltenstürzende Trümmersiegend hinweg!weiter! weiter!höher! höher!wetterumwühlt,grauenumgrüßt!blitzumbrandet,sturmumjauchzt!sturmüberjauchzend hinan!! — —Ich — sehe den Gipfel! —Ich sehe der WolkenwildgeballteRiesenmauernmachtlos zerbrechen!Ich sehe der Sonne siegendes Licht!Ich betrete — schweigend den Gipfel.",l0070005,Künstlers Wandersang,"Borngräber, Otto",4,7,"Neuland. Ein Buch jüngstdeutscher Lyrik. Im Auftrag der Gesellschaft für Literatur & Kunst Neues Leben, hrsg. von Paul Friedrich mit einem Vorwort von Julius Hart. Berlin 1911.",b'1911',"Friedrich, Paul"
4,"Ich will den Duft der Ferne in dir spüren,Du sollst das Abbild deines Landes sein —In deinen Augensternen spiegle sichDer dunkeln Weiher weltverlorne Schönheit,Der Wälder schwarzer Samt, das weite Meer.Aus deinen Haaren steige leis ein DuftDer Fruchtbarkeit der wirren Ackerfelder;Dein Atem sei dem weichen Südwind gleich,Der durch die Pappeln und Zypressen flüstertUnd der um junge Rosen leis gebuhlt,Um Rosen der Provence.In deiner Glieder wellenhafter RundungLiege ein Abglanz hügeliger Landschaft,Vom Blütenschnee des Frühlings überhaucht;Und deine Lippen seien schwellendeGranaten, Blüten einer heißren Sonne —Deiner Heimat zärtlich liebe LauteSollen sie leise lispeln wie Musik.So will ich mich in deinen Armen ruhendVerlieren aus der öden, unwirtlichenSteiftrocknen Kälte meines rauhen Nordens,Den ich so hasse, wie ich doch im GrundDie tiefen Gründe meines ernsten VolksMit wehmutsvoller Liebe lieben muß.Der Schein ist schal, indes er euch verklärt.Erst unter tauber Schlacken hartem SteinRuht dieses Volkes Gold, schläft seine Seele...Du hörst sie selten und du denkst, wie kaltWie frostig — sind die Menschen hier, ohn' LächelnUnd ohne Herz. Du irrst dich Kind, es schläft,Schläft unter Dornen wie die deutschen Mären.Doch viele, es ist wahr, sind lebend tot.Sie schaffen nur noch ohne Ziel und SinnUnd rauchen vor Geschäftigkeit und Ehrgeiz.Sie machen, daß ich friere in der HeimatUnd Wärme mir an fremdem Herzen suche,Du Tochter eines glücklicheren Lands. —Ich will den Duft der Ferne in dir spüren,Du sollst mir selbst geliebte Ferne sein,Die dennoch nah ist, weil das Nahe fern.Und wenn einst meine letzte Stunde schlägt,Dann sei dein Atem eines dunkelblauenWeltabgewandten Meeres erstes Grüßen,Auf dem ein großes, gelbes Segel steht,Das mich zu unbekannten Ufern trägt,Zu neuen Weltgestaden, wo ich dich,Die mir dann Fremde wieder suchen werde. —",l0070031,Traumala,"Friedrich, Paul",1,47,"Neuland. Ein Buch jüngstdeutscher Lyrik. Im Auftrag der Gesellschaft für Literatur & Kunst Neues Leben, hrsg. von Paul Friedrich mit einem Vorwort von Julius Hart. Berlin 1911.",b'1911',"Friedrich, Paul"
5,"Kornmuhme flirrt mit tödlich heißem MundeDurchs reife Korn und seine goldnen Fluten;Der hohe Mittag brütet in der Runde,Die Luft liegt ausgetrocknet in den Gluten —Schlummre nicht ein! Denn jetzt ist Zauberstunde —Im Walde raunt der Sommer mit den Druden —Die Sonne flammt wie eine tiefe Wunde,Die Mohnen in den goldnen Feldern bluten.",l0070023,Mittagsglast,"Friedrich, Paul",1,8,"Neuland. Ein Buch jüngstdeutscher Lyrik. Im Auftrag der Gesellschaft für Literatur & Kunst Neues Leben, hrsg. von Paul Friedrich mit einem Vorwort von Julius Hart. Berlin 1911.",b'1911',"Friedrich, Paul"
6,"Komm, kühle Nacht und deck mich einDu mußt nun mein Geliebter sein.Mein Geliebter ging weit,Zwischen ihm und mir wächst Zeit,Zwischen uns beiden steht der GramUnd das Lächeln, mit dem ich Abschied nahm.Keiner vergißt dem andern die NotUnd heimlich wünscht einer, der andre wär tot.Ach käme der Tod,Der machte dich jungWie du lebst in geliebter Erinnerung!Ach käme der Tod,Der machte uns frei,Daß einer wieder des andern sei!— — — —Das Leben nur läßt uns allein.Komm, kühle Nacht, und deck mich ein.",l0070084,Komm kühle Nacht — ..,"Schwabe, Toni",2,9,"Neuland. Ein Buch jüngstdeutscher Lyrik. Im Auftrag der Gesellschaft für Literatur & Kunst Neues Leben, hrsg. von Paul Friedrich mit einem Vorwort von Julius Hart. Berlin 1911.",b'1911',"Friedrich, Paul"
7,"Wie Kupfer troff es längs den KiefernstämmenVon Sonnengold — smaragden spielt' es in den Buchen,Und Hieroglyphen malt' es in den Sand —Du faßtest schweigend meine heiße Hand,Du setztest an — zu sprechen wolltest du versuchen —Es spann uns gleich der Mittagszauber ein —Wie lange? — Keines sprach, soviel es auch gewollt —Doch unsre Augen leuchteten — vom Sonnengold.",l0070066,Schweigen im Walde,"Robertus, Gerda von",1,8,"Neuland. Ein Buch jüngstdeutscher Lyrik. Im Auftrag der Gesellschaft für Literatur & Kunst Neues Leben, hrsg. von Paul Friedrich mit einem Vorwort von Julius Hart. Berlin 1911.",b'1911',"Friedrich, Paul"
8,"Seit mich die heiße Inbrunst überkam,Ward mir ein dunkler Sturm das ganze Leben,Fühl ich mich innen wie verwandelt heben,Wächst mir aus jedem Rausche neue Scham.Nicht Höhn noch Tiefen kenn ich; was infamMir deuchte muß sich willig drein ergeben,Sich in der Dinge Teppich zu verweben,Weil mir das Licht der Werte Schleier nahm.Nun kreist in mir das Blut erlöster Wälder,Das Blut der Herden und der schwangren FrauenUnd aller tiefsten Fruchtbarkeit Gebot.Der Geist der Städte und der Duft der FelderWard mir zu wundervollem AllerschauenUnd heißer Schöpferwehen heiliger Not.",l0070034,Allrausch,"Friedrich, Paul",1,14,"Neuland. Ein Buch jüngstdeutscher Lyrik. Im Auftrag der Gesellschaft für Literatur & Kunst Neues Leben, hrsg. von Paul Friedrich mit einem Vorwort von Julius Hart. Berlin 1911.",b'1911',"Friedrich, Paul"
9,"Für andre ist die Heimat,Für mich ist nur das Herzeleid.Für mich ist Lust und Einsamkeit —Für andre ist die Heimat.Für andre ist ein Frauenschoß,Ist Bett und KindUnd Tür und Schloß,Für mich ist nur der Wind.Für andre ist das Glück.Mir ist die Luft von Rosen vollDer Weg von Tanzesschritten toll,Nie find ich mehr zurück.Für andre ist die Heimat,Für mich ist, was die Nacht erwarb,Und was im Morgendämmern starb.Für andre ist die Heimat.",l0070085,Für andre ist die Heimat,"Schwabe, Toni",4,4,"Neuland. Ein Buch jüngstdeutscher Lyrik. Im Auftrag der Gesellschaft für Literatur & Kunst Neues Leben, hrsg. von Paul Friedrich mit einem Vorwort von Julius Hart. Berlin 1911.",b'1911',"Friedrich, Paul"
