,text,ID,Titel,Autor,Strophen,Verse,Anthologie,Jahr,Hrsg
0,"Der Chinese sagt — und ich schwöre drauf,Sein Ausspruch gilt für uns nicht minder:""Nimm deine Gedanken wie Gäste auf,Doch deine Wünsche behandle wie Kinder.""Welch tiefes Wort! Wie reich an Sinn!Gedanken sind nur Gäste auf Erden,Sie bleiben des Geistes ew'ger Gewinn,Sie sollen mit Ehrfurcht empfangen werden.Drum ordne die Seele ihr irdisch Haus;Sie säubre sorglich vom Erdenstaube,Und schmücke die niedern Räume aus,Daß der Gedanke sich heimisch glaube.Sie zünd' ihm helles Herdfeuer anAls wohlgefällige Opferflamme,Daß er behaglich gedeihe dran,Wie wenn er aus diesen Sphären stamme.Sie diene ihm und gehorche ihm auch,Sie widme ihm Liebe und lass' ihn schalten,Denn der Gedanke ist Gottes Hauch,Er hat des Ewigen Wort zu verwalten.Und wenn die Wünsche wie Kinder schrei'n,Mit kindischen Bitten dazwischen lärmen,Dann soll die Seele Mutter sein,Sich um der Kinder Thränen nicht härmen;Versagen soll sie zur rechten Zeit,Soll widerstehn dem heißen Begebren,In Ordnung halten die Häuslichkeit,Dem hohen Gast, dem Gedanken zu Ehren.Es lernen die Kinder sich fügen dereinst,Sich unterwerfen in festen Schranken;Und geht es glücklich — eh' du es meinst,Erheben sie selbst sich wohl zu Gedanken.Da sinnt ein Greis mit grauem Haar . . .In seinen Augen steht zu lesen:Als ich ein thörichter Jüngling war,Sind meine Gedanken — auch Wünsche gewesen.",l0040249,Gäste und Kinder.,Carl v. Holtei.,9,4,Anthologie Deutscher Lyriker seit 1850,b'1865',"Kneschke, Emil"
1,"Stellt sich des Himmels WolkenschaarIn schöner Abendröthe dar,So nennt's der Krieger blut'ge Schlacht,Der Gärtner helle Rosenpracht,Der Kaufmann sammt'ne Purpurgluth,Der Schiffer lichte Meeresfluth,Der Thürmer wilden Flammenstreit,Der Priester Glanz der Ewigkeit!Kurz Jeder trägt das Bild hinein,Das steht in seines Herzens Schrein,Und glaubt und schwört zuletzt wohl gar,Daß seine Deutung recht und wahr!",l0040070,Verschiedene Deutung.,Adolf Bube.,1,12,Anthologie Deutscher Lyriker seit 1850,b'1865',"Kneschke, Emil"
2,"Was an Liebe Du erfahren,Trage tief in Deiner Brust,Wo es Keiner mag gewahren,Keinem außer Dir bewußt.Sieh den Berg im Felsenherzen,Wie er Alles wohl versteckt,Was sein Schacht an edlen ErzenUnd Gesteinen je bedeckt.Sieh die Perlen, wie GedankenSchlafen sie im Muschelhaus,Das sie innen ganz durchranken,Niemals tretend doch heraus.Und Dein eignes Herz, der RieseAn Gefühlen und an Gluth,Sieh, wie es im ParadieseDeiner Brust verborgen ruht.Also Deine Liebe wahreTief in Deines Busens Schrein,Das Geheimniß offenbareDer Geliebten nur allein.Denn nur Liebende beglückenKann die Liebe — Andre nicht;So wie Sterne nur entzücken,Die da sehen - Blinde nicht!",l0040101,Geheimniß.,Carl Dräxler⸗Manfred.,6,4,Anthologie Deutscher Lyriker seit 1850,b'1865',"Kneschke, Emil"
3,"Ferne blasse Blitze sprühenLeuchtend durch die schwüle Luft,Und der Blumen erstes BlühenHaucht im allerstärksten Duft;Nachtigallen in trunkener Lust,Fluthen im Springquell heben die Brust,Oestlich am Aether entdämmert ein Glühen.Dunkler wird's im Schattenreiche,Hoher Bäume Wipfelgold,Bergesklüfte, tiefe TeicheZittern lichter. Blond und holdNeigt sich herüber das Mondgesicht,Lieblich, ein schlafendes Sonnenlicht,Glänzend in ruhiger Bleiche.Und wie einst in Delphi's Hainen,Wie an Jsis' Tempelthor,Tönend noch in Baum und Steinen,Flüsternd noch in Laub und Rohr,Ringt die Natur nach lebendigem Wort,Möchte mit uns auch wieder, wie dort,Leben und reden und jauchzen und weinen.Ach, verstummt ist ihre Lippe,Fern am tauben Himmel zieh'nDie entseelten TbiergerippeLeerer Sternenbilder hin!Welch ein Geheimniß umschleiert den Pol?Was uns zu klagen, verworren und hohl,Murmelt der Sturm und die Fluth an der Klippe?Nicht mehr weckt aus FelsenschrankenNymphenchor und Elfentanz,Ueber Fluth und Epheuranken,Bleiches Licht, dein Mythenglanz;Wandle dahin in erloschener Pracht,Klagende Seele der einsamen Nacht,Deine Geschlechter versanken!",l0040311,Mondaufgang.,Hermann Lingg.,5,7,Anthologie Deutscher Lyriker seit 1850,b'1865',"Kneschke, Emil"
4,"O knüpfe los die langen, goldnen Flechten,Und laß sie lieblich flatternd niederhangen!Viel süßer ist's mit wild umlockten WangenDer Küsse holden Wettkampf auszufechten!Du zürnst? Wie magst du mit dem Freunde rechtenUm eine Schleife, weichend aufgegangen?Des Haares Schleifen sind nicht Gürtelspangen;Und läßt die Locke nicht sich wieder flechten?O sieh, wie schön du bist — wie reizend fliegenDie Locken jetzt um deine Lilienglieder,Um sich zuletzt in deinen Schooß zu schmiegen!Die Liebesgötter nah'n im Glanzgefieder,Auf diesen goldnen Seilen sich zu wiegen,Und klettern lustig spielend auf und nieder!",l0040195,Flatternde Locken.,Robert Hamerling.,4,3,Anthologie Deutscher Lyriker seit 1850,b'1865',"Kneschke, Emil"
5,"Zwar zürnst du mir, doch kehr' ich immer wiederMit reuigem Gemüth zu deinen Füßen,Die Schuld, die du so hart bestrafst, zu büßen . . .Nur Einen Strahl der Güte sende nieder!Die Lerche regt ihr thaubenetzt Gefieder,Den Morgen mit Gesängen zu begrüßen,Und ich — noch immer sing' ich von der Süßen,Von Liebe sing' ich die gewohnten Lieder.Verwehre nicht die kleinen Huldigungen,Nicht diesen letzten Trost dem Sehnsuchtkranken!Dir fern zu leben hast du mich gezwungen,Doch schlugst du nicht in Fesseln die Gedanken,Die mit allmächt'gem Drang in ewig jungenBlühenden Zweigen um dein Bild sich ranken.",l0040259,JJJ.,Eduard Kauffer.,4,3,Anthologie Deutscher Lyriker seit 1850,b'1865',"Kneschke, Emil"
6,"Wo ich zum ersten Mal dich sah,Wie üppig grünt die Wiese da!Wo ich zum ersten Mal dich sprach,Da blüh'n die Veilchen unter'm Hag;Wo ich dich küßt' in dunkler Nacht,Da lodert nun der Rose Pracht;Doch wo ich Abschied nahm in Leid,.ee⸗Von unsrer Liebe Lust und Qual.",l0040414,Blühendes Thal.,Julius Rodenberg.,1,9,Anthologie Deutscher Lyriker seit 1850,b'1865',"Kneschke, Emil"
7,"Es sprachen zu mir der Gram und Schmerz:Wir wollen bei dir bleiben;Du hast uns eben das rechte Herz,Das uns nicht wird vertreiben.Du holst vom Weltmarkt uns zum DankTagtäglich unsre Nahrung,Und willig credenzest du uns den TrankVom Wermuth deiner Erfahrung.Kommt auch die Freud' einmal zu dir,Was ganz nicht zu vermeiden,Sie hat nicht Muße, das QuartierZu theilen mit uns beiden.Geh aus dem Haus, wir gehen mit,Wohin du willst, ins Weite;Wir halten mit dir gesellig SchrittAn deines Herzens Seite.Auf deinem Lager in der NachtWir schlummern leise, leise;Du rührst dich kaum, wir sind erwachtUnd summen dir unsre Weise.Wir halten an dir bei Ja und NeinIn Treuen, du Getreuer,Und wärmen uns jahraus, jahreinAn deines Herdes Feuer.Sultan Frühling ist wieder erschienen,Laß uns ihn feiern, den Herrn der Welt;Ueber die Fluren spannt er als ZeltLauben von Rosen und von Jasminen.Plaudre, Geliebte, erzähl' und kose,Sage dem Hain, was dich lieblich bewegt;Siehe, so oft sich dein Mündchen regt,Bricht aus der Knospe die schönste Rose.Die feuerträcht'gen Knospen findEntbunden von Funken, von losen,Da hat der SonnenaufgangswindEntzündet die Fackeln der Rosen.In allen Adern des Frühlings schwilltDas Blut, das neuerglühte;Aus jedem Tropfen, der überquillt,Wird eine duftige Blüthe.Nun schmachtet unter des FeuerfürstenGluthregiment die Welt;Die Menschheit ist ein großes Dürsten,Der Himmel ein brennend Zelt.Wär' von des Schenken dunklen HaarenBeschattet nicht der Pocal,Schon wäre der Wein herausgefahrenAls feuriger Blitzesstrahl.",l0040208,JV.,Julius Hammer.,10,4,Anthologie Deutscher Lyriker seit 1850,b'1865',"Kneschke, Emil"
8,"Der strenge Vater lehrt den Sohn:""Verfolge doch die farb'gen Ränder,Die fernsten Reiche kennst Du schonUnd blickst verwirrt auf deutsche Länder!""Der Knabe starrt die Karte an,Er sieht die Lehrerstirn in FaltenUnd stammelt weinerlich: ,,Ich kannDie bunte Wirthschaft nicht behalten.""Der Vater schaut sich lächelnd um:""Du zirpend Heimchen auf dem Herde,So bitte Deinen Schöpfer drum,Daß es den Enkeln leichter werde.Betrachte oft, betrachte stillDie vielen Farben und Gestalten,Und sprich, wirst Du ein Mann: ""Ich willDie bunte Wirthschaft nicht behalten.""",l0040119,Geographischer Unterricht.,Emil Edel.,1,16,Anthologie Deutscher Lyriker seit 1850,b'1865',"Kneschke, Emil"
9,"Das Leben ist ein bunter Zug,Du mußt dich seiner Ordnung fügen;Es ist ein Spiel, das spiele klugUnd hüte dich vor falschen Zügen.Dem Kinde lacht des Glücks Besuch,Sein spielend Leben ist Vergnügen,Wo fände Raum der Sorgen Fluch,In ungefurchten, glatten Zügen!Den Knaben lockt's hinaus zum Flug:Daß Schwingen ihn ins Weite trügen!Das Leben ist in vollem Zug,Es schweift der Geist auf kecken Zügen.Der Jüngling hat nicht Raum genug,Der Zeiten Mängel will er rügen,Er trinkt aus schaumbekränztem KrugDes Lebens Wein in raschen Zügen.Dem Mann, fern allem Winkelzug,Kann nur das höchste Ziel genügen:So schreibt er in der Zeiten BuchSein Leben ein mit großen Zügen.Der Greis scheut ängstlich allen Zug,Er möchte gern sich selbst betrügen,Das Leben flieht, es flieht der Trug:Da liegt er in den letzten Zügen!",l0040575,Lebenszüge.,Gisbert Freiherr von Vincke.,6,4,Anthologie Deutscher Lyriker seit 1850,b'1865',"Kneschke, Emil"
