,text,ID,Titel,Autor,Strophen,Verse,Anthologie,Jahr,Hrsg
0,"Ein Schmetterling, vom Frost betäubt,Hängt an dem welken Blatt,Hebt seine Flügel halb entstäubt,Sie sind zum Flug zu matt.flattert nur, er flieget nicht,Von Stern zu Sternchen fort,Und ahnet selbst nicht, daß er spricht;Doch hör' ich dieses Wort:weh, ich kam zur späten Braut,Ein später Bräutigam,Vom Himmel reift, was einst gethaut,Und alle Lust ward Gram.Die Sonne scheint, doch ohne Kraft,Und leblos haucht die Luft.Der Blume Kelch ist ohne Saft,Ihr Stengel ohne Duft.Die Schwalb' ist weggezogen, dieAn unsern Schwingen nascht;Und selbst der Knab' ist nicht mehr hie.Der meine Brüder hascht.Der Spinne Fäden schweben noch.Allein das Netz ist leer;Gefahrlos ist das Leben, dochEs ist kein Leben mehr.",l0030190,Ein Schmetterling.,Friedrich Rückert.,6,4,Dichtergrüsse. Neuere deutsche Lyrik,b'1861',"Polko, Elise"
1,"Streb' in Gott dein Sein zu schlichten,Werde ganz, so wirst du stark;All dein Handeln. Denken, DichtenQuell' aus Einem Lebensmark.Niemals magst du reinsten MuthesSchönes bilden, Gutes thun,Wenn dir Schönes nicht und GutesAuf demselben Grunde ruhn.",l0030038,Streb' in Gott.,Emanuel Geibel.,1,8,Dichtergrüsse. Neuere deutsche Lyrik,b'1861',"Polko, Elise"
2,"Siehst du den Schlaf auf einem Augenlide,O, stör' ihn nicht, denn heilig ist der Friede,Mit dem er eine Menschenbrust begnadet,O, stör' ihn nicht, wenn deinen Feind er auchUmweht mit seinem sanften Balsamhauch,In des Vergessens Wunderquell ihn badet!Achtsamen Herzens hemme deine Schritte!Verscheuch' mich nicht! Mit dieser frommen BitteSpricht jeder Athemzug des Schlafs dich an;Leis auf den Zehen schleich' an ihm vorüber,Und wünsch' ihm, daß kein Traum, kein banger, trüber,Sich neidisch möge seinem Frieden nah'n.Bei jedem Schlafe hält ein Engel Wacht,Der legt den Finger auf die Lippen sachtUnd winket schweigend dir: Sei stille! zu;Auch selbst bei dem entschlaf'nen MissethäterWacht er, ein ernst versöhnungsvoller Beter,Um Frieden für die Seele ohne Ruh'.Ja, heilig ist der Schlaf, wie die Natur,Wie das geheime Wachsthum auf der Flur,Das leise webt im Blatt und in der Blüthe;So ist auch er ein stillgeheimes Weben,Und keine Waff' ist ihm zum Schutz gegeben,Hegst du vor ihm nicht Ehrfurcht im Gemüthe!",l0030102,Heilig ist der Schlaf.,Julius Hammer.,4,6,Dichtergrüsse. Neuere deutsche Lyrik,b'1861',"Polko, Elise"
3,"(, Worte gibt's, die mie verhallen!Sie sind wie Steinchen, die gefallenIn einen Brunnen schwarz und tief,Und die von Kant' zu Kante springenUnd stets von Neuem aufwärts klingen,Wenn scheinbar längst ihr Ton entschlief.Es sind die Worte, die sich senkenIn unsers Herzens tiefen Schacht:Aus der Vergessenheiten NachtKlingt ewig neu ihr Angedenken.Ich kehrte heim nach langen Jahren;Des Lebens Wucht hatt' ich erfahren,Gekostet auch des Lebens Freude:Mit meiner Jugend zahlt' ich beide.Die Mutter hielt mich lang' umfangen,Und als die erste Lust gestillt,Sprach sie mit Tönen, traurig⸗mild:O Gott, wie blaß sind deine Wangen!Gott, wie blaß sind deine Wangen!Es glückt mir nicht, aus meinem HerzenDie Mutterworte auszumerzen,Ob Jahre d'rüber hingegangen.Ob nun in Freude, ob in LeideDer Wangen Frühling von mir scheide:Die Worte sind mein treu Geleite.Ich höre stets an meiner SeiteIn Tönen, traurigen und bangen:O Gott, wie blaß sind deine Wangen!Und sitz' ich Nachts allein und schaueMit falt'ger Stirne, düstrer BraueTief zu des Bechers goldnem Grunde,Ist mir, als ob aus treuem MundeHeraus die Klageworte klangen:O Gott, wie blaß sind deine Wangen!Fürwahr, ich glaube, wenn ich liegeEinst auf der schwarzen Todtenwiege,Wo mich kein Menschenlaut mag stören —Ich werde noch die stillen, bangenUnd vorwurfsvollen Worte hören:O Gott! wie blaß sind deine Wangen!",l0030396,Gewisse Worte.,Moritz Hartmann.,7,6,Dichtergrüsse. Neuere deutsche Lyrik,b'1861',"Polko, Elise"
4,"Drei Zigeuner fand ich einmalLiegen an einer Weide,Als mein Fuhrwerk mit müder QualSchlich durch sandige Haide.Hielt der Eine für sich alleinIn den Händen die Fiedel,Spielte, umglüht vom Abendschein,Sich ein feuriges Liedel.Hielt der Zweite die Pfeif' im Mund,Blickte nach seinem Rauche.Froh, als ob er vom ErdenrundNichts zum Glücke mehr brauche.Und der Dritte behaglich schlief,Und sein Cymbal am Baume hing.Ueber die Saiten der Windhauch lief,Ueber sein Herz ein Traum ging.An den Kleidern trugen die DreiLöcher und bunte Flicken,Aber sie boten trotzig freiSpott den Erdengeschicken.Dreifach haben sie mir gezeigt.Wenn das Leben uns nachtet,Wie man's verraucht, verschläft, vergeigt,Und dreimal es verachtet.Nach den Zigeunern lang noch schau'nMußt' ich im Weiterfahren,Nach den Gesichtern, dunkelbraun,Den schwarzlockigen Haaren.",l0030430,Die drei Zigeuner.,Nicolaus Lenau.,7,4,Dichtergrüsse. Neuere deutsche Lyrik,b'1861',"Polko, Elise"
5,"Sie stand in tiefen TräumenUnd sah die Myrthe an:„Nicht lange wirst du säumen,Geliebter, ferner Mann,Dann schlingst du durch die LockenEin solches Kränzlein mir,Und führst beim Klang der GlockenMich fort, von hier zu dir.Dann lebet wohl, ihr TräumeDer Kindheit, unschuldvoll;Des Vaterhauses Räume,Auf ewig lebet wohl!Die alten Stimmen schweigen,Doch ob man sie vergißt.Wenn man so ganz zu eigenDem Fernen, Fremden ist?“Sie sprach's, das Köpfchen neigend,Zur Myrthe, grünbelaubt,Die aber wiegte schweigendAuf ihre Frag' das Haupt;Ein Schütteln oder Nicken,Wer sagt ihr, was es war?Doch in des Mädchens BlickenStand eine Thräne klar.",l0030266,Die Braut an der Myrthe.,Franz Dingelstedt.,3,8,Dichtergrüsse. Neuere deutsche Lyrik,b'1861',"Polko, Elise"
6,"So komm, mein einsam Waldeshaus,Will wieder ganz dein eigen sein!Es söhnte Gott mich mit dir aus,Er bleibt bei dir, bin nicht allein.Will wieder an die Arbeit gehn.Mit freud'gem Sinn und frommem Muth.Dort droben gibt's ein Wiedersehn,Und hier steh' ich in Gottes Hut.",l0030351,"Amaranth's Lieder. So komm, mein einsam Waldeshaus.",Oscar Frhr. v. Redwitz.,2,4,Dichtergrüsse. Neuere deutsche Lyrik,b'1861',"Polko, Elise"
7,"„Fremdling, laß deine Stute grasen.O, zieh nicht weiter diese Nacht!Dies ist die grünste der Oasen,Im gelben Sandmeer glänzt ihr Rasen,Gleichwie inmitten von TopasenEin grüner funkelnder Smaragd!“Er sprach: „Gern will ich mich entgürten!“Und nahm dem Pferde das Gebiß.Er setzte sich zu seinen Wirthen;Des Wüstengeiers Flügel schwirrtenAn ihm vorüber nach den Syrten,Zu ruhn in der Pentapolis.Die Lieder und die Cymbeln klangen.Die Mappe lag auf seinen Knie'n.Die Rosse mit den blanken Stangen,Die finstern Reiter mit den langenGewanden und den bärt'gen Wangen,Die Zelte — fremd ergriff es ihn.Mit farb'gen Stiften schuf er glühendEin Bildniß dieser Wüstenrast.Die Dromedare lagen knieendAm Quell; des Wirthes Töchter, blühendUnd schlank, bald nahend und bald fliehend,Umtanzten singend ihren Gast:„Fremdling, laß deine Stute grasen!O, zieh' nicht weiter diese Nacht!Dies ist die grünste der Oasen;Im gelben Sandmeer glänzt ihr Rasen.Gleichwie inmitten von TopasenEin grüner funkelnder Smaragd!“",l0030517,Ammonium.,Ferdinand Freiligrath.,5,6,Dichtergrüsse. Neuere deutsche Lyrik,b'1861',"Polko, Elise"
8,"„O süße Mutter,Ich kann nicht spinnen,Ich kann nicht sitzenIm Stübchen innen,Im engen Haus;Es stockt das Rädchen,Es reißt das Fädchen,O süße Mutter,Ich muß hinaus.Der Frühling gucketHell durch die Scheiben,Wer kann nun sitzen,Wer kann nun bleibenUnd fleißig sein?O laß mich gehenUnd laß mich sehen,Ob ich kann fliegenWie Vögelein.O laß mich sehen,O laß mich lauschen,Wo Lüftlein wehen.Wo Bächlein rauschen,Wo Blümlein blühn.Laß sie mich pflückenUnd schön mir schmuckenDie braunen LockenMit buntem GrünUnd kommen KnabenIn wilden Haufen,So will ich traben,So will ich laufen,Nicht stille stehn,Will hinter HeckenMich hier verstecken,Bis sie mit LärmenVorüber gehn.Bringt aber BlumenEin frommer Knabe,Die ich zum KranzeJust nöthig habe:Was soll ich thun?Darf ich wohl nickend,Ihm freundlich blickend,O süße Mutter,Zur Seit' ihm ruhn?“",l0030127,O süße Mutter!,Friedrich Rückert.,5,9,Dichtergrüsse. Neuere deutsche Lyrik,b'1861',"Polko, Elise"
9,"Abends, wenn die Kinder meinMit der Mutter beten,Pfleg' ich an ihr KämmerleinStill heranzutreten.Leise lausch' ich an der ThürIhrem Wort von ferne;Ob sich's gleiche für und für,Hör' ich doch es gerne.Und wenn Alles nachgelalltMägdelein und Bube,Wenn das Amen leicht verhallt,Tret' ich ein zur Stube.Wenn sie dann so lieb und warmGute Nacht mir nicken,Mit dem weichen KindesarmMich zum Kuß umstricken —O, dann muß im KämmerleinWohl mein Herz sich regen:Linde strömt es auf mich einWie ein Abendsegen!",l0030395,"Abends, wenn die Kinder mein —",Adolph Schults.,5,4,Dichtergrüsse. Neuere deutsche Lyrik,b'1861',"Polko, Elise"
10,"Wenn ich den kleinen Keim betrachte,Aus dem einst frisch die Pflanze dringt,Aus dem, wenn Lebensgluth erwachte,Die bunte Blume sich entschwingt,Aus dem ein Heilkraut sich entfaltet,Aus dem ein Fruchtbaum sich erhebt,Aus dem die Eiche sich gestaltet,Die riesig gegen Himmel strebt:Dann tief im innersten GemütheBestaun' ich still die hohe Kraft,Die Frucht erweckt aus Keim und Blüthe,Im Kleinsten wirkt und Größtes schafft;Und allen Keimen wünsch' ich Segen,Und guten Grund in Feld und Au',Und Sonnenschein und milden Regen,Und warme Nächt' und kühlen Thau.Doch wenn ein holdes Kind ich sehe,Gewiegt von treuer Mutterhand,Halb ist's noch in des Himmels Nähe,Noch Gast und Fremdling unserm Land,Ein tief Geheimniß dieser Erden,Das erst die Zukunft einst erklärt,Ein Räthsel, eine Welt im Werden,Die im Gestaltungskampfe gährt —Wenn ich es seh', ein solches Wesen,Da faßt ein Sturm mich von Gefühl,In seinen Zügen möcht' ich's lesen,Was einst sein Loos im Weltgewühl;Wird's glücklich sein, wird's Glück gewähren?Das Aug', das jetzt so selig lacht,Wird's nicht, erfüllt von bittern Zähren,Durchwachen manche lange Nacht?Das Kind, wenn Mann einst, wird es wirkenFür's Heil der Menschheit ernst und kühn,Wird's wenn es Weib, in den BezirkenDes engern Hauses freudig blühn?Wird's nicht vielleicht die Welt erschüttern,Vielleicht vergessen untergehn?Wird man es lieben, vor ihm zittern,Wird auch ein Herz sein Herz verstehn?Weisheit, die du KnospenkeimeBewahrst vor Frost und vor Gewürm.Noch mehr als Pflanzen, Blumen, Bäume,Bedarf das Kindlein deinen Schirm.Ist es bedroht von Unglücksblitzen,Dann nimm es lieber wieder heim;Doch winkt ihm Heil, so woll' ihn schützen.Den kleinen großen Menschenkeim!",l0030536,Keim und Kind.,K. E. Ebert.,6,8,Dichtergrüsse. Neuere deutsche Lyrik,b'1861',"Polko, Elise"
