,text,ID,Titel,Autor,Strophen,Verse,Anthologie,Jahr,Hrsg
0,"Schied auch die Muschel lange schonVom Meer, das ihre Heimath war —In ihrer Tiefe rauscht ein TonWie Meeresheimath immerdar.Und kann auch nie ein Herz zurückZum Herzen, dran es selig lag —Es singt von dem verlornen GlückNoch bis zu seinem letzten Schlag.",l0050254,Heimweh.,Georg Scherer.,2,4,Blüthenzweige deutscher Lyrik nach Goethe,b'1875',"Willatzen, Peter Johann"
1,"Düfte wogen auf und nieder,In den Lüften süßer Schall;Stille Blumen, laute Lieder,Engel Gottes überall.Und schon ward mein Herz zur BlumeUnd der Blume Duft zum Lied,Das im klaren HeiligthumeAufwärts mit den Engeln zieht.",l0050177,Im Mai.,Julius Sturm.,2,4,Blüthenzweige deutscher Lyrik nach Goethe,b'1875',"Willatzen, Peter Johann"
2,"Milde Zephyrwinde,Reiche Blumenzier,Nehmt der Schwermuth BindeVon den Augen mir!Laßt die grünen AuenIn dem LenzeskleidWiederum mich schauenWie in alter Zeit!Sind der Blumen FarbenNicht so üppig mehr?Neigen sich die GarbenWieder segenschwer?Sind des Waldes SängerAller Töne bar,Jubeln sie nicht längerWie vor Tag und Jahr?Wölben nicht die LaubenSich zum Siegesthor?Blinken nicht die TraubenAus dem Grün hervor?Hüpfen nicht die QuellenUeber Kies und Sand?Wandern nicht die WellenWohlgemuth durchs Land?Du nur, du bist älterIn dem Lauf der Zeit,Und dein Aug' schaut kälterAuf die Herrlichkeit.Du nur siehst mit andernBlicken in die Welt,Die beim steten WandernJugendfrisch sich hält.",l0050242,Wandel und Dauer.,Heinrich Zeise.,4,8,Blüthenzweige deutscher Lyrik nach Goethe,b'1875',"Willatzen, Peter Johann"
3,"Auf einem Eiland möcht' ich wohnenIm fernsten, stillsten Ocean,Auf einer Insel milder Zonen,Fern von Europas Noth und Wahn.Die ersten Bäume wollt' ich ziehen,Der Reben und der Aehren Saat,Und mit den ersten ColonienBegründen einen freien Staat.O nichts mehr von den LorberzweigenItaliens und Griechenlands,Die über Trümmer nur sich neigen,Nur Grüften weihen ihren Kranz.O nichts mehr von den AschenschichtenGeborstner Reiche, Streit auf Streit!Wir haben schon zu viel Geschichten,Zu viel, zu viel Vergangenheit.Dort aber an den holden KüstenBlickt lächelnd in den LichtazurDie Zeit, ein Kind noch an den BrüstenDer unentweihten Gottnatur.",l0050216,Lieder. Auf einem Eiland möcht' ich wohnen.,Hermann Lingg.,5,4,Blüthenzweige deutscher Lyrik nach Goethe,b'1875',"Willatzen, Peter Johann"
4,"Heute, nur heuteBin ich so schön;Morgen, ach morgenMuß Alles vergehn!Nur diese StundeBist du noch mein;Sterben, ach sterbenMuß ich allein.",l0050197,Lied des Harfenmädchens.,Theodor Storm.,2,4,Blüthenzweige deutscher Lyrik nach Goethe,b'1875',"Willatzen, Peter Johann"
5,"Nein! in des LebensWirren und KämpfenZiemt es, den Zorn nichtImmer zu dämpfen!Darfst nicht inmittenTollem GewühlStehn wie ein Eisberg,Allezeit kühl.Nein! wo das UnrechtThronet und schaltet,Wo die VerkehrtheitWohnet und waltet:Sollst du entbrennenWie ein Vulkan,Feuer und FlammenSchleudern hinan.Beuget die ObmachtHeilige Rechte,Will sie die FreienMeistern wie Knechte:Auf! laß entlodernFlammendes Wort!Rache zu fodernDonner' es fort!Siehst du die FeigheitKüssen die Ruthe,Die ihr den NackenGeißelt zu Blute:Auf! den VerkehrtenStachle dein Zorn,Sei dem EntehrtenWeckender Sporn!Weinet die Unschuld,Trauert die Reinheit,Tückisch gelästertVon der Gemeinheit;Auf! und empöre,Herz, deinen Muth,Tilge der SchlangeGiftige Brut.Siehst du den HalbwitzHöhnisch sich rotten,Frevelnd des Hohen,Heiligen spotten:Röthe dein AntlitzFlammendes Blut,Sprühe dein AugeZürnende Gluth!Ja, wo das UnrechtThronet und schaltet,Wo die VerkehrtheitWohnet und waltet:Sollst du entbrennenWie ein Vulkan,Feuer und FlammenSchleudern hinan.Doch zu vernichtenWehre dem Zorne,Daß er der LiebeDiene zum Borne,Daß er befruchteGleich dem Vesuv,Der aus der LavaReben erschuf.Lacrymä ChristiZeugt er am Fuße:Himmlische Thränen,Thränen der BußeLock' aus den Herzen,Die du geschreckt,Die deine ZorngluthSegnend bedeckt.",l0050117,Heiliger Zorn.,Adolf Stöber.,9,8,Blüthenzweige deutscher Lyrik nach Goethe,b'1875',"Willatzen, Peter Johann"
6,"Wallen die Wogen auf und ab,Keine doch geht verloren;Sank der Vater mir in das Grab,Ward mir ein Sohn geboren.Wallen die Wogen auf und ab,Nimmer und nimmer sie stocken:Wächst das Moos auf des Vaters Grab,Wachsen dem Knaben die Locken.",l0050224,Wallen die Wogen.,Adolph Schults.,2,4,Blüthenzweige deutscher Lyrik nach Goethe,b'1875',"Willatzen, Peter Johann"
7,"„Des Lebens Mai blüht einmal und nicht wieder,“So sprachst auch du in thränenreicher Stunde,Doch heilt von selbst des Hirsches tiefe Wunde,Nach langer Dürre träuft der Regen nieder.In jedem Lenz erschallen neue Lieder,Es lauschen froh der wonnevollen KundeDie Felder und die Wälder in der Runde,Die Veilchen sprießen, köstlich prangt der Flieder.Und wenn in der Natur ein ewig Streben,Zu überwinden Noth und Tod und Schmerzen,Wähnst du, daß es mit dir ein andres sei?O nimmermehr! Ein tausendfältig LebenRegt glühend sich in deinem edlen Herzen,Und jede Liebe ist „des Lebens Mai.“",l0050288,Des Lebens Mai.,Friedrich Spielhagen.,4,3,Blüthenzweige deutscher Lyrik nach Goethe,b'1875',"Willatzen, Peter Johann"
8,"O fühl's an meines Herzens Schlage,Wenn du mich schweigend an dich drückst,Wie du mit jedem neuen Tage,Geliebte, höher mich beglückst.Ach, seit in holdem SelbstvergessenDer Lippe Zagheit dir zerrann,Nun lern' ich selig erst ermessen,Welch Kleinod ich an dir gewann.In deines Herzens lauterm GrundeErschließt sich mir die reichste Welt;Hinunter lausch' ich Stund' um StundeWie in ein wehend Lilienfeld.Du willst nur lieben, glauben, ahnen;Und doch, mit diesem stillen SinnAuf des Gedankens kühnsten BahnenWie fest und sicher wallst du hin?Oft staun' ich, wie dein klar GemütheDer Dinge tiefste Tiefen mißt —Und bliebst doch ganz ein Kind voll Güte,Und ahnst es nie, wie reich du bist.",l0050156,Lieder. O fühl's an meines Herzens Schlage.,Emanuel Geibel.,5,4,Blüthenzweige deutscher Lyrik nach Goethe,b'1875',"Willatzen, Peter Johann"
9,"Daß ich dein auf ewig bliebe,Tiefes, felsumschloss'nes Thal,Traurig-schön wie unsrer LiebeTiefe hoffnungsvolle Qual!Tannen schauern an den Wänden,In der Schlucht der Bergstrom tos't,Winkt als wie mit weißen Händen:Komm, o komm und trinke Trost!Und ich schleiche um die Föhren,Horche auf der Wasser Gang,Glaube immer noch zu hörenDeinen schmerzlichen Gesang.Jenes Lied voll Qual und Beben,Das die Seele mir umspann,Von dem Herzen, das nicht leben,Ach, und doch nicht sterben kann!Rausche fort, du wild Gewässer,Ueberschrei' des Herzens Noth —Nie geboren wäre besser,Aber gut auch wär' der Tod!",l0050249,Einsamkeit.,Alfred Meißner.,5,4,Blüthenzweige deutscher Lyrik nach Goethe,b'1875',"Willatzen, Peter Johann"
