,Titel,Autor,Strophen,Verse,Anthologie,Jahr,Hrsg,ID,text
0,Des Jahrhunderts verlorene Kinder,"Arent, Wilhelm [alt. Arendt, Wilhelm]",3,4,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180004,eine freudlos erlösungheischend geschlecht   des jahrhundert verloren kind   so taumeln wir hin   weß schmerz sein echt   weß lust sein keine rausch   wer keine sünder       selbstsucht treiben alle   wild gier nach gold   unersättlich sinnengelüste   keine einzige sein mutter erde hold   ring grauen nur unendlich wüste   chaotisch brandung wirr wir umtosen   verzehren von dämonisch gluthen   von keine strahl ewig licht umkost   müssen wir elend verbluten     
1,Weihestunde,"Arent, Wilhelm [alt. Arendt, Wilhelm]",1,46,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180005,o weihestunde   o köstlich stunde   sanft küssen die nacht   die vielholde trösterin   die tagmüde erde   und mählich verhallen in+die ewig schweigen die stimme die leben     immer licht umwebt die erstorben aue   des mond fluthender silberschleier   mild grüßen hernieder die ewig stern   lautlos wogen die wortlos zauber unendlich ruhe   nur manchmal flüstern es und raunen es in+die üppig laube   wie in geisterumarmung erschauern jählings die baum und strauch   als wollen sie künden die ewig räthsel   die da walten von urbeginn in höhe und tiefe     wie erlösung umspinnen die qualdüst'ren sinn süße märchenvergessen   eingewiegt von die sphäre leisrauschenden hymne   umspielen von+die traumodem die wonnesam schlummernd allmutter natur trinken ' auch ich unaussprechlich inbrunst voll gottselig frieden   glück ohne ende     in die mainacht duftthau   in+die ewig hauch ersterbe die leib fiebernde puls   mit stern und welt wall ' ich entgegen die dämmernd morgen   
2,Fragment1,"Arent, Wilhelm [alt. Arendt, Wilhelm]",1,20,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180006,trinken ' trunken die blume süßberauschende duft   brechen kühn die blüthen keuschknospende fülle   schnaufen ' eine die äther befreiende dufthauch   tauchen ' tief in die sonne goldige fluthen     bad die krank seele gesund   sinken ' in die göttlich schooß die mutter   liebreich umarmen du allmutter natur   sie allein hören du   klagen mit die sturm um die wette dein lied   und spenden balsam   lindernd balsam die krank sohn     
3,Im wallenden Äther,"Arent, Wilhelm [alt. Arendt, Wilhelm]",1,36,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180007,umfließen ich duftwogen des wallend äther   gießen göttlich odem die anhauch und leben in es inner mark ich   durchschau'rt jede nerv mit sonntrunkener andacht   lassen hinab ich tauchen in himmlisch lichtsphär '   umarmen ich brünstig du selig schweigen unendlich liebe       hinstirbt die sehnsucht   die ewig sehnsucht die erdkranken seele   sprengen sein die bande die sterblich hülle   ertödtet die wild dämon die fleisch   dann werd ' ich du schauen   ganz schauen und fühlen   erlöser und allgott   mit sonne und stern in+die schooße du liegen und träumen   was du träumen   dann stillst du die brennend schmerz die müde   dann stillst du die durst   die unersättlich durst nach ewig tröstung   dann laben ich dein auge   dein lichtspendend auge   du urquell die gnade   dann zerfließ ' ich in+die weihkuß dein seelenumarmung   du allmächtig selbstkraft   
4,Abenddämmern,"Arent, Wilhelm [alt. Arendt, Wilhelm]",1,14,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180008,abenddämmern trüb und fahl   tiefe stille weben in+die thal   schleier rings die berg kränzt   selten nur eine stern erglänzen   welle zieh'n und wind|winde rauschen   träumend neig ' ich ich   zu lauschen und ich dünken   dass höh'n und tiefe und die wald all ' ich rufen   unbegreiflich heimathsehnen   strömen hervor ich heiß thränen   seele möcht ' die leib ' verlassen   mögen gern eine ewige fassen   die in süß friedgewähren sie entrücken in hold sphäre     
5,Süße Gottestrunkenheit,"Arent, Wilhelm [alt. Arendt, Wilhelm]",1,16,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180009,vorüber sein die grau die nacht   brechen sein die sturm macht   wie wehen die morgenluft so lau   wie glitzern licht die grün au   eine jede bach   eine jede rain locken weiter in die welt hinein   ich betten ich in es weich moos   ich träumen in die wald schooß   rings duften die wachholderdorn   vor mein auge wogen die korn   die lerche jubilirt in+die blau   nur sonnig glück   wohin ich schauen '   in süß gottestrunkenheit dehnen sich die seele frei und weit   sie mögen untertauchen ganz in alle ' die duft   in alle ' die glanz   
6,Verrauscht,"Arent, Wilhelm [alt. Arendt, Wilhelm]",2,6,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180010,sturmwolke ich zu häupten zieh'n   verwehen die vogel melodie nach süden zauberlande   nur einige blume einsam blüh'n   in+die sonnenstrahl sie nicht erglüh'n   nun welken sie in+die sand   wirr brauen die nebel auf die fluss   verrauschen sein längst die liebe kuss   wie schwinden die lenz so balde   rauh breiten nun sein leichentuch die winter   und eine düst'rer fluch legen sich auf flur und halde   
7,Thaufrischer Mai,"Arent, Wilhelm [alt. Arendt, Wilhelm]",2,6,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180011,aus die gasse wüst lärmgedränge   aus die großstadt staubig dumpfer enge wall ' ich wonnigfroh zu du   natur   tausend traum trunken ich umweben   über ich die lerche jubelnd schweben   jauchzend wandeln ich die sonne spur   und eine meer von süß melodie fühlen ' ich wogend ich in+die busen glühen   mein seele athmet seligfrei   plötzlich sterben die sinn gluthverlangen   gott ewig hauch haben ich umfangen   frieden spendest du   thaufrischer mai   
8,Das Ziel,"Arent, Wilhelm [alt. Arendt, Wilhelm]",1,10,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180012,schon als ich noch eine knabe sein   ziehen es ich hin zu ander die stern   tiefheißes sehne|sehnen fassen ich   doch bleiben ich die erfüllung fern   ich fieberte alle ' mein tag '   oft stürmen ' ich in die feld hinaus     die brünstig leib verkühlte sich in regenschaum und sturmgebraus   die seele schrei   ich hören er in tausendstimmig melodie   ich sehen auf dunkel fittichen die todten leidgenossen zieh'n   die ewig dämmerung zerstieben   die nebel theilten sich zu hauf '   lichtfremde welt thaten sich vor mein geisteraugen auf   nicht lust noch schmerz bergen mehr die brust   zu ende sein kämpfen die schlacht   die all sein ich   ich sein die all   so werd ich friede in die nacht   
9,Zum Ort des Todes...,"Arent, Wilhelm [alt. Arendt, Wilhelm]",1,14,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180013,zu+die ort die tod lenken ' ich oft die gang   dort wandl ' ich still die grab reih'n entlang   zuweilen lesen ' ich   was auf schlicht stein die treu liebe schreiben so rührend ein   die großstadt lärm nur traumhaft tönen an die ohr   ich dünken   in selig au'n ich ich verlieren   die seele sterben   es sterben die ewig schmerz   tiefsinnige traum zeihen|ziehen himmelwärts   ich sein die falter   die zu+die kelch streben   ich sein die stäubchen   die in+die licht weben   ich leben und sein todt vieltausend jahr   ich wissen   dass ich einst sein und doch nicht sein   so dämmern ' ich schrankenlos in zeit und raum   wie sich eine welk blatt loslösen von+die baum   
