,Source,Target,Weight,Type
1,epik_lemma_achleitner,epik_lemma_arnim,2,undirected
2,epik_lemma_achleitner,epik_lemma_goethe,3,undirected
3,epik_lemma_achleitner,epik_lemma_heiberg,3,undirected
4,epik_lemma_achleitner,epik_lemma_hoffmann,2,undirected
5,epik_lemma_achleitner,epik_lemma_may,3,undirected
6,epik_lemma_achleitner,epik_lemma_wassermann,1,undirected
7,epik_lemma_arnim,epik_lemma_achleitner,2,undirected
8,epik_lemma_arnim,epik_lemma_bonsels,3,undirected
9,epik_lemma_arnim,epik_lemma_falke,2,undirected
10,epik_lemma_arnim,epik_lemma_fischer,2,undirected
11,epik_lemma_arnim,epik_lemma_gerstacker,1,undirected
12,epik_lemma_arnim,epik_lemma_heiberg,4,undirected
13,epik_lemma_arnim,epik_lemma_hoffmann,1,undirected
14,epik_lemma_arnim,epik_lemma_kafka,3,undirected
15,epik_lemma_arnim,epik_lemma_keller,4,undirected
16,epik_lemma_arnim,epik_lemma_lewald,2,undirected
17,epik_lemma_arnim,epik_lemma_may,1,undirected
18,epik_lemma_arnim,epik_lemma_meyer,2,undirected
19,epik_lemma_arnim,epik_lemma_wassermann,6,undirected
20,epik_lemma_bonsels,epik_lemma_arnim,3,undirected
21,epik_lemma_bonsels,epik_lemma_falke,2,undirected
22,epik_lemma_bonsels,epik_lemma_keller,1,undirected
23,epik_lemma_brentano,epik_lemma_goethe,1,undirected
24,epik_lemma_brentano,epik_lemma_hoffmann,6,undirected
25,epik_lemma_brentano,epik_lemma_meyer,2,undirected
26,epik_lemma_brentano,lyrik_lemma_l00180116,1,undirected
27,epik_lemma_brentano,lyrik_lemma_l00180161,2,undirected
28,epik_lemma_brentano,lyrik_lemma_l00180187,3,undirected
29,epik_lemma_brentano,lyrik_lemma_l00180188,2,undirected
30,epik_lemma_brentano,lyrik_lemma_l00180220,1,undirected
31,epik_lemma_falke,epik_lemma_arnim,2,undirected
32,epik_lemma_falke,epik_lemma_bonsels,2,undirected
33,epik_lemma_falke,epik_lemma_heiberg,6,undirected
34,epik_lemma_falke,epik_lemma_kafka,3,undirected
35,epik_lemma_fischer,epik_lemma_arnim,2,undirected
36,epik_lemma_fischer,epik_lemma_keller,1,undirected
37,epik_lemma_fischer,epik_lemma_lewald,3,undirected
38,epik_lemma_fontane,epik_lemma_hesse,6,undirected
39,epik_lemma_fontane,epik_lemma_keller,2,undirected
40,epik_lemma_fontane,epik_lemma_sapper,1,undirected
41,epik_lemma_fontane,epik_lemma_schnitzler,1,undirected
42,epik_lemma_fontane,epik_lemma_spyri,3,undirected
43,epik_lemma_gerstacker,epik_lemma_arnim,1,undirected
44,epik_lemma_gerstacker,epik_lemma_kafka,3,undirected
45,epik_lemma_gerstacker,epik_lemma_schnitzler,3,undirected
46,epik_lemma_goethe,epik_lemma_achleitner,3,undirected
47,epik_lemma_goethe,epik_lemma_brentano,1,undirected
48,epik_lemma_goethe,epik_lemma_may,1,undirected
49,epik_lemma_goethe,epik_lemma_wassermann,2,undirected
50,epik_lemma_goethe,lyrik_lemma_l00180220,2,undirected
51,epik_lemma_heiberg,epik_lemma_achleitner,3,undirected
52,epik_lemma_heiberg,epik_lemma_arnim,4,undirected
53,epik_lemma_heiberg,epik_lemma_falke,6,undirected
54,epik_lemma_heiberg,epik_lemma_keller,1,undirected
55,epik_lemma_heiberg,epik_lemma_lewald,3,undirected
56,epik_lemma_heiberg,epik_lemma_mann,3,undirected
57,epik_lemma_heiberg,epik_lemma_sapper,2,undirected
58,epik_lemma_heiberg,epik_lemma_schnitzler,2,undirected
59,epik_lemma_heiberg,epik_lemma_wassermann,3,undirected
60,epik_lemma_hesse,epik_lemma_fontane,6,undirected
61,epik_lemma_hesse,epik_lemma_sapper,2,undirected
62,epik_lemma_hesse,epik_lemma_schnitzler,1,undirected
63,epik_lemma_hesse,epik_lemma_spyri,1,undirected
64,epik_lemma_hoffmann,epik_lemma_achleitner,2,undirected
65,epik_lemma_hoffmann,epik_lemma_arnim,1,undirected
66,epik_lemma_hoffmann,epik_lemma_brentano,6,undirected
67,epik_lemma_hoffmann,epik_lemma_meyer,1,undirected
68,epik_lemma_kafka,epik_lemma_arnim,3,undirected
69,epik_lemma_kafka,epik_lemma_falke,3,undirected
70,epik_lemma_kafka,epik_lemma_gerstacker,3,undirected
71,epik_lemma_keller,epik_lemma_arnim,4,undirected
72,epik_lemma_keller,epik_lemma_bonsels,1,undirected
73,epik_lemma_keller,epik_lemma_fischer,1,undirected
74,epik_lemma_keller,epik_lemma_fontane,2,undirected
75,epik_lemma_keller,epik_lemma_heiberg,1,undirected
76,epik_lemma_keller,epik_lemma_wassermann,3,undirected
77,epik_lemma_lewald,epik_lemma_arnim,2,undirected
78,epik_lemma_lewald,epik_lemma_fischer,3,undirected
79,epik_lemma_lewald,epik_lemma_heiberg,3,undirected
80,epik_lemma_lewald,epik_lemma_may,3,undirected
81,epik_lemma_mann,epik_lemma_heiberg,3,undirected
82,epik_lemma_mann,epik_lemma_schnitzler,1,undirected
83,epik_lemma_mann,epik_lemma_wassermann,2,undirected
84,epik_lemma_may,epik_lemma_achleitner,3,undirected
85,epik_lemma_may,epik_lemma_arnim,1,undirected
86,epik_lemma_may,epik_lemma_goethe,1,undirected
87,epik_lemma_may,epik_lemma_lewald,3,undirected
88,epik_lemma_meyer,epik_lemma_arnim,2,undirected
89,epik_lemma_meyer,epik_lemma_brentano,2,undirected
90,epik_lemma_meyer,epik_lemma_hoffmann,1,undirected
91,epik_lemma_meyer,epik_lemma_wassermann,3,undirected
92,epik_lemma_sapper,epik_lemma_fontane,1,undirected
93,epik_lemma_sapper,epik_lemma_heiberg,2,undirected
94,epik_lemma_sapper,epik_lemma_hesse,2,undirected
95,epik_lemma_sapper,epik_lemma_schnitzler,6,undirected
96,epik_lemma_sapper,epik_lemma_spyri,2,undirected
97,epik_lemma_schnitzler,epik_lemma_fontane,1,undirected
98,epik_lemma_schnitzler,epik_lemma_gerstacker,3,undirected
99,epik_lemma_schnitzler,epik_lemma_heiberg,2,undirected
100,epik_lemma_schnitzler,epik_lemma_hesse,1,undirected
101,epik_lemma_schnitzler,epik_lemma_mann,1,undirected
102,epik_lemma_schnitzler,epik_lemma_sapper,6,undirected
103,epik_lemma_schnitzler,epik_lemma_wassermann,1,undirected
104,epik_lemma_spyri,epik_lemma_fontane,3,undirected
105,epik_lemma_spyri,epik_lemma_hesse,1,undirected
106,epik_lemma_spyri,epik_lemma_sapper,2,undirected
107,epik_lemma_wassermann,epik_lemma_achleitner,1,undirected
108,epik_lemma_wassermann,epik_lemma_arnim,6,undirected
109,epik_lemma_wassermann,epik_lemma_goethe,2,undirected
110,epik_lemma_wassermann,epik_lemma_heiberg,3,undirected
111,epik_lemma_wassermann,epik_lemma_keller,3,undirected
112,epik_lemma_wassermann,epik_lemma_mann,2,undirected
113,epik_lemma_wassermann,epik_lemma_meyer,3,undirected
114,epik_lemma_wassermann,epik_lemma_schnitzler,1,undirected
115,lyrik_lemma_l00180004,lyrik_lemma_l00180006,1,undirected
116,lyrik_lemma_l00180004,lyrik_lemma_l00180010,2,undirected
117,lyrik_lemma_l00180004,lyrik_lemma_l00180207,3,undirected
118,lyrik_lemma_l00180005,lyrik_lemma_l00180006,3,undirected
119,lyrik_lemma_l00180005,lyrik_lemma_l00180015,2,undirected
120,lyrik_lemma_l00180005,lyrik_lemma_l00180027,1,undirected
121,lyrik_lemma_l00180005,lyrik_lemma_l00180029,1,undirected
122,lyrik_lemma_l00180005,lyrik_lemma_l00180031,2,undirected
123,lyrik_lemma_l00180005,lyrik_lemma_l00180032,1,undirected
124,lyrik_lemma_l00180005,lyrik_lemma_l00180034,1,undirected
125,lyrik_lemma_l00180005,lyrik_lemma_l00180041,2,undirected
126,lyrik_lemma_l00180005,lyrik_lemma_l00180052,1,undirected
127,lyrik_lemma_l00180005,lyrik_lemma_l00180053,3,undirected
128,lyrik_lemma_l00180005,lyrik_lemma_l00180059,1,undirected
129,lyrik_lemma_l00180005,lyrik_lemma_l00180067,2,undirected
130,lyrik_lemma_l00180005,lyrik_lemma_l00180151,1,undirected
131,lyrik_lemma_l00180005,lyrik_lemma_l00180173,2,undirected
132,lyrik_lemma_l00180005,lyrik_lemma_l00180177,3,undirected
133,lyrik_lemma_l00180005,lyrik_lemma_l00180191,2,undirected
134,lyrik_lemma_l00180005,lyrik_lemma_l00180201,2,undirected
135,lyrik_lemma_l00180005,lyrik_lemma_l00180206,3,undirected
136,lyrik_lemma_l00180005,lyrik_lemma_l00180210,1,undirected
137,lyrik_lemma_l00180006,lyrik_lemma_l00180004,1,undirected
138,lyrik_lemma_l00180006,lyrik_lemma_l00180005,3,undirected
139,lyrik_lemma_l00180006,lyrik_lemma_l00180007,3,undirected
140,lyrik_lemma_l00180006,lyrik_lemma_l00180008,3,undirected
141,lyrik_lemma_l00180006,lyrik_lemma_l00180009,2,undirected
142,lyrik_lemma_l00180006,lyrik_lemma_l00180010,1,undirected
143,lyrik_lemma_l00180006,lyrik_lemma_l00180016,1,undirected
144,lyrik_lemma_l00180006,lyrik_lemma_l00180017,2,undirected
145,lyrik_lemma_l00180006,lyrik_lemma_l00180019,2,undirected
146,lyrik_lemma_l00180006,lyrik_lemma_l00180020,3,undirected
147,lyrik_lemma_l00180006,lyrik_lemma_l00180026,3,undirected
148,lyrik_lemma_l00180006,lyrik_lemma_l00180027,2,undirected
149,lyrik_lemma_l00180006,lyrik_lemma_l00180029,2,undirected
150,lyrik_lemma_l00180006,lyrik_lemma_l00180030,1,undirected
151,lyrik_lemma_l00180006,lyrik_lemma_l00180032,3,undirected
152,lyrik_lemma_l00180006,lyrik_lemma_l00180041,3,undirected
153,lyrik_lemma_l00180006,lyrik_lemma_l00180052,2,undirected
154,lyrik_lemma_l00180006,lyrik_lemma_l00180053,2,undirected
155,lyrik_lemma_l00180006,lyrik_lemma_l00180061,3,undirected
156,lyrik_lemma_l00180006,lyrik_lemma_l00180063,2,undirected
157,lyrik_lemma_l00180006,lyrik_lemma_l00180067,6,undirected
158,lyrik_lemma_l00180006,lyrik_lemma_l00180068,1,undirected
159,lyrik_lemma_l00180006,lyrik_lemma_l00180071,1,undirected
160,lyrik_lemma_l00180006,lyrik_lemma_l00180072,3,undirected
161,lyrik_lemma_l00180006,lyrik_lemma_l00180076,3,undirected
162,lyrik_lemma_l00180006,lyrik_lemma_l00180078,3,undirected
163,lyrik_lemma_l00180006,lyrik_lemma_l00180083,2,undirected
164,lyrik_lemma_l00180006,lyrik_lemma_l00180085,2,undirected
165,lyrik_lemma_l00180006,lyrik_lemma_l00180086,1,undirected
166,lyrik_lemma_l00180006,lyrik_lemma_l00180087,3,undirected
167,lyrik_lemma_l00180006,lyrik_lemma_l00180090,3,undirected
