,ID,Titel,Autor,Strophen,Verse,Anthologie,Jahr,Hrsg,ID.1,Epoche,dtm_Ivis_1,dtm_Ivis_2,dtm_Ivis_balladen_sup_1,dtm_Ivis_balladen_sup_2,sonett,dtm_Ivis_sonett_1,dtm_Ivis_sonett_2,bert_Ivis_sonett_1,bert_Ivis_sonett_2,bert_Ivis_sonett_sup_1,bert_Ivis_sonett_sup_2,bert_Ivis_1,bert_Ivis_2,bert_Ivis_sup_1,bert_Ivis_sup_2,dtm_Ivis_sup_1,dtm_Ivis_sup_2
2267,l00170192,Abbild,"Hille, Peter",1,7,Deutsche Lyrik seit Liliencron. Herausgegeben von Hans Bethge. Leipzig 1905,1905,"Bethge, Hans",l00170192,Moderne,-0.06604617,0.962592,-3.1815884,2.008167,kein_sonett,0.0,0.0,3.0,-3.0,0.0,0.0,-2.0308685,2.0019245,-0.6827953,-2.3884263,1.1831541,1.6124536
1633,l00140079,Abbild,"Hille, Peter",1,7,Der Schatzbehalter. Ein Brevier Zeitgenössischer Lyrik. Ausgewählt von H. Federmann. München 1908,1908,"Federmann, Hertha",l00140079,Moderne,-0.06604617,0.962592,-3.1815884,2.008167,kein_sonett,0.0,0.0,3.0,-3.0,0.0,0.0,-1.9612623,2.315309,-0.76727086,-2.6220248,1.1831541,1.6124536
3293,l0030209,Abenddämmerung.,Heinrich Heine.,1,24,Dichtergrüsse. Neuere deutsche Lyrik,1861,"Polko, Elise",l0030209,Realismus,-0.27923203,0.5439073,-3.329434200000001,1.2120837,kein_sonett,0.0,0.0,3.0,-3.0,0.0,0.0,-4.9560637000000005,-1.0748792,-2.4300177000000005,-2.7635856,-0.569044,0.28435108
4356,l0050081,Abenddämmerung.,Heinrich Heine.,1,24,Blüthenzweige deutscher Lyrik nach Goethe,1875,"Willatzen, Peter Johann",l0050081,Realismus,-0.29640168,0.50239325,-3.327649,1.1991742,kein_sonett,0.0,0.0,3.0,-3.0,0.0,0.0,-4.3935976,-1.1566898,-2.250281,-1.4228326999999998,-0.576669,0.24399456
960,l00110231,Abendgang zur Geliebten,"Hart, Heinrich",5,6,"Moderne Deutsche Lyrik. Mit einer literargeschichtlichen Einleitung und biographischen Notizen, hrsg. von Hans Benzmann. Leipzig 1904.",1904,"Benzmann, Hans",l00110231,Moderne,0.9235129,-3.0462557999999995,-3.7727072,0.8595111999999999,kein_sonett,0.0,0.0,3.0,-3.0,0.0,0.0,-2.0185645,-0.48903373,0.8239825999999999,-1.5797982,0.87625813,-0.0009311065
2649,l00180138,Abendgang zur Geliebten,"Hart, Heinrich",5,6,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",1885,"Arent, Wilhelm",l00180138,Moderne,0.9286115,-3.0192647,-3.7826185,0.8607029,kein_sonett,0.0,0.0,3.0,-3.0,0.0,0.0,-3.3087904000000004,1.6230792,-1.3504989,-2.1299314,0.849301,-0.011304386000000001
3242,l0030158,Abendlied.,Friedrich Rückert.,9,4,Dichtergrüsse. Neuere deutsche Lyrik,1861,"Polko, Elise",l0030158,Realismus,0.13419795,-1.8543682,-3.1316624,0.9121316,kein_sonett,0.0,0.0,3.0,-3.0,0.0,0.0,1.7901398999999998,1.268646,-0.543554,0.8714377000000001,-0.34677988,-0.34622437
4327,l0050052,Abendlied.,Friedrich Rückert.,9,4,Blüthenzweige deutscher Lyrik nach Goethe,1875,"Willatzen, Peter Johann",l0050052,Realismus,0.62256336,-1.8845029,-3.4708507000000006,0.7904859000000001,kein_sonett,0.0,0.0,3.0,-3.0,0.0,0.0,1.9738146,1.1779695,-0.5778703000000001,1.0076326999999998,-0.6557441999999999,-0.047492202000000004
4956,l0090011,Abendsegen,"Benzmann, Hans",3,5,Neue Lieder der besten neueren Dichter für's Volk. Zusammengestellt v. Dr. L. Jacobowski. Berlin 1899.,1899,"Jacobowski, Ludwig [alt. Jakobowsky, Ludwig]",l0090011,Moderne,-2.6212382,0.32912722,-2.418998,1.2577803,kein_sonett,0.0,0.0,3.0,-3.0,0.0,0.0,-1.1417016000000002,1.8920881999999999,0.0641695,-0.72136045,1.3390157,-0.41037732
763,l00110034,Abendsegen,"Benzmann, Hans",3,5,"Moderne Deutsche Lyrik. Mit einer literargeschichtlichen Einleitung und biographischen Notizen, hrsg. von Hans Benzmann. Leipzig 1904.",1904,"Benzmann, Hans",l00110034,Moderne,-2.6212382,0.32912722,-2.418998,1.2577803,kein_sonett,0.0,0.0,3.0,-3.0,0.0,0.0,-0.08337222,0.6106778,0.5834798000000001,0.058562122,1.3390157,-0.41037732
