ID	Titel	Autor	Strophen	Verse	Anthologie	Jahr	Hrsg	ID.1	Epoche	dtm_Ivis_1	dtm_Ivis_2	dtm_Ivis_balladen_sup_1	dtm_Ivis_balladen_sup_2	sonett	dtm_Ivis_sonett_1	dtm_Ivis_sonett_2	bert_Ivis_sonett_1	bert_Ivis_sonett_2	bert_Ivis_sonett_sup_1	bert_Ivis_sonett_sup_2	bert_Ivis_1	bert_Ivis_2	bert_Ivis_sup_1	bert_Ivis_sup_2	dtm_Ivis_sup_1	dtm_Ivis_sup_2
l00100002	Am Geburtstag	Avenarius, Ferdinand [alt. Avernarius, Ferdinand; Avernius, Ferinand]	1	18	Die Perlenschnur. Eine Anthologie moderner Lyrik, hrsg. von Ludwig Gemmel, Buchschmuck von Hans Heise. Berlin und Leipzig 1898.	1898	Gemmel, Ludwig	l00100002	Moderne	-1.1151373	-2.6110797000000003	-3.421154	1.604638	kein_sonett	0.0	0.0	3.0	-3.0	0.0	0.0	-5.3803415	-0.8088832	-0.11785668	-3.9090066	1.4015547	-0.3907876
l00100003	Krankheit	Avenarius, Ferdinand [alt. Avernarius, Ferdinand; Avernius, Ferinand]	3	4	Die Perlenschnur. Eine Anthologie moderner Lyrik, hrsg. von Ludwig Gemmel, Buchschmuck von Hans Heise. Berlin und Leipzig 1898.	1898	Gemmel, Ludwig	l00100003	Moderne	2.4915662	2.0096586	-4.539126400000001	0.89319384	kein_sonett	0.0	0.0	3.0	-3.0	0.0	0.0	-3.6929293	5.331859	-1.0581315	-3.1612415	-1.3087543	2.3307402
l00100004	In dämmerdunklen Wegen [Drei Liebeslieder]	Benzmann, Hans	3	5	Die Perlenschnur. Eine Anthologie moderner Lyrik, hrsg. von Ludwig Gemmel, Buchschmuck von Hans Heise. Berlin und Leipzig 1898.	1898	Gemmel, Ludwig	l00100004	Moderne	-0.8221975	-1.1534928999999998	-4.2204347	2.8173556	kein_sonett	0.0	0.0	3.0	-3.0	0.0	0.0	-1.3252316	-1.0660139	2.7406318	-0.27144662	0.6707109	2.4739003
l00100005	In gelben Ähren [Drei Liebeslieder]	Benzmann, Hans	3	7	Die Perlenschnur. Eine Anthologie moderner Lyrik, hrsg. von Ludwig Gemmel, Buchschmuck von Hans Heise. Berlin und Leipzig 1898.	1898	Gemmel, Ludwig	l00100005	Moderne	-2.2742324000000003	-2.114109	-3.2148886	3.2416417999999996	kein_sonett	0.0	0.0	3.0	-3.0	0.0	0.0	-2.2590742	-1.154754	2.7975616	-1.1979927	1.7674693	0.09422055
l00100006	Nach dem Sturm [Drei Liebeslieder]	Benzmann, Hans	3	4	Die Perlenschnur. Eine Anthologie moderner Lyrik, hrsg. von Ludwig Gemmel, Buchschmuck von Hans Heise. Berlin und Leipzig 1898.	1898	Gemmel, Ludwig	l00100006	Moderne	-2.104977	-2.3544278	-3.5957744	1.9273156000000002	kein_sonett	0.0	0.0	3.0	-3.0	0.0	0.0	-1.166162	-1.794649	2.745504	1.7343622	1.7886854	-0.81341314
l00100007	Die Hochzeit zu Kana	Benzmann, Hans	2	10	Die Perlenschnur. Eine Anthologie moderner Lyrik, hrsg. von Ludwig Gemmel, Buchschmuck von Hans Heise. Berlin und Leipzig 1898.	1898	Gemmel, Ludwig	l00100007	Moderne	-0.98938465	-0.73638415	-3.5671904000000003	0.8308009	kein_sonett	0.0	0.0	3.0	-3.0	0.0	0.0	-6.301992	-0.27583456	-0.490738	-4.4733524	0.61513925	0.63956016
l00100008	Bergsee	Benzmann, Hans	3	4	Die Perlenschnur. Eine Anthologie moderner Lyrik, hrsg. von Ludwig Gemmel, Buchschmuck von Hans Heise. Berlin und Leipzig 1898.	1898	Gemmel, Ludwig	l00100008	Moderne	-0.8592135000000001	-0.6762113000000001	-2.7403927	1.6292852	kein_sonett	0.0	0.0	3.0	-3.0	0.0	0.0	-0.41371998	-2.3449433	4.1128225	2.7170265	0.3978583	0.7560406
l00100009	Herbststimmung	Benzmann, Hans	7	1	Die Perlenschnur. Eine Anthologie moderner Lyrik, hrsg. von Ludwig Gemmel, Buchschmuck von Hans Heise. Berlin und Leipzig 1898.	1898	Gemmel, Ludwig	l00100009	Moderne	-1.1198447	-0.005005196	-2.3457484	1.539565	kein_sonett	0.0	0.0	3.0	-3.0	0.0	0.0	2.6416936	0.92495006	3.0661776	-0.5560604	1.2537086	1.0280031
l0010001	Erwin von Steinbach.	Jürgen Friedrich Ahrens.	5	8	Neuer deutscher Parnaß. Silberblicke aus der Lyrik unserer Tage	1882	Moltke, Max	l0010001	Realismus	-0.5582724	0.18543129	-2.7445272999999997	0.73279655	kein_sonett	0.0	0.0	3.0	-3.0	0.0	0.0	-3.681875	0.7595211	-2.218005	-1.5574939	0.16176529	0.39810774
l00100010	Letzte Fahrt	Bethge, Hans	2	4	Die Perlenschnur. Eine Anthologie moderner Lyrik, hrsg. von Ludwig Gemmel, Buchschmuck von Hans Heise. Berlin und Leipzig 1898.	1898	Gemmel, Ludwig	l00100010	Moderne	1.7077311999999998	-0.7494013	-3.7999112999999998	0.9435375	kein_sonett	0.0	0.0	3.0	-3.0	0.0	0.0	-0.04517679	1.5332979	0.7429583	-0.9664007	-0.39204305	1.7967558
l00100011	Unfern Husum	Bethge,  Hans	3	4	Die Perlenschnur. Eine Anthologie moderner Lyrik, hrsg. von Ludwig Gemmel, Buchschmuck von Hans Heise. Berlin und Leipzig 1898.	1898	Gemmel, Ludwig	l00100011	Moderne	-0.92336243	-2.1992533	-2.7981443	1.4792562	kein_sonett	0.0	0.0	3.0	-3.0	0.0	0.0	0.029503953	-1.6971767	3.2535617	1.9244002	1.8550965	-0.4890874
l00100012	Ein Abschied	Bethge, Hans	3	3	Die Perlenschnur. Eine Anthologie moderner Lyrik, hrsg. von Ludwig Gemmel, Buchschmuck von Hans Heise. Berlin und Leipzig 1898.	1898	Gemmel, Ludwig	l00100012	Moderne	2.2611467999999997	1.0932457	-4.4013147	0.899949	kein_sonett	0.0	0.0	3.0	-3.0	0.0	0.0	-2.4972916	4.3734016	-0.3764775	-2.7433214	-0.79392016	1.8733841
l00100013	Ein Mädchen spricht:	Bethge, Hans	3	1	Die Perlenschnur. Eine Anthologie moderner Lyrik, hrsg. von Ludwig Gemmel, Buchschmuck von Hans Heise. Berlin und Leipzig 1898.	1898	Gemmel, Ludwig	l00100013	Moderne	4.0218167000000005	1.133772	-4.689886	1.4643258999999997	kein_sonett	0.0	0.0	3.0	-3.0	0.0	0.0	-0.48527613	4.4194117	0.35399398	-2.7025874	-1.1565802	3.2507665
l00100014	Heimwehlied	Bethge, Hans	4	1	Die Perlenschnur. Eine Anthologie moderner Lyrik, hrsg. von Ludwig Gemmel, Buchschmuck von Hans Heise. Berlin und Leipzig 1898.	1898	Gemmel, Ludwig	l00100014	Moderne	2.7607939999999997	-2.3479447	-4.4545903	1.2366451999999999	kein_sonett	0.0	0.0	3.0	-3.0	0.0	0.0	-0.7467945	2.9801204	0.28694832	-2.0937014	-0.2092091	2.4591107
l00100015	Frühlingszuruf	Bierbaum, Otto Julius	3	6	Die Perlenschnur. Eine Anthologie moderner Lyrik, hrsg. von Ludwig Gemmel, Buchschmuck von Hans Heise. Berlin und Leipzig 1898.	1898	Gemmel, Ludwig	l00100015	Moderne	-1.1939285	-0.047657013	-3.4070857000000005	0.9821346	kein_sonett	0.0	0.0	3.0	-3.0	0.0	0.0	-5.0416613	2.9086783	-3.0239918	-2.7348292	0.2333052	0.45262277
l00100016	Zuversicht in Pan	Bierbaum, Otto Julius	2	2	Die Perlenschnur. Eine Anthologie moderner Lyrik, hrsg. von Ludwig Gemmel, Buchschmuck von Hans Heise. Berlin und Leipzig 1898.	1898	Gemmel, Ludwig	l00100016	Moderne	2.0126256999999996	-0.9167689	-3.5452428	1.5782821000000002	kein_sonett	0.0	0.0	3.0	-3.0	0.0	0.0	0.88829184	0.15492679	1.4940459	-0.008207247	-1.0130289	3.03819
